N	4gram	Savitsky_E	DiskursI
1	в то же время	14	8
2	с одной стороны и	6	5
3	дело в том что	1	5
4	одного и того же	1	4
5	не говоря уже о	1	3
6	в том числе и	1	3
7	в том случае если	1	2
8	в тех случаях когда	1	2
9	и в то же	8	2
10	бы то ни было	4	2
11	в их отношении к	3	1
12	и до настоящего времени	1	1
13	большей или меньшей степени	1	1
14	в той или иной	3	1
15	в большей или меньшей	1	1
16	только в том случае	1	1
17	может быть сведена к	1	1
18	с другой стороны в	1	1
19	к тому или иному	1	1
20	не только в том	1	1
21	заключается в том что	2	1
