N	4gram	Losev_Dial	Narrotol
1	в то же время	3	8
2	внимание на то что	1	3
3	с той или иной	1	2
4	а стало быть и	1	2
5	и в то же	2	2
6	одно и то же	2	2
7	мы это уже видели	1	1
8	с этой точки зрения	4	1
9	и не претендует на	1	1
10	в том смысле что	1	1
11	не что иное как	6	1
12	сам по себе а	1	1
13	что с точки зрения	2	1
14	с одной стороны и	1	1
15	не слышим и не	1	1
16	уж во всяком случае	1	1
17	в данном случае в	1	1
18	одна и та же	3	1
19	бы то ни было	1	1
20	ни в чем не	1	1
21	в то время как	6	1
22	иметь в виду что	1	1
23	со своей точки зрения	1	1
24	той или другой стороны	1	1
25	в связи с этим	1	1
26	о том что если	1	1
27	же как и в	1	1
28	он может и должен	1	1
29	он не может быть	1	1
30	и тем не менее	2	1
31	признать что в основе	1	1
32	не в том что	4	1
33	есть не что иное	3	1
