N	4gram	Vygotskiy_	Problemy
1	в то же время	1	26
2	и в то же	1	7
3	бы то ни было	1	6
4	то же время не	1	6
5	но на самом деле	1	5
6	в том что он	1	5
7	в той или иной	1	5
8	как мы уже говорили	3	3
9	в то время как	4	3
10	одно и то же	2	3
11	но тем не менее	1	2
12	дело в том что	2	2
13	по отношению к себе	1	2
14	как если бы он	2	2
15	и в этом отношении	1	2
16	сводится к тому чтобы	1	2
17	там где он не	1	1
18	она не может быть	1	1
19	никогда не может быть	1	1
20	с таким же успехом	2	1
21	какого бы то ни	1	1
22	почти на всем протяжении	1	1
23	на самом же деле	1	1
24	само по себе не	1	1
25	до самого последнего времени	1	1
26	что с точки зрения	2	1
27	с одной стороны и	3	1
28	так как если бы	1	1
29	речи дело идет о	1	1
30	как мы увидим в	1	1
31	с точки зрения того	1	1
32	в сущности ничего не	2	1
33	в зависимости от того	1	1
34	все более и более	3	1
35	мы видели что в	1	1
36	в этом смысле он	1	1
37	о том что он	1	1
38	то что он не	1	1
39	в собственном смысле слова	4	1
40	и не могут быть	1	1
41	один и тот же	1	1
42	и в самом деле	1	1
43	смысле этого слова как	1	1
44	в виду прежде всего	1	1
45	мы должны были бы	1	1
46	заключается в том что	6	1
47	все больше и больше	1	1
48	в том числе и	3	1
49	то время как в	2	1
50	или во всяком случае	2	1
51	по ту сторону этой	1	1
52	мы имеем в виду	1	1
53	несмотря на то что	1	1
54	в другом месте и	2	1
55	на то что он	1	1
56	рядом друг с другом	1	1
57	но с таким же	1	1
58	так же как и	4	1
59	мы могли бы сказать	2	1
60	следует за ней в	1	1
61	по мере того как	1	1
62	не могли войти в	1	1
