N	2gram	Nazirov_Vr	Freidism
1	таким образом	2	34
2	и не	5	34
3	точки зрения	2	31
4	не может	2	30
5	– это	6	29
6	в этом	8	28
7	может быть	4	28
8	и в	8	28
9	прежде всего	1	26
10	в его	3	25
11	и его	3	22
12	с помощью	1	20
13	как бы	4	19
14	то что	7	17
15	с точки	2	15
16	с ним	4	14
17	в своей	2	14
18	так и	1	14
19	в душе	1	13
20	и все	7	13
21	как и	6	13
22	но в	6	13
23	во всех	1	13
24	в самом	1	12
25	то же	5	12
26	что он	4	12
27	том что	3	12
28	для него	2	12
29	все это	4	12
30	– не	1	12
31	и наконец	1	12
32	мы знаем	2	11
33	его в	3	11
34	все что	1	10
35	один из	1	10
36	не только	9	10
37	и с	6	10
38	но и	7	10
39	что же	1	10
40	никогда не	2	10
41	в том	3	10
42	он не	3	10
43	уже не	2	9
44	во всяком	1	9
45	с его	3	9
46	к этому	3	9
47	к нему	1	9
48	в чем	3	9
49	могут быть	1	9
50	при этом	4	8
51	все же	6	8
52	еще не	2	8
53	с этим	1	8
54	было бы	1	8
55	а в	2	8
56	по мнению	2	8
57	в ней	4	8
58	всяком случае	1	8
59	что в	7	7
60	в жизни	1	7
61	роль в	1	7
62	его жизни	1	7
63	в каком	1	7
64	до конца	1	7
65	из них	2	7
66	того что	1	7
67	но не	1	7
68	об этом	5	7
69	и у	3	7
70	чувств и	2	7
71	в нем	6	7
72	быть и	1	7
73	к смерти	1	7
74	в этой	2	7
75	отношение к	2	7
76	в себе	2	7
77	жизни и	1	7
78	в то	5	7
79	и ее	2	7
80	более того	1	7
81	не менее	2	6
82	но мы	1	6
83	в свою	2	6
84	же время	5	6
85	высшей степени	1	6
86	как раз	2	6
87	во время	2	6
88	в таком	1	6
89	совсем не	1	6
90	и что	8	6
91	человека и	1	6
92	и о	3	6
93	в высшей	1	6
94	всех этих	1	6
95	что это	1	5
96	в своих	4	5
97	в процессе	1	5
98	вместе с	2	5
99	на первый	2	5
100	говорить о	1	5
101	он сам	2	5
102	той же	1	5
103	это не	4	5
104	в ее	1	5
105	в этих	1	5
106	не было	5	5
107	во второй	1	5
108	далеко не	3	5
109	от того	1	5
110	он –	1	5
111	заключается в	1	5
112	ничего не	1	5
113	в период	2	5
114	отнюдь не	2	5
115	в основном	1	4
116	в виду	4	4
117	именно в	1	4
118	как в	1	4
119	из которого	1	4
120	ничего общего	1	4
121	это и	1	4
122	в котором	6	4
123	потому что	1	4
124	органическое единство	1	4
125	только как	1	4
126	не всегда	1	4
127	в этот	3	4
128	и т.п	2	4
129	и образы	2	4
130	в истории	4	4
131	так же	4	4
132	свою очередь	1	4
133	в своем	3	4
134	одна из	2	4
135	не лучше	1	4
136	но это	2	4
137	едва ли	1	4
138	дает нам	1	4
139	этот процесс	1	4
140	этом отношении	1	4
141	тем не	1	4
142	человека в	3	4
143	у него	5	4
144	мы находим	1	4
145	но ведь	1	4
146	я не	3	4
147	по своему	1	4
148	и вообще	1	4
149	человека к	1	4
150	о себе	3	4
151	выражение в	1	4
152	первый план	1	4
153	это как	1	4
154	и речи	1	4
155	помощью которых	1	4
156	в развитии	1	4
157	с ее	1	4
158	в целом	1	4
159	ответ на	2	3
160	для всех	1	3
161	до сих	1	3
162	смерти отца	1	3
163	о которой	2	3
164	разобраться в	1	3
165	в них	2	3
166	и даже	6	3
167	их в	2	3
168	и чувств	1	3
169	нам уже	1	3
170	мыслей и	1	3
171	во сне	1	3
172	этот мотив	1	3
173	раз и	1	3
174	он был	3	3
175	этот период	1	3
176	на основе	2	3
177	в одном	1	3
178	уже в	4	3
179	как на	1	3
180	не совсем	1	3
181	о том	4	3
182	во всей	1	3
183	на этот	1	3
184	единства и	1	3
185	а следовательно	1	3
186	из него	1	3
187	того же	1	3
188	делает все	1	3
189	только не	1	3
190	и то	2	3
191	говорит о	1	3
192	они не	1	3
193	к себе	2	3
194	не будем	1	3
195	этого не	1	3
196	одним из	3	3
197	но для	1	3
198	такой же	1	3
199	и как	3	3
200	и сам	1	3
201	в условиях	1	3
202	которой он	1	3
203	под влиянием	1	3
204	сих пор	1	3
205	такие же	1	3
206	между тем	5	3
207	конечно в	1	3
208	человека с	2	3
209	вторая часть	1	3
210	себя в	1	3
211	и от	1	3
212	и есть	1	3
213	на место	2	3
214	независимо от	1	3
215	если это	1	3
216	на это	2	3
217	и этот	1	2
218	– так	1	2
219	в момент	2	2
220	к этой	1	2
221	его с	2	2
222	и их	1	2
223	воспоминания о	1	2
224	из которых	1	2
225	нас в	1	2
226	для нас	4	2
227	правда в	1	2
228	равно как	1	2
229	в составе	1	2
230	отношения к	2	2
231	в мире	2	2
232	тому назад	1	2
233	не имеет	1	2
234	отличается от	1	2
235	да и	1	2
236	ли он	1	2
237	возникает вопрос	1	2
238	при помощи	2	2
239	матери и	3	2
240	его и	2	2
241	и начинается	1	2
242	и уже	3	2
243	еще более	1	2
244	без труда	1	2
245	с другой	1	2
246	и во	3	2
247	только при	1	2
248	друг друга	1	2
249	же он	1	2
250	бы в	1	2
251	только о	1	2
252	как к	1	2
253	по преимуществу	1	2
254	и борьбы	1	2
255	он и	1	2
256	такое же	1	2
257	о нем	6	2
258	в качестве	1	2
259	но как	2	2
260	и выражение	1	2
261	в их	1	2
262	как по	1	2
263	а также	2	2
264	в глубине	1	2
265	и всего	1	2
266	в третий	1	2
267	в конце	3	2
268	– понятие	1	2
269	ясно что	1	2
270	также в	1	2
271	же как	2	2
272	не есть	1	2
273	рядом с	2	2
274	следовательно и	1	2
275	это было	1	2
276	в эту	2	2
277	что как	1	2
278	чтобы разобраться	1	2
279	с первого	1	2
280	на них	1	2
281	а с	2	2
282	же с	1	2
283	ли это	1	2
284	также и	1	2
285	человека как	1	2
286	одним словом	1	2
287	в нашей	2	2
288	этом смысле	1	2
289	проникнуть в	1	2
290	его отношение	1	2
291	с различными	1	2
292	во многом	4	2
293	всю жизнь	1	2
294	говорить об	1	2
295	из этого	1	2
296	ничуть не	1	2
297	умер но	1	2
298	то в	1	2
299	истории –	1	2
300	конце концов	1	2
301	в него	2	2
302	в одну	2	2
303	в особенности	1	1
304	к сожалению	1	1
305	во всем	1	1
306	можно говорить	1	1
307	над тем	1	1
308	сходство с	1	1
309	но оказалось	1	1
310	или по	1	1
311	и далее	2	1
312	и эстетический	1	1
313	из всех	1	1
314	отношении к	1	1
315	глубине души	1	1
316	в другой	1	1
317	задолго до	1	1
318	заметим что	1	1
319	и другими	1	1
320	быть может	1	1
321	лет тому	1	1
322	он заявил	1	1
323	а отношение	1	1
324	особенно резко	1	1
325	полемизируя с	1	1
326	за что	1	1
327	начинается с	1	1
328	ко всем	1	1
329	ему но	1	1
330	их и	1	1
331	как при	1	1
332	своей души	1	1
333	тем что	3	1
334	уже на	1	1
335	то время	1	1
336	представление о	1	1
337	меня в	1	1
338	там же	2	1
339	с такими	1	1
340	ли не	1	1
341	каким-то образом	1	1
342	оказалось что	1	1
343	правда не	1	1
344	нас интересует	1	1
345	который не	1	1
346	не затрагивает	1	1
347	в это	2	1
348	конечно гораздо	1	1
349	по крайней	1	1
350	первый взгляд	1	1
351	этот вывод	1	1
352	нет ничего	1	1
353	нам не	1	1
354	во все	1	1
355	на три	1	1
356	о второй	1	1
357	похож на	1	1
358	она же	1	1
359	было в	1	1
360	знаем о	1	1
361	что этот	1	1
362	свои позиции	1	1
363	его организма	1	1
364	тотчас же	1	1
365	это за	1	1
366	говорить не	1	1
367	во многих	1	1
368	назад в	1	1
369	это же	1	1
370	целым рядом	1	1
371	к своим	1	1
372	он хочет	1	1
373	– сказал	2	1
374	о своем	1	1
375	людей и	1	1
376	целый ряд	4	1
377	мы считаем	1	1
378	некоторое время	1	1
379	которых он	1	1
380	сами факты	1	1
381	первая любовь	4	1
382	по которой	1	1
383	затем в	1	1
384	именно этот	1	1
385	общие черты	1	1
386	а между	1	1
387	к которому	1	1
388	с нею	2	1
389	так при	1	1
390	том же	2	1
391	начала дать	1	1
392	европы и	1	1
393	однако в	1	1
394	энергии и	1	1
395	от них	1	1
396	каким был	1	1
397	не мог	2	1
398	крайней мере	1	1
399	свои собственные	1	1
400	ли эта	1	1
401	доступ в	1	1
402	все в	1	1
403	ближе к	1	1
404	оно важно	1	1
405	об их	2	1
406	связан с	1	1
407	что они	1	1
408	которую они	1	1
409	в свое	1	1
410	он ищет	1	1
411	ее и	1	1
412	но на	1	1
413	и он	2	1
414	ему в	1	1
415	у гоголя	1	1
416	и резкое	1	1
417	хочет быть	1	1
418	в гостинице	1	1
419	был еще	1	1
420	второй половине	1	1
421	собой в	1	1
