N	2gram	Propp_Morf	Russkaja
1	не может	19	22
2	и не	16	19
3	в этом	18	17
4	в том	10	17
5	с другом	1	14
6	и в	17	14
7	друг с	1	14
8	то что	10	13
9	таким образом	26	11
10	то же	10	11
11	точки зрения	7	11
12	но и	9	10
13	же время	1	10
14	в то	4	10
15	не только	8	9
16	с точки	6	9
17	том что	7	9
18	во всяком	2	9
19	может быть	61	9
20	в себе	1	9
21	прежде всего	14	8
22	того чтобы	4	8
23	как на	1	8
24	не будет	1	7
25	ни к	2	7
26	самом деле	4	7
27	к тому	5	7
28	о том	6	7
29	самого себя	2	7
30	в данном	2	7
31	мы должны	3	7
32	и с	1	7
33	и к	4	6
34	для всех	1	6
35	если в	7	6
36	и при	3	6
37	для него	2	6
38	все это	2	6
39	на самом	4	6
40	в своих	2	6
41	если бы	3	6
42	и для	4	6
43	в россии	2	6
44	с тем	2	6
45	что он	5	6
46	для того	3	6
47	к которой	1	6
48	всяком случае	2	6
49	а потому	2	5
50	до сих	1	5
51	и на	1	5
52	из которых	5	5
53	только в	3	5
54	или иной	1	5
55	по существу	13	5
56	в своей	1	5
57	себя и	2	5
58	между собой	5	5
59	во всех	6	5
60	сих пор	1	5
61	и только	3	5
62	вопрос о	10	5
63	хотя бы	5	5
64	потому что	7	5
65	между тем	5	5
66	он не	5	5
67	а в	8	5
68	при этом	1	5
69	было бы	5	5
70	на то	3	5
71	лишь при	1	5
72	он должен	3	5
73	что в	10	4
74	во всем	1	4
75	бы то	3	4
76	и то	1	4
77	все что	1	4
78	так как	20	4
79	к этой	1	4
80	в его	1	4
81	при таких	1	4
82	к соединению	1	4
83	не могут	7	4
84	его в	4	4
85	более или	2	4
86	не в	3	4
87	лишь к	1	4
88	как и	4	4
89	что такой	1	4
90	в мире	1	4
91	все же	9	4
92	приводит к	3	4
93	в их	1	4
94	к вопросу	2	4
95	со стороны	5	4
96	или менее	2	4
97	том случае	3	4
98	то ни	3	4
99	можно было	4	4
100	чудесным образом	1	4
101	все таки	1	4
102	что же	2	4
103	в совершенно	2	4
104	от того	4	4
105	как бы	6	4
106	путь к	2	4
107	в этой	3	4
108	себя в	2	4
109	но не	8	4
110	точку зрения	1	4
111	в другое	1	4
112	то в	3	3
113	что они	5	3
114	этом случае	10	3
115	собой и	1	3
116	и этот	2	3
117	может не	2	3
118	данном случае	2	3
119	должно быть	1	3
120	несмотря на	4	3
121	вопросу о	2	3
122	что это	3	3
123	ни стало	1	3
124	в качестве	8	3
125	что и	10	3
126	в виде	3	3
127	связи с	12	3
128	или в	6	3
129	ни одна	4	3
130	во что	1	3
131	тем что	4	3
132	именно в	1	3
133	и как	6	3
134	вряд ли	2	3
135	может только	1	3
136	и т	62	3
137	о которых	1	3
138	о котором	1	3
139	не есть	1	3
140	но если	10	3
141	но мы	3	3
142	той или	1	3
143	еще не	4	3
144	все они	1	3
145	то это	5	3
146	случае если	2	3
147	мы говорили	1	3
148	одна из	5	3
149	и ни	1	3
150	так чтобы	1	3
151	в другом	2	3
152	говорить о	4	3
153	приходит к	1	3
154	можно ли	1	3
155	что бы	1	3
156	в большинстве	3	3
157	она может	1	3
158	главным образом	5	3
159	таких условиях	1	3
160	одной из	2	3
161	что все	1	3
162	из этого	1	3
163	он сам	1	3
164	и по	3	3
165	друг друга	3	3
166	из этих	2	3
167	всех этих	1	3
168	таким же	1	3
169	из них	4	3
170	того что	3	3
171	были бы	1	2
172	не так	2	2
173	от него	2	2
174	которых каждый	1	2
175	что с	1	2
176	не нужна	1	2
177	именно на	1	2
178	что такое	3	2
179	и вот	1	2
180	должна быть	2	2
181	совершенно очевидно	1	2
182	к себе	2	2
183	в некоторых	4	2
184	для нас	2	2
185	одному из	3	2
186	на которой	1	2
187	ни в	3	2
188	в результате	8	2
189	там и	1	2
190	в этих	17	2
191	у него	2	2
192	чтобы в	1	2
193	что действительно	2	2
194	и даже	2	2
195	если не	1	2
196	ее в	3	2
197	к чему	3	2
198	все эти	5	2
199	но для	3	2
200	в таком	1	2
201	принадлежат к	1	2
202	отношения к	1	2
203	тому что	5	2
204	ясно что	5	2
205	помнить что	1	2
206	практически это	1	2
207	их в	2	2
208	большинстве случаев	3	2
209	стремления к	1	2
210	на эту	1	2
211	только для	2	2
212	нисколько не	1	2
213	и однако	1	2
214	так же	4	2
215	тогда как	2	2
216	в других	5	2
217	если же	5	2
218	уже не	4	2
219	бы нас	1	2
220	основанный на	1	2
221	другом случае	1	2
