N	2gram	Voloshinov	RusskieA
1	и в	32	79
2	в том	13	64
3	том что	12	59
4	что в	5	57
5	не только	18	41
6	во время	2	38
7	так как	5	34
8	и другие	2	33
9	в этом	27	33
10	как бы	31	31
11	но и	17	31
12	в других	1	30
13	как и	19	28
14	и на	8	28
15	может быть	50	28
16	в этот	1	26
17	одна из	6	24
18	о том	4	23
19	при этом	13	22
20	это не	5	20
21	а в	5	20
22	как мы	26	20
23	из них	3	19
24	все это	4	18
25	с тем	1	17
26	таким образом	29	17
27	то что	12	17
28	вместе с	2	17
29	потому что	2	17
30	во многих	1	16
31	мы не	6	16
32	или на	1	15
33	и с	4	14
34	не менее	5	14
35	тем не	3	14
36	как это	2	14
37	и что	2	14
38	мы видели	5	14
39	и не	42	14
40	у нас	4	14
41	уже не	2	13
42	к этому	10	13
43	так что	2	13
44	и по	1	13
45	как в	5	13
46	еще не	7	13
47	не может	40	13
48	тем что	3	12
49	между собой	3	12
50	этом случае	3	12
51	в виде	1	12
52	мы увидим	3	11
53	следующим образом	2	11
54	не имеет	6	11
55	но это	1	11
56	а на	1	11
57	далеко не	5	11
58	все же	13	10
59	так например	2	10
60	его в	7	10
61	между тем	8	10
62	что и	5	10
63	так и	21	10
64	или в	4	10
65	по существу	1	10
66	и других	3	10
67	то же	19	9
68	о чем	1	9
69	что они	1	9
70	к жизни	2	9
71	с ней	1	9
72	и все	8	9
73	того как	1	9
74	но в	13	9
75	в русском	1	9
76	но не	2	9
77	одно из	1	8
78	в этих	2	8
79	так же	10	8
80	после этого	1	8
81	связи с	22	8
82	на себя	1	8
83	во всех	13	8
84	что это	3	8
85	подобно тому	1	8
86	их в	1	8
87	в россии	1	8
88	того чтобы	9	8
89	того что	5	8
90	ее в	2	8
91	в данном	8	8
92	не все	3	8
93	тому как	1	8
94	для того	8	8
95	же в	1	8
96	в это	1	7
97	настоящее время	6	7
98	в своем	3	7
99	на них	1	7
100	к нему	5	7
101	а и	1	7
102	не в	13	7
103	а с	1	7
104	не совсем	1	7
105	было бы	8	7
106	главным образом	2	7
107	только в	14	7
108	еще в	2	7
109	из этих	3	7
110	а не	15	7
111	н а	1	7
112	до конца	6	7
113	в настоящее	6	7
114	ничего не	9	7
115	иногда и	3	7
116	и как	8	7
117	мы должны	4	7
118	в эти	2	7
119	для этого	1	7
120	же как	2	6
121	к тому	8	6
122	выше мы	1	6
123	и другой	1	6
124	только на	7	6
125	но они	2	6
126	в одном	2	6
127	что она	1	6
128	в качестве	4	6
129	в разные	1	6
130	в таком	8	6
131	тому что	6	6
132	также в	1	6
133	должно было	2	6
134	должны были	1	6
135	в этой	3	6
136	в нем	17	6
137	как знак	3	6
138	видели что	1	6
139	с ними	5	6
140	приводит к	3	6
141	и более	6	6
142	что здесь	1	6
143	друг друга	10	6
144	и пр	31	6
145	не будем	4	6
146	или с	1	6
147	в их	5	6
148	на нее	2	6
149	все эти	8	6
150	а иногда	2	6
151	связаны с	3	6
152	она не	2	6
153	но она	1	6
154	и их	2	6
155	и к	3	5
156	в разных	2	5
157	например в	2	5
158	только для	1	5
159	с этим	6	5
160	вопрос о	6	5
161	входит в	5	5
162	с другой	6	5
163	к ним	1	5
164	с целью	2	5
165	не было	6	5
166	в связи	12	5
167	в целях	3	5
168	мы уже	7	5
169	или же	2	5
170	в тех	1	5
171	можно было	2	5
172	и др	3	5
173	там где	4	5
174	в то	7	5
175	прежде всего	19	5
176	в особенности	1	5
177	его с	1	5
178	тогда когда	2	5
179	с ним	1	5
180	для них	2	5
181	то на	2	5
182	что он	5	5
183	ничего общего	5	5
184	в свою	6	5
185	или вообще	2	5
186	но если	2	5
187	и для	15	5
188	тот же	4	5
189	в его	10	5
190	на самом	10	5
191	или даже	2	5
192	и потому	7	5
193	отнюдь не	14	5
194	не с	2	5
195	этих случаях	1	5
196	в целом	2	5
197	только тогда	1	4
198	кроме того	7	4
199	не столько	5	4
200	этого момента	1	4
201	как они	2	4
202	в своих	2	4
203	но все	4	4
204	именно в	6	4
205	всякого рода	1	4
206	во всяком	8	4
207	на этой	6	4
208	в котором	6	4
209	не что	2	4
210	в отличие	7	4
211	чтобы они	1	4
212	во всей	2	4
213	от них	1	4
214	не просто	2	4
215	и из	1	4
216	влияние на	3	4
217	что иное	1	4
218	несмотря на	1	4
219	не соответствует	1	4
220	но он	1	4
221	которое в	1	4
222	здесь мы	7	4
223	этот вопрос	5	4
224	что для	1	4
225	могут быть	4	4
226	и от	6	4
227	и здесь	9	4
228	та же	1	4
229	по всем	2	4
230	они и	3	4
231	в основном	10	4
232	и при	3	4
233	и другим	1	4
234	не на	2	4
235	этому же	1	4
236	он же	1	4
237	в основе	10	4
238	в круг	1	4
239	на основе	4	4
240	в середине	1	4
241	и до	4	4
242	связанных с	1	4
243	и там	1	4
244	переход от	4	4
245	в образе	1	4
246	этого слова	7	4
247	всяком случае	4	4
248	у них	2	4
249	нас не	3	4
250	уже в	3	4
251	его и	3	4
252	в воскресенье	1	4
253	отличие от	7	4
254	в ней	5	4
255	связано с	3	4
256	к ней	1	4
257	которые в	1	4
258	и ее	4	4
259	и тогда	2	4
260	иное как	2	4
261	что один	1	3
262	и объяснить	1	3
263	можно говорить	1	3
264	же и	3	3
265	самом же	5	3
266	в какой	5	3
267	в виду	2	3
268	связь с	4	3
269	более или	3	3
270	на которых	1	3
271	есть в	1	3
272	где они	2	3
273	имеет место	2	3
274	а именно	1	3
275	в природе	1	3
276	как только	1	3
277	на первый	2	3
278	от этого	3	3
279	и такие	1	3
280	эта связь	1	3
281	он был	2	3
282	пор пока	2	3
283	увидим что	1	3
284	в различных	1	3
285	по отношению	10	3
286	и те	7	3
287	свою очередь	5	3
288	но ни	1	3
289	как на	2	3
290	на которой	1	3
291	находится в	1	3
292	что все	3	3
293	точки зрения	48	3
294	что именно	1	3
295	какой степени	2	3
296	вся эта	1	3
297	никогда не	7	3
298	ее и	1	3
299	а наоборот	1	3
