N	3gram	Tiupa_Vved	formyVre
1	то же время	4	21
2	в то же	5	18
3	в связи с	1	15
4	для того чтобы	1	12
5	но и в	3	12
6	не только в	3	11
7	в этом мире	1	10
8	и в то	1	10
9	и того же	1	9
10	одного и того	1	9
11	в том числе	1	8
12	и прежде всего	1	8
13	не может быть	6	7
14	в отличие от	11	7
15	в этом отношении	7	7
16	прежде всего в	1	7
17	в том же	1	6
18	друг от друга	2	6
19	и в этом	1	6
20	а также и	2	6
21	пространственных и временных	1	6
22	с одной стороны	9	6
23	в том что	10	5
24	одной стороны и	3	5
25	том числе и	1	5
26	то есть в	1	5
27	той или иной	4	5
28	как и в	2	5
29	времени и пространства	1	5
30	одно и то	1	5
31	и то же	1	5
32	героя и героини	2	5
33	по отношению к	11	4
34	в этом ряду	2	4
35	одних и тех	1	4
36	не могло быть	1	4
37	как если бы	1	4
38	друг на друга	2	4
39	с другой стороны	2	4
40	человеческой жизни в	1	4
41	в романе в	1	4
42	и тех же	1	4
43	как раз в	1	4
44	в этом случае	1	4
45	во всяком случае	3	4
46	в той или	1	3
47	все то что	1	3
48	о том как	1	3
49	до известной степени	1	3
50	по сравнению с	1	3
51	может быть только	1	3
52	сами по себе	1	3
53	но при этом	3	3
54	в зависимости от	1	3
55	в нем не	1	3
56	а не в	1	3
57	как мы увидим	1	3
58	как раз и	1	3
59	то же самое	2	3
60	к новой жизни	1	3
61	же как и	1	3
62	но в то	1	3
63	о том что	6	3
64	так же как	1	3
65	с самого начала	1	3
66	жизни то есть	1	2
67	нормального хода жизни	1	2
68	или иной степени	1	2
69	можно сказать что	1	2
70	по природе своей	2	2
71	в частности в	2	2
72	начало и конец	2	2
73	в соответствии с	8	2
74	в данном случае	15	2
75	к тому же	6	2
76	имеет начало и	1	2
77	но в этом	1	2
78	в произведении и	1	2
79	и не столько	1	2
80	же время они	1	2
81	все без исключения	1	2
82	человек в нем	1	2
83	в нашем случае	3	2
84	в свою очередь	5	2
85	не было бы	1	2
86	и та же	1	2
87	у него нет	1	2
88	как и для	3	2
89	не было и	2	2
90	здесь как и	1	2
91	и в самом	1	2
92	было бы не	1	2
93	жизни но и	1	2
94	как и все	1	2
95	дело в том	1	2
96	жизни и смерти	1	2
97	к тому что	1	2
98	во всей его	1	2
99	с самим собой	1	2
100	одна и та	1	2
101	и не могло	1	2
102	по своей природе	2	2
103	времени и пространстве	1	2
104	если бы он	1	2
105	в основе своей	2	2
106	к жизни и	1	2
107	пространство же интенсифицируется	1	1
108	и хронотопа в	2	1
109	события эти происходят	1	1
110	едином но сложном	1	1
111	в самом начале	1	1
112	в осмысленном и	1	1
113	тем более не	2	1
114	в одном и	1	1
115	в его событийной	1	1
116	не было в	1	1
117	сложном событии которое	1	1
118	не могло бы	1	1
119	героев не только	1	1
120	для себя и	1	1
121	в той же	1	1
