N	3gram	Propp_Russ	TeoriaLi
1	в том что	27	10
2	по отношению к	1	10
3	в отличие от	4	7
4	более или менее	1	6
5	состоит в том	16	6
6	не может быть	1	5
7	для того чтобы	6	5
8	в данном случае	7	5
9	одного и того	1	4
10	и того же	1	4
11	в свою очередь	2	3
12	с точки зрения	3	3
13	тем не менее	3	3
14	можно сказать что	1	3
15	подобно тому как	3	3
16	в равной степени	2	3
17	и а а	1	3
18	в связи с	4	3
19	значении этого слова	1	3
20	с одной стороны	1	3
21	в противном случае	1	2
22	как и в	1	2
23	в таком случае	1	2
24	что в основе	1	2
25	к тому что	4	2
26	тогда как в	1	2
27	приводит к тому	1	2
28	может быть и	3	2
29	это имеет место	3	1
30	виду что в	1	1
31	в этих случаях	1	1
32	не что иное	3	1
33	в одном и	1	1
34	и потому что	2	1
35	те и другие	1	1
36	и том же	1	1
37	иметь в виду	2	1
38	в своего рода	1	1
39	никак не может	1	1
40	между тем это	3	1
41	только о том	1	1
42	в большинстве случаев	2	1
43	по своему происхождению	2	1
44	о том что	6	1
45	и другие в	1	1
46	в себе и	1	1
47	не принадлежат к	1	1
48	в целом ряде	1	1
49	точки зрения в	1	1
50	на себя внимание	2	1
51	в е годы	2	1
52	обращает на себя	1	1
53	это и есть	1	1
54	как видно из	1	1
55	на нее как	1	1
56	тем и другим	1	1
57	в настоящее время	3	1
58	при этом не	1	1
59	здесь мы имеем	2	1
60	и как бы	1	1
61	об этом так	1	1
62	в жизни человека	1	1
63	может быть назван	1	1
64	как это ни	1	1
65	былинах и в	1	1
66	для него не	1	1
67	а между тем	1	1
68	место в текстах	1	1
69	в то время	3	1
70	в первую очередь	1	1
71	между собой и	1	1
72	как это имеет	3	1
73	из того что	1	1
74	точно так же	1	1
75	так же как	5	1
76	в этом случае	9	1
77	можно говорить о	1	1
78	но не с	1	1
79	не только на	3	1
80	том что в	7	1
81	также что в	1	1
82	в русском языке	1	1
83	на первый взгляд	1	1
84	что иное как	3	1
85	в былинах и	1	1
86	одном и том	1	1
87	имея в виду	1	1
88	в виду что	2	1
89	на две части	1	1
