N	3gram	Bakhtin_Pr	RusskieA
1	в том что	6	49
2	и т д	4	21
3	тем не менее	2	14
4	в этом случае	1	12
5	о том что	2	10
6	и в других	2	9
7	для того чтобы	1	8
8	в данном случае	2	8
9	но это не	2	8
10	подобно тому как	3	8
11	о том же	2	7
12	т е в	3	7
13	в настоящее время	3	7
14	как мы увидим	3	7
15	не может быть	8	6
16	как мы видели	1	6
17	так же как	1	6
18	после того как	1	6
19	в связи с	1	5
20	к тому что	1	5
21	том что это	1	4
22	как мы уже	2	4
23	в отличие от	4	4
24	в этих случаях	2	4
25	в то время	2	4
26	можно было бы	3	4
27	во всяком случае	4	4
28	в последний день	1	3
29	по отношению к	12	3
30	более или менее	4	3
31	до сих пор	9	3
32	как можно больше	2	3
33	же как и	2	3
34	до некоторой степени	1	3
35	в своей книге	1	3
36	и в том	1	3
37	в свою очередь	1	3
38	на то что	2	3
39	с точки зрения	21	3
40	все же не	3	3
41	тому как в	1	3
42	и что в	1	3
43	может быть и	2	3
44	друг к другу	1	3
45	это не значит	3	2
46	может быть назван	1	2
47	ничего общего не	1	2
48	в большинстве случаев	10	2
49	и т п	10	2
50	но и на	2	2
51	для наших целей	1	2
52	может быть только	1	2
53	друг с другом	3	2
54	потому что он	1	2
55	в руках и	1	2
56	но и как	1	2
57	но все же	3	2
58	с другой стороны	6	2
59	но она не	1	2
60	мы увидим что	1	2
61	как и в	3	2
62	можно сказать что	2	2
63	на самом деле	4	2
64	иметь в виду	1	2
65	ни одна из	1	2
66	с таким же	1	2
67	в равной степени	1	2
68	не только в	2	2
69	и в этом	5	2
70	в виду что	1	2
71	но тем не	1	2
72	всяком случае не	1	2
73	так как в	1	2
74	с одной стороны	1	2
75	в этом отношении	3	2
76	не только как	1	2
77	целом ряде других	2	1
78	а может быть	1	1
79	в том же	1	1
80	мы должны были	1	1
81	а не на	1	1
82	как будто бы	1	1
83	смысл может быть	1	1
84	объясняется не только	1	1
85	не могло бы	1	1
86	этого слова с	1	1
87	и наконец в	2	1
88	не все в	1	1
89	материал у него	1	1
90	они и не	1	1
91	для него не	2	1
92	духе а в	1	1
93	то что обычно	1	1
94	потому что она	3	1
95	или может быть	1	1
96	они как бы	1	1
97	его жизнь в	1	1
98	все то что	3	1
99	в таком случае	1	1
100	если бы герой	1	1
101	сам по себе	2	1
102	и все что	1	1
103	но не только	1	1
104	в последний раз	1	1
105	в духе а	1	1
106	а между тем	1	1
107	но и эта	1	1
108	она не может	1	1
109	как мы видим	1	1
110	здесь не в	1	1
111	между тем как	5	1
112	в один из	1	1
113	точно так же	1	1
114	сюда относится например	1	1
115	к тому же	2	1
116	на этот вопрос	2	1
117	не может не	1	1
118	то же самое	1	1
119	не входит в	4	1
120	сама по себе	5	1
121	деле это не	1	1
122	как и всегда	1	1
123	в другом месте	1	1
124	в значительной степени	1	1
125	и потому не	1	1
126	быть не может	1	1
127	прежде всего как	1	1
128	и др для	1	1
129	с ним не	1	1
130	не в духе	1	1
131	тому что в	1	1
132	к нему и	2	1
133	в одном из	2	1
134	нужно иметь в	1	1
135	между собою и	1	1
136	т е не	2	1
137	но он не	1	1
138	и могут быть	1	1
139	достаточно чтобы сделать	1	1
140	тем что в	1	1
141	в противном случае	1	1
142	но и в	1	1
143	к другому и	1	1
144	как мы знаем	1	1
145	только в свете	1	1
146	со всеми его	1	1
147	все в этой	1	1
148	не потому что	1	1
149	в целом ряде	2	1
150	то что в	1	1
151	может быть понято	1	1
152	как один из	2	1
153	а следовательно и	2	1
154	он что в	1	1
155	при этом не	1	1
156	независимо от того	1	1
157	быть понято как	1	1
158	таким образом в	1	1
159	проблем не может	1	1
160	где есть в	1	1
161	и его жизнь	1	1
162	хотя и не	3	1
163	дело в том	1	1
164	и до сих	1	1
165	там где есть	1	1
166	смысле этого слова	1	1
167	как и все	4	1
168	и что с	1	1
169	не имеет с	1	1
170	и когда ее	1	1
171	и это не	3	1
172	как одна из	1	1
173	сюда же относится	1	1
174	уже не раз	1	1
175	что в нем	1	1
176	у него нет	1	1
177	в собственном смысле	1	1
178	ни в одном	3	1
179	так что в	1	1
180	на первый взгляд	1	1
181	т е что	1	1
182	а так как	1	1
183	или же в	1	1
184	общего не имеет	1	1
185	в себе и	2	1
186	это и есть	1	1
187	то время как	2	1
188	что и в	1	1
189	это прежде всего	1	1
190	приводит его к	1	1
