N	4gram	Vygotskiy_	Mirosoze
1	и вместе с тем	1	5
2	в то время как	4	4
3	не что иное как	2	4
4	одной и той же	3	3
5	в том что он	3	3
6	так же как и	2	3
7	есть не что иное	2	3
8	все более и более	3	2
9	две стороны одной и	1	2
10	и в конце концов	1	2
11	стороны одной и той	1	2
12	той мере в какой	2	1
13	в том смысле что	1	1
14	мы имеем в виду	1	1
15	еще в высшей степени	1	1
16	одни и те же	1	1
17	на одной и той	1	1
18	сомневаться в том что	1	1
19	не может не быть	1	1
20	идет дальше и глубже	1	1
21	с психологической точки зрения	1	1
22	друг к другу как	1	1
23	это не значит что	1	1
24	привести к тому что	1	1
25	или потому что он	1	1
26	и по отношению к	1	1
27	не имеют своей собственной	1	1
28	в той мере в	3	1
29	в тех случаях когда	1	1
30	для того чтобы сделать	1	1
31	по отношению к этим	1	1
32	когда мы говорим что	2	1
33	это приводит нас к	1	1
34	подобно тому как в	3	1
