N	4gram	Voloshinov	Dialekti
1	не что иное как	2	18
2	в то же время	1	14
3	одно и то же	2	12
4	есть не что иное	2	11
5	с этой точки зрения	1	4
6	иметь в виду что	1	4
7	но в то же	1	3
8	есть одно и то	1	2
9	но тем не менее	1	1
10	только развести руками если	1	1
11	остается только развести руками	1	1
12	до тех пор пока	3	1
13	поставить вопрос возможна ли	1	1
14	и есть не что	1	1
15	в том что в	1	1
16	дуализм с одной стороны	1	1
17	может привести только к	1	1
18	ничего общего не имеет	1	1
19	лишь с точки зрения	1	1
20	указать на то что	1	1
21	в течение всего своего	1	1
22	и не может быть	1	1
23	не чем иным как	2	1
