N	2gram	Nazirov_Vr	Tragedij
1	и в	8	18
2	петра верховенского	2	17
3	в романе	6	10
4	в этом	8	9
5	в бесах	10	9
6	в году	18	9
7	не только	9	8
8	достоевский в	8	7
9	и не	5	7
10	может быть	4	7
11	и с	6	7
12	как бы	4	7
13	петр верховенский	3	7
14	он сам	2	7
15	что он	4	6
16	у него	5	6
17	же время	5	6
18	но в	6	6
19	и его	3	6
20	это не	4	5
21	несмотря на	4	5
22	что это	1	5
23	так и	1	5
24	все же	6	5
25	у достоевского	4	5
26	то же	5	5
27	как и	6	5
28	не может	2	5
29	в то	5	5
30	что в	7	4
31	в себе	2	4
32	и даже	6	4
33	он всегда	1	4
34	все это	4	4
35	прежде всего	1	4
36	и все	7	4
37	достоевский не	3	4
38	я не	3	4
39	об этом	5	4
40	еще не	2	4
41	но и	7	4
42	том что	3	4
43	но достоевский	1	4
44	и что	8	4
45	так же	4	4
46	то что	7	4
47	в этой	2	4
48	что я	2	4
49	в нем	6	4
50	но это	2	4
51	что достоевский	4	4
52	в целом	1	4
53	своего рода	1	3
54	и он	2	3
55	один из	1	3
56	достоевского в	7	3
57	записках из	1	3
58	в основном	1	3
59	уже в	4	3
60	в его	3	3
61	для него	2	3
62	в своем	3	3
63	романа и	1	3
64	с ним	4	3
65	о чем	2	3
66	сам достоевский	3	3
67	и сам	1	3
68	что за	1	3
69	в конце	3	3
70	и как	3	3
71	в мире	2	3
72	как в	1	3
73	никто не	1	3
74	ставрогина и	3	3
75	что образ	1	3
76	при этом	4	3
77	жизнь и	1	3
78	на страницах	1	3
79	тем самым	1	3
80	к людям	1	3
81	с ее	1	3
82	отнюдь не	2	3
83	достоевский уже	3	3
84	к нему	1	3
85	в самом	1	2
86	в преступлении	1	2
87	и то	2	2
88	в душе	1	2
89	еще раз	1	2
90	со мной	1	2
91	в том	3	2
92	он и	1	2
93	в ее	1	2
94	по мнению	2	2
95	говорит о	1	2
96	и наказании	1	2
97	но при	1	2
98	роман достоевского	2	2
99	его в	3	2
100	как же	2	2
101	ненависти к	1	2
102	было в	1	2
103	еще в	1	2
104	сей день	1	2
105	в таком	1	2
106	как говорит	1	2
107	преступлении и	1	2
108	генезис образа	1	2
109	одном из	1	2
110	вряд ли	1	2
111	этого романа	1	2
112	дома и	1	2
113	веру в	1	2
114	и это	2	2
115	во сне	1	2
116	под влиянием	1	2
117	уже не	2	2
118	о том	4	2
