N	2gram	Trubetskoy	VrazhdaK
1	не только	10	9
2	в этом	15	8
3	и в	26	8
4	и что	4	8
5	что в	9	7
6	и все	2	7
7	но и	9	7
8	то что	7	7
9	как и	1	6
10	и даже	3	6
11	и с	10	6
12	все же	6	6
13	в котором	4	6
14	в начале	2	6
15	в нем	4	6
16	но в	7	6
17	то же	4	5
18	у него	1	5
19	в россии	2	5
20	и не	8	5
21	между тем	2	5
22	не было	2	5
23	же время	2	5
24	в то	4	5
25	это не	1	4
26	при этом	3	4
27	несмотря на	6	4
28	с ним	1	4
29	все это	6	4
30	в виду	2	4
31	отцов и	1	4
32	в своих	1	4
33	что он	4	4
34	уже в	2	4
35	о том	6	4
36	может быть	10	4
37	в ней	1	4
38	целый ряд	4	4
39	как бы	12	4
40	так же	5	4
41	в его	5	3
42	в том	11	3
43	его в	1	3
44	связи с	9	3
45	давно уже	1	3
46	в связи	3	3
47	и как	3	3
48	далеко не	4	3
49	тем что	1	3
50	речь идет	1	3
51	считал что	1	3
52	в чем	1	3
53	и у	8	3
54	человека в	1	3
55	эти слова	1	3
56	чтобы он	1	3
57	том что	7	3
58	в этот	1	3
59	он не	4	3
60	в конце	6	3
61	и о	3	3
62	одним из	2	3
63	в своем	3	3
64	на то	2	3
65	с его	2	3
66	и его	1	3
67	к этому	3	3
68	и во	1	3
69	в той	1	2
70	таким образом	22	2
71	начиная с	2	2
72	в момент	1	2
73	время и	1	2
74	он тоже	1	2
75	его с	1	2
76	мы знаем	1	2
77	и далее	1	2
78	с точки	6	2
79	для него	3	2
80	о чем	1	2
81	как раз	1	2
82	в честь	1	2
83	в них	2	2
84	а также	2	2
85	же в	1	2
86	в среде	2	2
87	отношения к	1	2
88	в мире	5	2
89	их в	1	2
90	же как	3	2
91	в своей	1	2
92	вместе с	15	2
93	бесы в	1	2
94	личные отношения	1	2
95	не менее	3	2
96	и это	2	2
97	в эту	2	2
98	еще не	2	2
99	а с	7	2
100	в свою	2	2
101	в русских	2	2
102	после смерти	10	2
103	в этой	4	2
104	в нашей	1	2
105	что к	1	2
106	при помощи	1	2
107	тогда как	1	2
108	а в	4	2
109	на это	1	2
110	к ним	3	2
111	отношение к	5	2
112	в одну	1	2
113	уже не	3	2
114	из них	7	2
115	в себе	6	2
116	в глазах	2	2
117	не может	4	2
118	место в	1	2
119	том же	1	2
120	точки зрения	13	2
121	тем более	1	2
122	время он	2	2
123	он сам	1	2
124	но это	1	2
125	во время	4	2
126	и ее	1	2
127	никогда не	5	2
128	могли быть	1	2
129	души и	1	1
130	для россии	1	1
131	все в	1	1
132	к сожалению	3	1
133	на востоке	2	1
134	никто из	2	1
135	в самом	4	1
136	то в	1	1
137	как к	1	1
138	этого и	1	1
139	связан с	2	1
140	именно к	1	1
141	так и	6	1
142	что они	1	1
143	в свое	1	1
144	попадает в	4	1
145	все что	2	1
146	для всех	2	1
147	до сих	5	1
148	в душе	1	1
149	сравняться с	5	1
150	один из	2	1
151	можно говорить	1	1
152	и этот	1	1
153	которым он	1	1
154	ему в	2	1
155	этого в	1	1
156	из которых	4	1
157	по всем	1	1
158	даже некоторые	1	1
159	они не	1	1
160	ни с	1	1
161	только что	2	1
162	если в	3	1
163	на три	1	1
164	того как	1	1
165	к этой	1	1
166	которой не	1	1
167	за исключением	1	1
168	чем все	2	1
169	мы начали	1	1
170	выступают как	1	1
171	что уже	1	1
172	он как	1	1
173	или по	2	1
174	из всех	3	1
175	встречается лишь	1	1
176	что это	3	1
177	с тех	2	1
178	и из	2	1
179	в ее	1	1
180	только не	2	1
181	того что	3	1
182	чем у	1	1
183	от этой	1	1
184	в качестве	3	1
185	него в	1	1
186	сама жизнь	1	1
187	прежде всего	2	1
188	далее в	1	1
189	никуда не	1	1
190	пробел в	1	1
191	это слово	1	1
192	другой стороны	1	1
193	а другие	1	1
194	перед ними	1	1
195	нет ничего	1	1
196	себе не	1	1
197	появилась в	1	1
198	в этих	4	1
199	за это	1	1
200	в их	1	1
201	предстоит еще	1	1
202	тому же	5	1
203	но с	3	1
204	а между	1	1
205	был похож	1	1
206	в разные	1	1
207	из двух	1	1
208	как по	1	1
209	в одном	3	1
210	их и	1	1
211	не противоречат	1	1
212	людей а	1	1
213	во внимание	1	1
214	на нее	3	1
215	что о	2	1
216	но не	8	1
217	в ту	1	1
218	но для	1	1
219	за тем	1	1
220	именно в	2	1
221	жизни и	2	1
222	такое же	1	1
223	то время	1	1
224	представление о	6	1
225	учиться у	2	1
226	в таком	3	1
227	героев и	2	1
228	в процессе	2	1
229	в жизни	1	1
230	уже давно	2	1
231	сходство между	1	1
232	ясно что	3	1
233	как о	3	1
234	похож на	2	1
235	начинается с	1	1
236	в соответствии	1	1
237	этот раз	1	1
238	вряд ли	1	1
239	себя как	1	1
240	своей души	1	1
241	не есть	1	1
242	эта была	1	1
243	одном из	1	1
244	и перед	2	1
245	над тем	1	1
246	как в	1	1
247	следовательно и	1	1
248	роль в	1	1
249	ли не	1	1
250	по своему	2	1
251	эту сторону	1	1
252	никто не	1	1
253	отличается от	2	1
254	да и	1	1
255	первое место	1	1
256	о котором	2	1
257	том как	1	1
258	и служило	1	1
259	это было	1	1
260	из которого	3	1
261	к своим	4	1
262	людьми и	1	1
263	в сторону	1	1
264	не имеет	5	1
265	ничего общего	2	1
266	всех их	1	1
267	тем не	3	1
268	человеком и	1	1
269	что тот	1	1
270	сих пор	5	1
271	в оскорблении	1	1
272	не был	1	1
273	живущее в	1	1
274	с первого	1	1
275	на них	1	1
276	и образ	1	1
277	с этим	1	1
278	во всех	2	1
279	вошли в	1	1
280	во всяком	6	1
281	только от	1	1
282	это и	1	1
283	между нами	1	1
284	и отчасти	1	1
285	для создания	1	1
286	было в	1	1
287	знаем о	1	1
288	с конца	1	1
289	не могли	1	1
290	несомненно в	1	1
291	ли это	2	1
292	это как	1	1
293	совпадает с	1	1
294	но при	2	1
295	говорить не	1	1
296	потому что	7	1
