N	3gram	Potebnia_M	Dialekti
1	и т д	5	75
2	это значит что	1	47
3	с точки зрения	2	46
4	сама по себе	3	26
5	по крайней мере	8	26
6	в том что	22	25
7	не есть ни	4	24
8	не может быть	7	18
9	не что иное	1	18
10	что иное как	1	18
11	тем не менее	7	16
12	сам по себе	9	16
13	само по себе	6	16
14	то же время	8	15
15	в то же	8	14
16	в таком случае	2	14
17	только тогда когда	11	13
18	и то же	7	12
19	с другой стороны	4	12
20	о том что	5	12
21	одно и то	7	12
22	есть то что	2	11
23	есть не что	1	11
24	и стало быть	2	11
25	на то что	3	11
26	в самом деле	1	10
27	по себе не	2	9
28	и в этом	1	9
29	подобно тому как	3	9
30	внутреннего и внешнего	1	8
31	не только не	4	8
32	только то что	1	8
33	или по крайней	2	8
34	в то время	7	8
35	и та же	2	8
36	то время как	3	8
37	одна и та	2	8
38	в этом смысле	2	8
39	можно сказать что	3	7
40	говоря уже о	1	7
41	вовсе не в	1	7
42	не в том	6	7
43	так или иначе	1	7
44	сами по себе	3	7
45	не потому что	1	7
46	того что он	1	7
47	не говоря уже	1	7
48	только потому что	5	6
49	для того чтобы	5	6
50	более или менее	6	6
51	то что мы	3	6
52	что не есть	1	6
53	в сравнении с	1	6
54	во всяком случае	3	6
55	с одной стороны	4	6
56	может быть и	1	6
57	на самом деле	4	5
58	ничего общего с	1	5
59	потому что он	3	5
60	по себе и	1	5
61	к тому что	3	5
62	то и другое	3	5
63	содержать в себе	1	5
64	от того что	7	5
65	в том смысле	6	5
66	не есть только	1	5
67	до сих пор	4	5
68	одной и той	4	5
69	есть прежде всего	2	5
70	что в нем	1	5
71	и той же	4	5
72	это было бы	1	5
73	одной стороны и	1	4
74	по себе а	4	4
75	том смысле что	2	4
76	можем сказать что	1	4
77	и т п	7	4
78	может быть только	4	4
79	и то и	2	4
80	в данном случае	3	4
81	к тому же	1	4
82	не только о	1	4
83	то же самое	3	4
84	из того что	1	4
85	может и не	1	4
86	того что она	1	4
87	равно как и	2	4
88	и может быть	2	4
89	того и другого	2	4
90	а потом уже	1	4
91	не имеет права	1	4
92	как бы ни	4	4
93	не могут быть	3	4
94	но только не	1	4
95	в этом отношении	2	4
96	и как бы	2	3
97	же что и	1	3
98	никто никогда не	1	3
99	когда мы говорим	1	3
100	в силу этого	1	3
101	то же что	5	3
102	если бы мы	1	3
103	нельзя сказать что	2	3
104	а потому что	1	3
105	т д не	1	3
106	говорит ни о	1	3
107	и говорить о	1	3
108	бы то ни	1	3
109	так как все	1	3
110	есть нечто совершенно	1	3
111	и не может	1	3
112	мы говорим что	1	3
113	в чем же	1	3
114	как и в	3	3
115	то что я	2	3
116	не было бы	2	3
117	с этой стороны	2	3
118	не было ни	1	3
119	не только в	4	3
120	так что в	2	3
121	что он не	3	2
122	ведь мы же	1	2
123	то тем самым	3	2
124	оно не есть	1	2
125	для нас в	1	2
126	в собственном смысле	2	2
127	хотя бы и	1	2
128	только сказать что	1	2
129	возможно только тогда	1	2
130	который хотя и	1	2
131	тогда когда оно	2	2
132	то что есть	1	2
133	с нею в	1	2
134	далеко не всегда	1	2
135	друг от друга	2	2
