N	3gram	Tiupa_Anal	EvropaiC
1	в том что	12	16
2	до сих пор	1	15
3	по отношению к	9	11
4	с точки зрения	2	8
5	а между тем	1	8
6	для того чтобы	1	7
7	на самом деле	1	7
8	друг от друга	1	6
9	лишь в том	1	5
10	в самом деле	1	5
11	так или иначе	5	5
12	к тому же	7	5
13	не может быть	2	4
14	о том что	7	4
15	тот факт что	1	4
16	тем не менее	3	4
17	с другой стороны	7	4
18	в конце концов	1	4
19	в этом случае	1	4
20	заключается в том	1	3
21	не в состоянии	1	3
22	в целом ряде	1	3
23	таким образом в	1	3
24	одного и того	4	3
25	в данном случае	11	3
26	и то что	2	3
27	и того же	4	3
28	в связи с	1	3
29	в свою очередь	7	2
30	в нашем случае	1	2
31	во всяком случае	6	2
32	и может быть	1	2
33	при этом что	2	2
34	что же касается	1	2
35	как и в	6	2
36	таким же образом	1	2
37	в то время	1	2
38	в то же	7	2
39	но и его	1	2
40	именно потому что	1	2
41	а с другой	1	2
42	том что он	2	2
43	только то что	1	2
44	с одной стороны	3	2
45	то же время	7	2
46	и в том	1	2
47	что несмотря на	2	2
48	и следует искать	1	1
49	это имеет место	1	1
50	не только по	1	1
51	то есть в	1	1
52	ставит его в	1	1
53	ни то ни	1	1
54	мысль о том	1	1
55	мы видим что	1	1
56	все что мы	1	1
57	как и вообще	1	1
58	состоит лишь в	1	1
59	к тому времени	1	1
60	в противоречие с	2	1
61	по крайней мере	5	1
62	которая по мнению	1	1
63	есть как бы	1	1
64	из них в	1	1
65	том или ином	1	1
66	по соседству с	2	1
67	в мире есть	1	1
68	точно так же	1	1
69	тогда как сам	2	1
70	к одному из	1	1
71	главным действующим лицом	1	1
72	и той же	2	1
73	они не могут	1	1
74	и приверженностью к	1	1
75	не в том	1	1
76	тем более что	1	1
77	до тех пор	1	1
78	состоит в том	2	1
79	что у него	1	1
80	говоря уже о	1	1
81	не говоря уже	1	1
82	во многих отношениях	2	1
83	ни другое ни	1	1
84	хотя и не	1	1
85	в самом широком	1	1
86	ни одна из	1	1
87	дело в том	3	1
88	смысле этого слова	1	1
89	в зависимости от	1	1
90	между тем как	1	1
91	одной и той	2	1
92	и еще больше	1	1
93	можно было бы	1	1
94	а потому и	1	1
95	то ни другое	1	1
96	тогда как у	1	1
97	как бы ни	1	1
98	в том или	1	1
99	судя по его	2	1
100	а в том	2	1
101	не только не	3	1
102	и т.д в	1	1
103	тех случаях когда	1	1
104	мало или вовсе	1	1
105	исходит из того	1	1
106	и все же	1	1
107	между тем в	2	1
108	том что при	1	1
109	с тех пор	1	1
110	надо признать что	1	1
111	в борьбе за	2	1
112	мы уже говорили	1	1
113	из того что	1	1
114	в своем поведении	1	1
115	тот или иной	3	1
116	в тех случаях	1	1
117	но с другой	1	1
118	в чистом виде	2	1
