N	2gram	Medvedev_S	Vvedenie
1	в том	5	38
2	в этом	5	35
3	и в	3	35
4	может быть	2	30
5	том что	2	30
6	не только	3	26
7	таким образом	2	21
8	не может	1	19
9	то что	2	19
10	только в	2	16
11	о том	1	16
12	что в	2	13
13	и не	1	13
14	в его	3	12
15	то же	2	11
16	по себе	1	11
17	в данном	1	11
18	прежде всего	1	10
19	не в	3	10
20	между тем	1	10
21	науки о	1	9
22	все же	1	9
23	но не	1	9
24	и как	1	9
25	это не	1	8
26	именно в	1	8
27	с другой	1	8
28	представить себе	1	7
29	как и	1	7
30	но и	2	7
31	было бы	2	7
32	только как	2	7
33	как бы	2	7
34	один из	1	6
35	все это	7	6
36	его в	1	6
37	на этот	1	6
38	тем что	1	6
39	же время	1	6
40	вовсе не	1	6
41	хотя бы	1	6
42	и что	2	6
43	и его	1	6
44	в то	1	6
45	а в	1	6
46	связь между	1	5
47	области знания	1	5
48	в них	1	5
49	что он	1	5
50	во всяком	1	5
51	наука о	1	5
52	дело не	2	5
53	на основании	1	5
54	в целом	1	5
55	всяком случае	1	5
56	с одной	1	4
57	как науки	1	4
58	в результате	2	4
59	в виде	1	4
60	в котором	1	4
61	но ведь	3	4
62	в своей	1	4
63	научного исследования	1	4
64	в чем	1	4
65	по крайней	1	4
66	еще не	2	4
67	в каждом	1	4
68	еще и	1	4
69	и история	1	4
70	и заключается	2	4
71	одной стороны	1	4
72	по отношению	2	4
73	крайней мере	1	4
74	отношению к	2	4
75	в области	1	4
76	истории литературы	10	3
77	история литературы	1	3
78	этой области	1	3
79	зависит от	1	3
80	что это	1	3
81	в сущности	1	3
82	в этих	1	3
83	связи с	1	3
84	в силу	1	3
85	в конце	2	3
86	сама по	1	3
87	вряд ли	1	3
88	между ними	1	3
89	в конечном	1	3
90	все эти	1	3
91	и есть	1	3
92	в строгом	1	3
93	в частности	2	3
94	может служить	1	3
95	в этой	1	3
96	же самое	1	3
97	о литературе	3	3
98	работы в	1	3
99	что она	1	3
100	как будто	2	3
101	для этого	1	3
102	никогда не	1	3
103	так и	1	2
104	исторического изучения	1	2
105	должна быть	2	2
106	мы не	1	2
107	время в	1	2
108	и должно	1	2
109	в соответствующих	1	2
110	или нет	1	2
111	в таких	1	2
112	не было	1	2
113	по существу	2	2
114	тому что	1	2
115	одно дело	2	2
116	в связи	1	2
117	тем именно	1	2
118	как только	2	2
119	и потому	1	2
120	читать в	1	2
121	но как	1	2
122	а с	1	2
123	когда мы	1	2
124	ничего не	1	2
125	художественных произведений	1	2
126	мы должны	1	2
127	именно на	1	2
128	работы как	1	2
129	а между	1	2
130	не место	1	2
131	литературы и	2	2
132	как искусство	1	2
133	тем более	2	2
134	с помощью	1	2
135	же это	1	2
136	конце концов	2	2
137	наукой в	1	2
138	бы в	1	2
139	как совокупность	1	2
140	иначе говоря	1	1
141	не мешает	1	1
142	дает нам	1	1
143	только тогда	1	1
144	и стало	1	1
145	понимать что	1	1
146	которая должна	1	1
147	они не	1	1
148	может не	1	1
149	исторической жизни	2	1
150	нужно было	2	1
151	писателя не	1	1
152	новое и	1	1
153	это значит	1	1
154	с ним	1	1
155	в область	1	1
156	для нас	3	1
157	и о	1	1
158	литературного развития	1	1
159	каждом своем	1	1
160	но одно	1	1
161	основной вопрос	1	1
162	у него	1	1
163	на общие	1	1
164	законы развития	2	1
165	что все	1	1
166	как же	3	1
167	психологии и	1	1
168	или не	1	1
169	все то	1	1
170	слова но	1	1
171	историю литературы	1	1
172	методологии истории	3	1
173	и будет	1	1
174	очевидно что	2	1
175	я и	1	1
176	без необходимости	1	1
177	литературе и	1	1
178	или даже	2	1
179	его исследования	1	1
180	далеко не	2	1
181	собой не	1	1
182	не от	1	1
183	что таким	1	1
184	основании таких	1	1
185	без этого	1	1
186	наука а	1	1
187	между собой	1	1
188	том как	1	1
189	общие законы	1	1
190	диалектического материализма	1	1
191	он по	1	1
192	в лучшем	1	1
193	и цельного	1	1
194	мысли в	1	1
195	что эти	1	1
196	это и	2	1
197	факта что	1	1
198	темы и	1	1
199	и более	1	1
200	и самые	1	1
201	должно было	1	1
202	это как	1	1
203	наконец в	1	1
204	не дает	1	1
205	быть не	1	1
206	из себя	1	1
207	лучшем случае	1	1
208	за пределы	2	1
209	только то	1	1
210	и затем	1	1
211	не наука	1	1
212	принять его	1	1
213	исторического характера	1	1
214	и границы	1	1
215	литературы как	1	1
216	именно такого	1	1
217	ведь это	2	1
218	поэта и	1	1
219	место в	1	1
220	она может	2	1
221	главным образом	2	1
222	теоретической мысли	1	1
223	для изучения	1	1
224	к которому	2	1
225	на отдельные	1	1
226	это дает	1	1
227	образом в	1	1
228	настоящее время	1	1
229	что без	1	1
230	этого и	1	1
231	потому его	1	1
232	идей и	2	1
233	ними в	1	1
234	в настоящее	1	1
235	значении слова	1	1
236	что на	1	1
237	в заключение	1	1
238	никак не	1	1
