N	2gram	Potebnia_M	Sovremen
1	не может	30	17
2	может быть	47	12
3	точки зрения	8	12
4	таким образом	21	11
5	мы не	17	9
6	органической жизни	1	9
7	в каждом	6	8
8	в этом	18	7
9	и в	58	7
10	не можем	5	7
11	мы можем	10	6
12	в результате	1	6
13	каждый раз	5	6
14	как и	16	6
15	ничего не	2	6
16	и не	34	6
17	с точки	4	5
18	прежде всего	8	5
19	что же	3	5
20	каждом отдельном	1	5
21	все эти	3	5
22	живой организм	1	5
23	в условиях	1	5
24	а в	11	4
25	так как	29	4
26	вопрос о	5	4
27	при нормальном	2	4
28	это не	10	4
29	не только	32	4
30	мы должны	4	4
31	в развитии	2	4
32	как бы	12	4
33	если мы	5	4
34	в зависимости	1	4
35	их в	2	4
36	жизни и	3	4
37	вместе с	12	4
38	в целом	3	4
39	в том	38	4
40	зависимости от	1	4
41	из них	2	4
42	мы видели	5	4
43	и потому	7	3
44	видели что	2	3
45	и мы	1	3
46	с самого	5	3
47	когда мы	4	3
48	уже в	5	3
49	то же	13	3
50	при этом	17	3
51	с необходимостью	1	3
52	можем назвать	1	3
53	не в	23	3
54	а не	38	3
55	для нас	29	3
56	все это	3	3
57	всякой науки	1	3
58	как он	5	3
59	в одном	13	3
60	у нас	3	3
61	самого начала	5	3
62	так называемых	1	3
63	было бы	21	3
64	в первом	5	3
65	ли мы	1	3
66	в этой	3	3
67	он в	1	3
68	и все	6	3
69	на две	2	3
70	мы называем	4	3
71	в себе	22	3
72	следующим образом	1	3
73	само собою	4	3
74	не подлежит	1	3
75	что она	3	3
76	он может	2	3
77	одна из	4	3
78	состоит из	1	3
79	все же	11	3
80	при таком	5	3
81	в области	1	3
82	отличается от	1	3
83	в нем	26	3
84	но мы	3	3
85	но в	12	3
86	еще не	9	3
87	с этим	11	2
88	что в	34	2
89	этих двух	1	2
90	тем не	11	2
91	в самом	5	2
92	дает нам	2	2
93	совершенно не	1	2
94	мы видим	5	2
95	период развития	1	2
96	каждая из	1	2
97	и что	13	2
98	и пространства	1	2
99	отличие от	1	2
100	ее на	1	2
101	то и	15	2
102	о значении	1	2
103	с одной	7	2
104	в отличие	1	2
105	такого рода	1	2
106	в свою	8	2
107	из этих	8	2
108	в его	7	2
109	во всяком	9	2
110	не будем	1	2
111	мы знаем	2	2
112	не дает	2	2
113	еще более	2	2
114	можно назвать	1	2
115	то ни	3	2
116	наука еще	1	2
117	что это	5	2
118	или же	7	2
119	еще мало	1	2
120	что при	6	2
121	в некоторых	4	2
122	по мнению	4	2
123	только один	3	2
124	что такое	3	2
125	может иметь	1	2
126	если же	5	2
127	на его	1	2
128	в науке	1	2
129	развития мы	1	2
130	с общим	3	2
131	представлять себе	1	2
132	на их	2	2
133	у него	3	2
134	не могут	10	2
135	в виде	1	2
136	со всеми	1	2
137	а на	2	2
138	свою очередь	8	2
139	и даже	4	2
140	говорим о	1	2
141	самом деле	2	2
142	в которой	5	2
143	но все	4	2
144	некоторое время	1	2
145	ни одна	2	2
146	как мы	3	2
147	она может	3	2
148	развития в	1	2
149	тем же	4	2
150	и во	6	2
151	той же	3	2
152	могут быть	17	2
153	в таком	7	2
154	развития но	1	2
155	в нашем	2	2
156	уже не	4	2
157	не знаем	2	2
158	и есть	4	2
159	и они	2	2
160	что все	4	2
161	научного исследования	1	2
162	на этот	2	2
163	такой же	4	2
164	на этом	3	2
165	физических законов	1	2
166	роль в	1	2
167	не менее	10	2
168	так сказать	5	2
169	приводит к	1	2
170	собою разумеется	1	2
171	и по	8	2
172	времени и	3	2
173	субъективное состояние	1	2
174	на котором	1	2
175	и изменение	1	2
176	форма в	1	2
177	свою собственную	1	2
178	из одного	3	2
179	в один	2	2
180	известных нам	3	2
181	знаем что	1	2
182	на другом	2	2
183	тот же	5	2
184	жизни мы	1	2
185	всяком случае	7	2
186	он должен	2	2
187	действительности развивается	1	1
188	жизни но	2	1
189	во всех	12	1
190	все они	3	1
191	только одно	1	1
192	на предметы	1	1
193	бы то	2	1
194	которые в	1	1
195	рядом и	1	1
196	к которому	5	1
197	что один	1	1
198	именно к	1	1
199	объективные качества	1	1
200	его и	1	1
201	только не	2	1
202	но можно	1	1
203	стать в	1	1
204	искать в	3	1
