N	2gram	Bakhtin_sl	ViktorSh
1	в конце	1	2
2	и в	69	2
3	в том	7	2
4	том что	6	2
5	в другом	4	1
6	все время	4	1
7	от общего	1	1
8	но это	3	1
9	одно и	3	1
10	столь же	2	1
11	том же	4	1
12	стилистики в	1	1
13	по существу	3	1
14	в самом	6	1
15	не одно	1	1
16	что слово	1	1
17	для них	2	1
18	говорили в	1	1
19	а только	1	1
20	от других	2	1
21	именно в	5	1
22	все то	2	1
23	его языка	2	1
24	вещь и	1	1
25	речи и	4	1
26	с большой	1	1
27	в частности	3	1
28	и то	2	1
29	так в	2	1
30	крайней мере	1	1
31	и своеобразно	1	1
32	вопросы стилистики	1	1
33	поэтического творчества	1	1
34	этом и	1	1
35	время в	1	1
36	и его	45	1
37	сводится к	1	1
38	даже не	1	1
39	значительной степени	6	1
40	прозы в	2	1
41	на одном	1	1
42	хотя бы	6	1
43	далеко не	7	1
44	тем более	1	1
45	по крайней	1	1
46	впрочем не	1	1
47	в которых	1	1
48	к этому	3	1
49	только в	9	1
50	потому что	2	1
51	в значительной	6	1
52	языка если	2	1
53	в их	6	1
54	все дело	1	1
55	и почти	3	1
56	оно с	1	1
57	и только	2	1
58	то же	17	1
59	по своим	6	1
60	чего не	1	1
61	без учета	1	1
62	что язык	2	1
63	и не	32	1
64	гораздо более	1	1
65	дело в	2	1
66	да и	2	1
67	в этом	21	1
68	так как	7	1
69	все это	14	1
70	же две	1	1
71	в устах	1	1
