N	4gram	Berdyaev_M	NovoeSre
1	это не значит что	1	2
2	в свои права и	1	2
3	она не может быть	1	1
4	подобно тому как в	1	1
5	так же как и	1	1
6	в том смысле в	1	1
7	в глубочайшем смысле слова	2	1
8	переходит в свою противоположность	3	1
9	то нет и человека	2	1
10	есть вместе с тем	1	1
11	в ней нет ничего	1	1
12	смысле слова а не	1	1
13	христианской истины о человеке	1	1
14	о человеке и его	5	1
15	в том случае если	1	1
16	человека не может быть	1	1
17	не во имя свободы	1	1
18	когда мы говорим что	1	1
19	в конце новой истории	1	1
20	в то время как	2	1
21	а не в том	1	1
22	во имя свободы и	1	1
23	так и должно быть	1	1
24	и должно быть в	1	1
25	и вместе с тем	4	1
26	слова а не в	1	1
27	том смысле в каком	1	1
