N	2gram	Tiupa_Hudo	Vladivir
1	и в	23	116
2	то что	5	71
3	и не	16	67
4	в году	2	65
5	у него	2	65
6	не только	20	65
7	в этом	12	53
8	в том	20	52
9	том что	9	51
10	что в	7	48
11	но и	14	47
12	в конце	1	41
13	в его	11	40
14	то есть	26	37
15	и даже	1	36
16	сказать что	4	36
17	также и	1	36
18	так что	1	35
19	потому что	3	33
20	что он	5	32
21	еще и	2	32
22	не может	9	31
23	о том	2	30
24	только в	7	30
25	как мы	1	29
26	никогда не	2	29
27	для него	5	29
28	вовсе не	2	27
29	а в	13	27
30	не было	1	26
31	в себе	13	25
32	но в	10	25
33	в то	8	25
34	и то	4	25
35	и его	12	25
36	а также	6	24
37	точки зрения	11	23
38	между прочим	1	23
39	он не	4	23
40	может быть	19	23
41	ни в	5	22
42	так как	1	22
43	об этом	2	22
44	в своей	7	21
45	вместе с	1	21
46	а именно	3	20
47	и что	4	20
48	в своем	4	20
49	для нас	1	20
50	прежде всего	5	20
51	не менее	5	19
52	по поводу	1	19
53	как раз	3	19
54	тем не	3	19
55	таким образом	3	19
56	так и	12	19
57	и потому	2	19
58	как и	3	18
59	не в	9	18
60	хотя и	4	18
61	как это	7	18
62	с его	6	18
63	что и	2	17
64	в этой	2	17
65	едва ли	1	17
66	а не	13	17
67	у нас	1	17
68	все же	1	16
69	уже не	6	16
70	к тому	4	16
71	не есть	1	16
72	для себя	4	16
73	было бы	1	16
74	того что	5	16
75	в котором	1	16
76	и к	3	15
77	то же	12	15
78	в своих	1	15
79	несмотря на	2	15
80	в связи	3	15
81	иной раз	1	15
82	разного рода	1	15
83	до конца	1	15
84	это было	1	15
85	того же	3	14
86	все эти	2	14
87	раз и	1	14
88	его жизни	1	14
89	и на	3	14
90	и как	4	14
91	в результате	1	13
92	можно сказать	6	13
93	так же	2	13
94	не просто	2	13
95	и от	1	13
96	что это	1	13
97	то время	1	13
98	да и	1	13
99	дело в	1	13
100	жизни и	1	13
101	по себе	2	12
102	только на	1	12
103	некоторого рода	1	12
104	и это	2	12
105	и по	2	12
106	в нем	6	12
107	то в	2	12
108	содержит в	1	12
109	если не	1	12
110	связи с	3	12
111	при этом	19	11
112	более или	6	11
113	в данном	4	11
114	тому же	1	11
115	в которой	3	11
116	я не	2	11
117	на то	1	11
118	он уже	1	11
119	и здесь	1	11
120	в отношении	4	11
121	все это	2	11
122	или менее	6	11
123	и о	4	11
124	в самом	7	10
125	даже в	3	10
126	что все	1	10
127	такого рода	12	10
128	с точки	3	10
129	в качестве	31	10
130	что его	1	10
131	что для	1	10
132	отнюдь не	2	10
133	к нему	3	10
134	с ним	2	10
135	еще не	4	10
136	собственно говоря	2	10
137	в истории	1	10
138	здесь не	2	10
139	он и	2	10
140	но не	13	10
141	о чем	3	9
142	и сам	3	9
143	именно в	2	9
144	с этим	1	9
145	с другой	9	9
146	и притом	3	9
147	но он	3	9
148	а только	4	9
149	но как	2	9
150	а с	2	9
151	не будет	3	9
152	этом смысле	3	9
153	из этого	2	9
154	отношения к	4	9
155	своей жизни	2	9
156	для меня	2	9
157	это не	4	9
158	же время	7	9
159	что касается	1	9
160	в целом	3	9
161	с этой	3	8
162	не столько	7	8
163	в этих	4	8
164	тем что	1	8
165	в это	1	8
166	себя в	8	8
167	в чем	2	8
168	и особенно	2	8
169	как в	2	8
170	со стороны	5	8
171	свое время	1	8
172	должно быть	1	8
173	как бы	11	8
174	и для	3	8
175	тот же	1	8
176	тоже не	1	8
177	xix века	2	8
178	и я	1	8
179	только и	2	8
180	из этих	3	8
181	отношение к	7	8
182	в одном	3	7
183	в них	2	7
184	на первый	1	7
185	точно так	1	7
186	себе отчет	1	7
187	в нашем	2	7
188	себе и	1	7
189	за пределы	2	7
190	о его	2	7
191	и есть	1	7
192	никак нельзя	1	7
193	здесь мы	1	7
194	если бы	3	7
195	к его	3	7
196	не имеет	1	7
197	в каком	2	7
198	бы и	1	7
199	того чтобы	5	7
200	из его	1	7
201	но если	1	7
202	в свое	1	7
203	на его	1	7
204	в таком	3	7
205	то и	1	7
206	по этому	1	7
207	же в	1	7
208	можно говорить	1	6
209	же и	1	6
210	тому что	2	6
211	те же	1	6
212	в виду	5	6
213	другой стороны	6	6
214	но у	1	6
215	для того	5	6
216	в отличие	7	6
217	настоящее время	1	6
218	если мы	2	6
219	той же	1	6
220	его в	4	6
221	том же	1	6
222	не говорит	1	6
223	что она	2	6
224	но только	2	6
225	по своей	7	6
226	не с	2	6
227	и вполне	1	6
228	должен был	1	6
229	так или	4	6
230	но на	2	6
231	в сравнении	1	6
232	и теперь	1	6
233	на основании	1	6
234	в настоящее	1	6
235	свидетельствует о	1	6
236	или иначе	5	6
237	к своему	2	6
238	по своему	3	6
239	по его	1	6
240	тем более	2	6
241	отличие от	7	6
242	в жизни	3	6
243	есть не	1	6
244	тех кто	1	5
245	говорит о	1	5
246	но мы	1	5
247	не прямо	1	5
248	говорит что	2	5
249	не вполне	2	5
250	отчет в	1	5
251	него не	1	5
252	из них	1	5
253	бы то	2	5
254	что они	1	5
255	во всех	3	5
256	сравнении с	1	5
257	а и	1	5
258	говорит в	2	5
259	того и	1	5
260	то ни	2	5
261	и весьма	2	5
262	и тем	4	5
263	с которым	1	5
264	можно только	1	5
265	однако и	1	5
266	в частности	18	5
267	один из	2	5
268	сводится к	11	5
269	все то	1	5
270	а иной	1	5
271	жизни в	2	5
272	владимир соловьев	1	5
273	в свою	3	5
274	и больше	2	5
275	мы имеем	6	5
276	начиная с	2	5
277	по преимуществу	3	5
278	только при	1	5
279	друг друга	1	5
280	ее в	2	5
281	не содержит	1	5
282	место в	5	5
283	в их	5	5
284	мы находим	1	5
285	и без	1	5
286	со своей	4	5
287	только к	1	5
288	эти последние	1	5
289	но она	2	5
290	далеко не	4	5
291	только то	1	5
292	которое в	1	5
293	также еще	1	5
294	бытия и	1	5
295	и прежде	3	5
296	в области	8	5
297	с которыми	1	4
298	и другие	2	4
299	на свою	2	4
300	их в	3	4
301	по своим	1	4
302	поскольку он	1	4
303	не могли	2	4
304	платона и	1	4
305	не что	1	4
306	является как	1	4
307	в глаза	2	4
308	с этими	1	4
309	что даже	1	4
310	крайней мере	1	4
311	только не	1	4
312	что иное	1	4
313	с одной	3	4
314	время в	1	4
315	есть его	1	4
316	но для	1	4
317	в последние	1	4
318	пусть он	1	4
319	это тоже	2	4
320	на этом	2	4
321	кажется что	1	4
322	когда мы	1	4
323	я в	13	4
324	всю жизнь	1	4
325	в статье	1	4
326	в особенности	1	4
327	не так	1	4
328	и против	1	4
329	как с	1	4
330	в сущности	1	4
331	не на	5	4
332	не могут	1	4
333	заключается в	2	4
334	себя и	3	4
335	всей своей	2	4
336	по крайней	1	4
337	он мог	1	4
338	перед нами	1	4
339	человека и	2	4
340	это и	2	4
341	ни к	2	4
342	и более	2	4
343	тех же	1	4
344	с которой	1	4
345	лишь в	7	4
346	мог бы	3	4
347	одной из	2	4
348	как к	5	4
349	в более	1	4
350	тем самым	5	4
351	как у	1	4
352	но с	1	4
353	этом не	1	4
354	себе в	1	4
355	в такой	1	4
356	не все	2	4
357	он говорит	1	4
358	одной стороны	3	4
359	что можно	3	4
360	же самое	1	4
361	с бытием	1	4
362	так в	4	4
363	толстого в	1	4
364	котором он	1	4
365	иное как	1	4
366	от него	1	3
367	все что	1	3
368	человеческой жизни	3	3
369	вещи в	1	3
370	из своего	1	3
371	которая в	1	3
372	к такому	1	3
373	с самим	2	3
374	строго говоря	2	3
375	не как	2	3
376	что по	1	3
377	роль в	2	3
378	к бытию	2	3
379	отличается от	2	3
380	казалось бы	1	3
381	сам же	1	3
382	в первую	1	3
383	не существует	1	3
384	и такие	1	3
385	и который	2	3
386	в противоположность	3	3
387	но во	2	3
388	в другом	4	3
389	во многих	1	3
390	если нет	1	3
391	до того	1	3
392	свою очередь	2	3
393	именно так	1	3
394	для понимания	2	3
395	который в	2	3
396	на котором	2	3
397	нет никаких	1	3
398	к этим	1	3
399	идея или	1	3
400	но из	1	3
401	время и	1	3
402	в состоянии	1	3
403	и через	1	3
404	к жизни	2	3
405	не была	1	3
406	слухи о	1	3
407	одним из	2	3
408	что не	1	3
409	я и	7	3
410	как говорит	3	3
411	между ними	5	3
412	же как	1	3
413	на земле	1	3
414	в мире	24	3
415	больше и	1	3
416	в сторону	2	3
417	бы в	1	3
418	оно не	2	3
419	человека как	1	3
420	одно и	3	3
421	не могла	1	3
422	иметь в	1	3
423	и др	2	3
424	в силу	4	3
425	дело не	2	3
426	и ее	3	3
427	первую очередь	1	3
428	и действительно	1	3
429	жизни а	2	3
430	на почве	4	3
431	была бы	3	3
432	от нас	1	3
433	что несмотря	1	3
434	том и	2	3
435	самом деле	2	3
436	от своего	2	3
437	с ними	2	3
438	взятое в	1	3
439	наконец в	1	3
440	в стихотворении	3	3
441	не могло	2	3
442	значение для	1	3
443	отношении к	3	3
444	о своем	1	3
445	года на	1	3
446	жизни по	1	3
447	в существовании	1	3
448	общего с	1	3
449	речи с	1	3
450	только о	2	3
451	конечно с	1	3
452	именно к	1	3
