N	3gram	Tiupa_Lite	Vvedenie
1	для того чтобы	1	22
2	в том что	15	15
3	о том что	3	13
4	не может быть	5	10
5	тем не менее	4	9
6	до сих пор	1	7
7	в той мере	1	6
8	в самом деле	1	6
9	в то же	12	6
10	в этом случае	2	6
11	то же время	12	6
12	и т п	2	5
13	в том чтобы	1	5
14	с другой стороны	5	5
15	во всяком случае	2	5
16	по отношению к	4	4
17	по крайней мере	2	4
18	с точки зрения	4	4
19	так или иначе	8	4
20	можно было бы	2	4
21	не только в	4	4
22	в данном случае	6	4
23	в отличие от	6	4
24	но все же	1	4
25	с одной стороны	8	4
26	в этом отношении	5	4
27	и в этом	1	4
28	в конечном итоге	1	3
29	одной стороны и	1	3
30	той или иной	1	3
31	в свое время	1	3
32	дело в том	2	3
33	но в то	1	3
34	как мы видели	1	3
35	в зависимости от	1	3
36	тех или иных	2	3
37	и то что	2	3
38	по этому поводу	1	3
39	в целом ряде	2	2
40	в свою очередь	2	2
41	на задний план	1	2
42	на том что	1	2
43	этой точки зрения	3	2
44	том или ином	1	2
45	еще при жизни	1	2
46	с этой точки	3	2
47	только в том	2	2
48	в начале xix	1	2
49	и то же	1	2
50	состоит в том	8	2
51	не говоря уже	3	2
52	это еще не	1	2
53	в конце концов	1	2
54	одно и то	1	2
55	в соответствии с	2	2
56	и того же	1	2
57	подобно тому как	4	2
58	не могут быть	1	2
59	в связи с	4	2
60	во второй половине	1	2
61	а так как	1	2
62	в другом месте	1	2
63	одного и того	1	2
64	после того как	1	2
65	а также и	1	2
66	в тексте не	2	1
67	и т.д и	1	1
68	в тексте этого	1	1
69	с полным основанием	1	1
70	что в ней	1	1
71	тех пор пока	2	1
72	в этой системе	1	1
73	в том же	3	1
74	все то что	1	1
75	может быть назван	1	1
76	себе самому и	1	1
77	цикл так называемых	1	1
78	одним из наиболее	2	1
79	языка на котором	1	1
80	на вопрос что	1	1
81	тем что в	2	1
82	прежде всего разумеется	1	1
83	может быть сказано	1	1
84	дело не только	2	1
85	как мы знаем	1	1
86	естественно не мог	1	1
87	как это было	1	1
88	в этом качестве	1	1
89	имеется в виду	1	1
90	на самом деле	1	1
91	того же автора	1	1
92	здесь как и	1	1
93	не с чем	1	1
94	в целом но	2	1
95	в руках у	1	1
96	какой бы то	1	1
97	как один из	1	1
98	в том числе	2	1
99	в духовной жизни	1	1
100	пор пока не	1	1
101	в лучшем случае	1	1
102	до тех пор	2	1
103	различие между ними	1	1
104	в частности в	1	1
105	для того кто	1	1
106	говоря уже о	2	1
107	все же в	2	1
108	хотя бы на	1	1
109	отрицать того что	1	1
110	с различной степенью	1	1
111	руках у нас	1	1
112	было бы именовать	1	1
113	а потому и	1	1
114	только потому что	1	1
115	во многих случаях	1	1
116	и прежде всего	4	1
117	том что в	1	1
118	в сравнении с	2	1
119	но в силу	1	1
120	с самого начала	1	1
121	том что он	1	1
122	может быть названа	2	1
123	и я и	4	1
124	то ни было	1	1
125	принципе не может	1	1
126	и как раз	1	1
127	не могло не	1	1
128	имел в виду	2	1
129	к тому что	1	1
130	в момент своего	1	1
131	только то что	2	1
132	перед собой задачу	1	1
133	теми или иными	1	1
134	бы то ни	1	1
135	между прочим и	1	1
136	ту или иную	2	1
137	из того что	2	1
138	а не только	1	1
139	платона и аристотеля	1	1
140	в значительной степени	1	1
141	это прежде всего	1	1
142	прежде всего в	4	1
143	друг для друга	2	1
144	на эту тему	1	1
145	в чистом виде	1	1
146	как уже говорилось	1	1
147	имеем дело с	1	1
148	том что не	1	1
149	в принципе не	2	1
150	мы имеем дело	2	1
151	по тому же	1	1
152	но с другой	3	1
153	более широкого и	1	1
