N	3gram	Voloshinov	Dialekti
1	с точки зрения	2	46
2	сама по себе	1	26
3	по крайней мере	1	26
4	в том что	4	25
5	не может быть	7	18
6	тем не менее	3	16
7	сам по себе	1	16
8	то же время	1	15
9	в то же	1	14
10	и то же	2	12
11	с другой стороны	2	12
12	о том что	1	12
13	одно и то	2	12
14	ровно ничего не	1	12
15	в самом деле	1	10
16	по себе не	1	9
17	и в этом	1	9
18	подобно тому как	1	9
19	только то что	1	8
20	в то время	1	8
21	и та же	1	8
22	то время как	1	8
23	одна и та	1	8
24	в этом смысле	1	8
25	можно сказать что	5	7
26	сами по себе	1	7
27	и в частности	1	7
28	в коем случае	1	6
29	более или менее	1	6
30	ни в коем	1	6
31	в зависимости от	2	6
32	и прежде всего	1	6
33	то что мы	1	6
34	во всяком случае	1	6
35	с одной стороны	2	6
36	может быть и	3	6
37	на самом деле	2	5
38	ничего общего с	1	5
39	не есть только	1	5
40	до сих пор	3	5
41	одной стороны и	2	4
42	ни в чем	1	4
43	так же как	1	4
44	этой точки зрения	3	4
45	может быть только	1	4
46	в данном случае	2	4
47	к тому же	1	4
48	то же самое	2	4
49	равно как и	1	4
50	мы можем сказать	2	4
51	можно было бы	1	4
52	в этом отношении	1	4
53	тех или иных	1	3
54	самом же деле	1	3
55	того что именно	1	3
56	и что она	1	3
57	но все же	1	3
58	на самом же	1	3
59	так как будто	1	3
60	бы то ни	3	3
61	и не может	3	3
62	ни в какой	1	3
63	как и в	1	3
64	то что я	1	3
65	с этой стороны	2	3
66	но в то	1	3
67	с самого начала	1	3
68	же как и	1	3
69	и в нем	1	3
70	том что все	1	2
71	том что в	1	2
72	за его пределы	1	2
73	в жизни и	2	2
74	не только его	1	2
75	далеко не всегда	1	2
76	уже не есть	1	2
77	она не может	1	2
78	в отношении к	2	2
79	мы никогда не	2	2
80	но для этого	1	2
81	в чем не	1	2
82	хотя бы только	1	2
83	и с другой	1	2
84	или хотя бы	1	2
85	в свою очередь	1	2
86	друг к другу	1	2
87	что мы воспринимаем	1	2
88	мы уже сказали	1	2
89	и не в	3	2
90	но все это	1	2
91	дело в том	4	2
92	не должно быть	1	2
93	в лучшем случае	1	2
94	в нем и	1	2
95	не должна быть	1	2
96	мы имеем дело	1	2
97	в каком отношении	2	1
98	как одно из	1	1
99	чтобы убедиться в	1	1
100	имеет в виду	3	1
101	в нашем случае	1	1
102	это как бы	3	1
103	он еще не	1	1
104	относится не к	1	1
105	до известной степени	2	1
106	и независимо от	1	1
107	точки зрения не	1	1
108	этом смысле она	1	1
109	не в такой	1	1
110	и на этом	1	1
111	по себе в	1	1
112	стороны и с	1	1
113	в своем движении	1	1
114	с ним в	1	1
115	того кто является	1	1
116	бы не было	1	1
117	в ней как	2	1
118	так и к	1	1
119	что не только	1	1
120	совершенно ясно что	1	1
121	на этом основании	1	1
122	как например в	1	1
123	если же оно	1	1
124	в такой же	2	1
125	о том кто	1	1
126	было бы показать	1	1
127	на них в	1	1
128	может быть следовательно	1	1
129	и таким образом	1	1
130	мы все время	2	1
131	но если бы	1	1
132	если же он	1	1
133	не может находиться	1	1
134	то ни было	3	1
135	как мы уже	1	1
136	в виду и	1	1
137	в конечном счете	1	1
138	и не требует	1	1
139	они должны быть	1	1
140	и делает его	1	1
141	допустим что мы	1	1
142	ясно что не	1	1
143	нужно думать что	1	1
144	отнюдь не является	1	1
145	можно найти в	1	1
146	в своем значении	1	1
147	сих пор не	1	1
148	бьют мимо цели	1	1
149	даже тогда когда	1	1
150	в том и	1	1
151	мы это уже	1	1
152	но прежде всего	1	1
153	никогда не бывает	1	1
154	точек зрения и	1	1
155	как на нечто	1	1
156	но и в	1	1
157	это не так	2	1
158	может быть ни	1	1
159	это мы еще	1	1
160	и тому же	1	1
161	так можно сказать	1	1
162	имеем в виду	2	1
163	все более и	1	1
164	крайней мере два	1	1
165	не менее эта	1	1
166	жизни и уже	1	1
167	ней как в	1	1
168	в виду не	1	1
169	более и более	1	1
170	а между тем	1	1
171	зависит от того	2	1
172	все же не	1	1
173	самом деле это	1	1
174	уже не может	1	1
175	со всех сторон	1	1
176	может находиться в	1	1
177	во всех языках	1	1
178	что мы имеем	1	1
179	включает в себя	1	1
180	точки зрения уже	1	1
181	мы имеем в	1	1
182	одному и тому	1	1
183	но тем не	2	1
184	уже и сейчас	1	1
185	сих пор мы	1	1
186	она в самом	1	1
187	должна быть обязательно	1	1
188	и ее истории	1	1
189	таким образом только	1	1
190	если бы действительно	1	1
191	не нужно думать	1	1
192	отношение как и	1	1
193	по самому существу	1	1
194	оно по природе	1	1
195	есть в ней	1	1
196	в основе своей	1	1
197	но зато она	1	1
198	если бы не	1	1
