N	2gram	Vygotskiy_	Analitik
1	не только	25	71
2	тогда как	1	67
3	и в	55	66
4	в качестве	3	61
5	литературного произведения	1	58
6	но и	12	57
7	в том	55	52
8	может быть	35	52
9	в этом	21	51
10	в частности	6	51
11	как и	25	50
12	и не	24	48
13	а не	18	42
14	при этом	28	40
15	том что	30	40
16	то есть	44	35
17	так и	6	35
18	художественного впечатления	2	34
19	в мире	1	31
20	представляет собой	2	30
21	своего рода	1	30
22	состоит в	5	30
23	отнюдь не	11	29
24	как бы	11	29
25	не может	30	29
26	а в	10	28
27	в его	8	27
28	и его	14	27
29	не в	19	26
30	но не	5	26
31	в себе	6	24
32	иначе говоря	6	23
33	что в	39	22
34	и даже	11	22
35	к тому	8	22
36	в этой	5	22
37	о том	11	20
38	в самом	18	19
39	то же	17	19
40	в своей	6	19
41	с его	3	19
42	но в	5	19
43	в данном	1	18
44	в то	8	18
45	эстетического объекта	2	17
46	тем самым	2	17
47	с другой	7	17
48	только в	18	17
49	со стороны	5	17
50	такого рода	1	17
51	в целом	8	17
52	что и	27	16
53	могут быть	15	16
54	то что	47	16
55	в пределах	1	16
56	и на	6	15
57	не есть	4	15
58	между тем	6	15
59	уже не	3	15
60	прежде всего	5	15
61	в сущности	15	15
62	в их	4	15
63	литературное произведение	1	15
64	в принципе	1	14
65	не менее	9	14
66	того же	3	14
67	в себя	3	14
68	мы имеем	7	14
69	же время	2	14
70	в отличие	4	14
71	данном случае	1	14
72	столь же	6	14
73	отличие от	6	14
74	далеко не	7	14
75	по себе	21	13
76	точки зрения	32	13
77	тому же	4	13
78	он не	8	13
79	этого слова	5	13
80	ничего не	4	13
81	как раз	4	13
82	для него	1	13
83	а также	1	13
84	произведение искусства	9	13
85	и к	5	12
86	и сам	3	12
87	никогда не	13	12
88	как это	8	12
89	в первой	1	12
90	сводится к	3	12
91	как в	17	12
92	еще не	2	12
93	произведения как	3	12
94	в конечном	6	12
95	есть не	6	12
96	в той	2	11
97	даже в	2	11
98	конечном счете	6	11
99	имеем дело	2	11
100	в свою	3	11
101	той же	9	11
102	это не	1	11
103	можно сказать	2	11
104	и как	9	11
105	не следует	1	11
106	нуждается в	3	11
107	именно в	1	10
108	все же	9	10
109	едва ли	5	10
110	с одной	6	10
111	в произведении	7	10
112	в конце	6	10
113	было бы	14	10
114	однако в	2	10
115	подобно тому	7	10
116	совпадает с	4	10
117	особенно в	1	10
118	того или	2	10
119	один из	6	10
120	говорит о	4	9
121	не столько	1	9
122	в результате	4	9
123	другой стороны	7	9
124	художественного восприятия	2	9
125	и того	1	9
126	одной стороны	7	9
127	свою очередь	3	9
128	том чтобы	9	9
129	в своем	3	9
130	по поводу	3	9
131	крайней мере	1	9
132	таким образом	38	9
133	во всех	4	9
134	в русской	1	9
135	за пределы	2	9
136	или иного	1	9
137	только не	4	9
138	имеет место	2	9
139	вместе с	10	9
140	по крайней	1	9
141	автора и	1	9
142	тому как	10	9
143	того что	15	9
