N	4gram	Bakhtin_KF	formyVre
1	в то же время	2	18
2	одного и того же	1	9
3	и в то же	1	8
4	с нашей точки зрения	1	3
5	ни в чем не	4	3
6	бы он ни был	2	3
7	но в то же	1	3
8	не может войти в	1	2
9	но для того чтобы	1	2
10	дело в том что	1	2
11	одна и та же	2	2
12	имеет место и в	1	1
13	в соотнесении с конкретной	1	1
14	времени и пространства и	1	1
15	и может быть только	1	1
16	и пр все это	1	1
17	каким бы он ни	1	1
18	в целом может быть	1	1
19	истина добро красота и	1	1
20	не имеем в виду	2	1
21	время и пространство в	1	1
22	того мира в котором	1	1
23	мир в котором он	1	1
24	когда мы говорим о	1	1
25	в данный момент в	1	1
26	только в том что	1	1
27	но во всяком случае	1	1
28	для него самого и	1	1
29	во всех своих моментах	2	1
30	мы будем говорить в	1	1
31	во всех этих случаях	1	1
32	до сих пор не	1	1
