N	2gram	Tiupa_Anal	Komedia
1	и в	30	77
2	и не	33	47
3	в том	36	44
4	том что	21	42
5	о том	11	33
6	едва ли	4	32
7	но и	29	32
8	может быть	33	30
9	из них	2	29
10	таким образом	5	29
11	в то	10	28
12	и его	9	28
13	в этом	31	27
14	потому что	3	27
15	что он	3	26
16	молодого человека	1	26
17	к тому	12	26
18	тому же	6	25
19	не только	30	25
20	вместе с	6	25
21	так как	3	24
22	как и	23	23
23	ни в	5	23
24	что в	7	23
25	в самом	12	22
26	что и	5	22
27	если бы	6	22
28	то же	12	21
29	в конце	4	21
30	так и	16	21
31	а в	11	21
32	в его	15	20
33	к этому	2	19
34	во время	1	19
35	со стороны	5	19
36	в этой	12	18
37	тем что	2	17
38	же время	7	17
39	в нем	3	17
40	и здесь	1	17
41	и т	3	17
42	еще не	5	17
43	при этом	20	16
44	все же	4	16
45	не менее	5	16
46	у него	5	16
47	сих пор	1	16
48	он не	4	16
49	действующих лиц	1	16
50	и сам	4	16
51	до сих	1	16
52	тот же	2	16
53	не в	17	15
54	в своем	2	15
55	точки зрения	10	15
56	его в	2	15
57	в которой	3	15
58	на себя	5	15
59	между тем	7	15
60	один из	4	15
61	и на	10	15
62	было бы	4	15
63	прежде всего	8	15
64	и с	2	14
65	на протяжении	2	14
66	столь же	7	14
67	к нему	4	14
68	в свою	1	14
69	все это	2	14
70	ли не	1	14
71	об этом	1	14
72	только что	1	13
73	самом деле	3	13
74	о чем	3	13
75	в них	1	13
76	в одном	3	13
77	что она	1	13
78	того же	7	13
79	как раз	5	13
80	в двух	4	13
81	так что	3	13
82	то что	11	13
83	того чтобы	3	13
84	но в	11	13
85	в котором	5	12
86	для того	4	12
87	так же	1	12
88	с другой	7	12
89	несмотря на	5	12
90	хотя и	4	12
91	в качестве	38	12
92	как это	5	12
93	т п	3	12
94	из которых	4	12
95	как в	3	12
96	уже в	1	12
97	нового времени	1	12
98	в начале	3	12
99	не может	26	12
100	но не	13	12
101	и даже	10	11
102	с тем	1	11
103	по отношению	10	11
104	что его	1	11
105	с ним	6	11
106	речь идет	2	11
107	как мы	3	11
108	на этот	2	11
109	и для	3	11
110	в их	8	11
111	в частности	32	11
112	одного из	4	11
113	сразу же	1	10
114	он был	3	10
115	свою очередь	1	10
116	на него	3	10
117	тут же	2	10
118	с одной	7	10
119	к себе	1	10
120	в чем	2	10
121	как бы	15	10
122	и что	2	10
123	в отношении	2	10
124	и все	5	10
125	более чем	4	10
126	одной из	2	10
127	в глазах	1	10
128	с его	3	10
129	ничего не	10	10
130	хоть и	1	10
131	мы не	1	10
132	на его	4	10
133	тем более	2	10
134	что касается	4	10
135	еще в	4	10
136	отношение к	2	10
137	же в	1	10
138	в целом	9	10
139	все что	3	9
140	но все	1	9
141	в своей	7	9
142	одной стороны	6	9
143	говорить о	3	9
144	тому что	2	9
145	только в	8	9
146	друг друга	1	9
147	в тех	1	9
148	даже не	2	9
149	о его	5	9
150	и по	2	9
151	независимо от	2	9
152	из его	2	9
153	в образе	1	9
154	однако в	4	9
155	ответ на	3	9
156	а также	8	9
157	вовсе не	4	9
158	отличие от	8	9
159	в ней	1	9
160	и особенно	4	9
161	отношению к	9	9
162	с этой	2	8
163	а затем	3	8
164	другой стороны	2	8
165	что ни	2	8
166	по поводу	4	8
167	такого рода	6	8
168	не было	1	8
169	не знает	4	8
170	бы в	3	8
171	во всех	5	8
172	то ни	3	8
173	можно было	1	8
174	что для	1	8
175	первую очередь	1	8
176	если не	2	8
177	в которых	1	8
178	да и	2	8
179	в течение	1	8
180	тех пор	1	8
181	связи с	2	8
182	по своему	1	8
183	как он	4	8
184	при всем	1	8
185	идет о	1	8
186	в в	1	8
187	и ее	1	8
188	место в	3	8
189	и к	5	7
190	дело с	5	7
191	в результате	3	7
192	в этих	3	7
193	равно как	1	7
194	если в	3	7
195	обращает на	3	7
196	себе в	2	7
197	во всяком	1	7
198	в первую	1	7
199	вопрос о	2	7
200	хотя бы	4	7
201	в другом	4	7
202	бы то	3	7
203	в н	1	7
204	ни было	4	7
205	х годов	2	7
206	в связи	2	7
207	так или	1	7
208	себя внимание	3	7
209	и тот	2	7
210	перед лицом	6	7
211	в себе	17	7
212	к его	3	7
213	не имеет	1	7
214	не является	3	7
215	из этих	2	7
216	и во	3	7
217	но если	1	7
218	всяком случае	1	7
219	для нас	1	7
220	со своим	4	7
221	или иначе	2	7
222	этот раз	1	7
223	само собой	1	7
224	отнюдь не	22	7
225	у того	1	7
226	тех же	1	7
227	и о	3	7
228	говоря уже	1	6
229	еще более	1	6
230	даже в	5	6
231	его от	3	6
232	в виду	2	6
233	с собой	1	6
234	в своих	1	6
235	в наиболее	3	6
236	представляет собой	23	6
237	уже о	1	6
238	как правило	7	6
239	не мог	3	6
240	и он	1	6
241	не слишком	1	6
242	с точки	6	6
243	что не	3	6
244	на этом	4	6
245	и тем	4	6
246	не приходится	2	6
247	могут быть	12	6
248	в силу	4	6
249	всего в	3	6
250	мы встречаем	1	6
251	на ее	1	6
252	в сущности	10	6
253	никто не	3	6
254	а не	25	6
255	в отличие	8	6
256	нет и	2	6
257	в области	4	6
258	тем не	3	6
259	на вопрос	5	6
260	в т	2	6
261	том числе	3	6
262	здесь в	2	6
263	когда же	1	6
264	или в	2	6
265	в какой	3	6
266	и как	6	6
267	к концу	1	6
268	на то	2	6
269	это было	1	6
270	не говоря	2	6
271	человека в	1	6
272	до тех	1	6
273	во второй	3	6
274	когда он	1	6
275	на это	2	6
276	как будто	6	6
277	для всех	1	5
278	в первом	3	5
279	за ним	2	5
280	именно в	6	5
281	его на	1	5
282	роль в	3	5
283	со своей	2	5
284	в действительности	2	5
285	восходит к	2	5
286	к ним	1	5
287	сказать что	2	5
288	все время	1	5
289	который в	3	5
290	от них	1	5
291	тем же	1	5
292	себя в	8	5
293	ни малейшего	1	5
294	никогда не	4	5
295	представить себе	1	5
296	последние десятилетия	1	5
297	в ее	2	5
298	но он	1	5
299	одним из	3	5
300	в мире	14	5
301	одном из	1	5
302	между собой	2	5
303	все остальные	1	5
304	даже если	1	5
305	в первой	2	5
