N	2gram	Savitsky_P	Russkaja
1	не может	4	22
2	и не	12	19
3	в этом	10	17
4	в том	9	17
5	с другом	1	14
6	и в	14	14
7	друг с	1	14
8	то что	4	13
9	соединении церквей	1	12
10	о соединении	1	11
11	то же	9	11
12	точки зрения	3	11
13	но и	6	10
14	же время	7	10
15	в то	7	10
16	не только	17	9
17	с точки	3	9
18	том что	4	9
19	во всяком	1	9
20	может быть	5	9
21	церкви и	2	9
22	в себе	3	9
23	прежде всего	3	8
24	русской интеллигенции	1	8
25	того чтобы	1	8
26	как на	2	8
27	ни к	1	7
28	россии в	5	7
29	стремление к	1	7
30	в данном	1	7
31	и если	4	7
32	мы должны	4	7
33	и с	2	7
34	отнюдь не	2	7
35	и к	4	6
36	если в	2	6
37	и при	1	6
38	все это	2	6
39	если бы	4	6
40	в россии	3	6
41	с тем	3	6
42	для того	3	6
43	в своем	4	6
44	всяком случае	1	6
45	и на	1	5
46	только в	7	5
47	или иной	1	5
48	в последние	2	5
49	соединению церквей	1	5
50	во всех	2	5
51	и только	1	5
52	вопрос о	1	5
53	хотя бы	8	5
54	потому что	3	5
55	в нем	3	5
56	между тем	3	5
57	а в	4	5
58	было бы	6	5
59	на то	1	5
60	никогда не	1	5
61	что в	4	4
62	и то	1	4
63	к этой	1	4
64	тогда когда	1	4
65	в его	2	4
66	к соединению	1	4
67	его в	1	4
68	более или	1	4
69	не в	5	4
70	он будет	1	4
71	вместе с	1	4
72	как и	1	4
73	в мире	2	4
74	все же	1	4
75	со стороны	2	4
76	или менее	1	4
77	идет речь	1	4
78	как бы	4	4
79	в этой	1	4
80	себя в	1	4
81	но не	3	4
82	в самом	1	3
83	был и	1	3
84	что оно	1	3
85	может не	1	3
86	должно быть	2	3
87	вопросу о	1	3
88	что это	1	3
89	в качестве	9	3
90	для них	2	3
91	что и	1	3
92	сводится к	3	3
93	в виде	2	3
94	не было	2	3
95	вселенской церкви	1	3
96	перед россией	1	3
97	именно в	2	3
98	к народу	1	3
99	и как	3	3
100	и т	3	3
101	да и	2	3
102	о котором	1	3
103	не есть	1	3
104	культуры в	2	3
105	еще не	1	3
106	и потому	4	3
107	только к	1	3
108	одна из	2	3
109	в значительной	2	3
110	говорить о	2	3
111	борьбе с	1	3
112	от церкви	1	3
113	знаем что	1	3
114	в большинстве	1	3
115	россии и	4	3
116	она может	1	3
117	главным образом	2	3
118	тем чтобы	1	3
119	что все	1	3
120	и по	1	3
121	друг друга	1	3
122	из этих	1	3
123	для этого	1	3
124	признание что	2	3
125	из них	2	3
126	того что	2	3
127	были бы	1	2
128	представить себе	1	2
129	вполне и	1	2
130	что с	1	2
131	именно на	1	2
132	и вот	2	2
133	должна быть	1	2
134	время в	2	2
135	из всех	1	2
136	от этой	1	2
137	для нас	2	2
138	европейской культуры	4	2
139	в результате	1	2
140	в этих	1	2
141	по себе	4	2
142	их не	1	2
143	чтобы в	1	2
144	не о	2	2
145	к чему	2	2
146	на себя	1	2
147	но для	1	2
148	отношения к	2	2
149	ясно что	1	2
150	помнить что	2	2
151	большинстве случаев	1	2
152	в порядке	3	2
153	стремления к	1	2
154	нисколько не	1	2
155	так же	1	2
156	в других	1	2
157	вероисповедания в	1	2
158	бы нас	1	2
159	чтобы понять	1	2
160	с этим	2	2
161	на россию	1	2
162	мы можем	1	2
163	на этой	1	2
164	а с	1	2
165	за то	1	2
166	стремиться к	1	2
167	и более	1	2
168	в котором	4	2
169	в борьбе	1	2
170	она не	1	2
171	при отсутствии	1	2
172	от европы	2	2
173	значительной части	1	2
174	русской культуры	1	2
175	в ней	6	2
176	во многих	1	2
177	значительной мере	2	2
178	и тем	2	2
179	в частности	2	2
180	а не	2	2
181	только на	1	2
182	отношении к	5	2
183	есть и	1	2
184	в силу	2	2
185	и что	1	2
186	на основании	1	2
187	в начале	2	2
188	тем самым	3	2
189	россию и	1	2
190	настоящее время	1	2
191	культуры и	1	2
192	друг другу	2	2
193	пути к	1	2
194	но в	9	2
195	и есть	2	2
196	место в	1	2
197	и о	5	2
198	значило бы	1	2
199	бы ни	2	2
200	в области	11	2
201	это в	1	2
202	не просто	1	2
203	в настоящее	1	2
204	не к	2	2
205	и осуществить	1	1
206	не доходят	1	1
207	русской культуре	1	1
208	ее части	1	1
209	значительная часть	1	1
210	рабочих и	1	1
211	государство и	1	1
212	что его	1	1
213	проблема и	1	1
214	и многие	1	1
215	и мы	2	1
216	в жертву	1	1
217	и заблуждения	1	1
218	они не	1	1
219	у одних	1	1
220	церкви в	1	1
221	вселенской и	1	1
222	эта не	1	1
223	переходит в	1	1
224	том числе	2	1
225	мы не	3	1
226	этих последствий	1	1
227	это не	3	1
228	хозяйственной жизни	1	1
229	мы знаем	1	1
230	в себя	1	1
231	в применении	1	1
232	вопроса необходимо	1	1
233	прийти к	1	1
234	эта идея	2	1
235	себе те	1	1
236	от рабства	1	1
237	церквей есть	1	1
238	взор исключительно	1	1
239	многие из	1	1
240	что при	1	1
241	в ее	2	1
242	тем чем	1	1
243	те же	1	1
244	в преодолении	1	1
245	таковы реальные	1	1
246	и всегда	1	1
247	в тот	2	1
248	области техники	1	1
249	с богом	1	1
250	не столько	2	1
251	ибо только	1	1
252	россия в	3	1
253	быть может	6	1
254	что народ	1	1
255	в русском	2	1
256	но на	1	1
257	церковь и	1	1
258	совершенно ясно	1	1
259	на будущее	1	1
260	называли себя	1	1
261	есть проблема	1	1
262	в которой	1	1
263	от тех	1	1
264	заключает в	2	1
265	в собственном	1	1
266	черты в	1	1
267	и россия	1	1
268	россию как	1	1
269	тем при	1	1
270	слова но	2	1
271	что по	1	1
272	отказом от	1	1
273	считают себя	1	1
274	заключается в	3	1
275	мысль о	2	1
276	из двух	1	1
277	оно есть	1	1
278	которое в	2	1
279	что не	1	1
280	к стремлению	1	1
281	в эпоху	1	1
282	в православии	1	1
283	этого творчества	1	1
284	или хотя	1	1
285	к другим	1	1
286	если он	1	1
287	исходить из	1	1
288	в жизни	2	1
289	более что	1	1
290	тем же	1	1
291	из тех	1	1
292	и без	3	1
293	и иерархии	1	1
294	выражается в	1	1
295	с ними	3	1
296	и внутренне	1	1
297	для каждого	1	1
298	есть та	1	1
299	же как	1	1
300	и часть	1	1
301	веры и	1	1
302	только то	1	1
303	между прочим	2	1
304	в одно	1	1
305	в которых	5	1
306	не менее	2	1
307	в истории	1	1
308	обе эти	1	1
309	или что	1	1
310	с чертами	1	1
311	в свете	1	1
312	и это	2	1
313	европы и	1	1
314	в обстановке	7	1
315	числе и	1	1
316	должен быть	1	1
317	путь ведущий	1	1
318	некоторых частей	1	1
319	и построений	1	1
320	тем более	2	1
321	казалось бы	1	1
322	они стремятся	1	1
323	выступит в	1	1
324	тем в	1	1
325	или политической	1	1
326	знаем и	1	1
327	ни на	1	1
328	россия есть	1	1
329	по количеству	1	1
330	интеллигенции и	1	1
331	полной мере	2	1
332	но как	1	1
333	политического и	1	1
334	и эти	1	1
335	к победе	1	1
336	и других	2	1
337	в полной	2	1
338	эти последние	1	1
339	применении к	1	1
340	усомниться в	1	1
341	в европе	2	1
342	этих учений	1	1
343	он был	1	1
344	и усилению	1	1
345	чем то	1	1
346	интересов и	1	1
347	народа его	2	1
348	и национальные	1	1
349	также и	1	1
350	по сравнению	2	1
351	многих случаях	1	1
352	татары не	1	1
353	или все	1	1
354	оставаясь в	1	1
355	исторических эпох	1	1
356	и теперь	1	1
357	только один	1	1
358	и вся	1	1
359	не исключает	1	1
360	что эта	1	1
361	не об	1	1
362	в различных	1	1
363	не могла	1	1
364	кто не	1	1
365	эта задача	1	1
366	мы хотим	1	1
367	стороны и	2	1
368	и знать	1	1
369	как оно	1	1
370	человека с	1	1
371	национального целого	1	1
372	с ее	1	1
373	с другой	5	1
374	своих интересов	1	1
375	в прошлом	1	1
376	из нее	1	1
377	к ним	1	1
378	может ли	2	1
379	тот или	1	1
380	национальность в	1	1
381	самой россии	1	1
382	в сфере	2	1
383	наука и	1	1
384	что во	1	1
385	если мы	1	1
386	та или	1	1
387	могут быть	3	1
388	этот выход	1	1
389	формы в	1	1
390	и экономической	1	1
391	может оказаться	1	1
392	без того	1	1
393	с которым	1	1
394	теми же	1	1
395	столь же	3	1
396	верить что	1	1
397	в общем	2	1
398	русских людей	1	1
399	том виде	1	1
400	православная церковь	2	1
401	христианства в	1	1
402	и духовный	1	1
403	исторической и	1	1
404	бы это	1	1
405	связаны с	1	1
406	может и	2	1
407	этот долг	1	1
408	законченной в	1	1
409	догматов и	1	1
410	поскольку она	1	1
411	есть не	2	1
412	подходя к	1	1
413	никак не	2	1
414	если будет	1	1
