N	3gram	Vinokur_St	Istorich
1	и т д	25	142
2	с другой стороны	8	46
3	до сих пор	12	30
4	в этом случае	3	29
5	с одной стороны	2	28
6	так же как	5	27
7	в том что	29	25
8	не может быть	5	24
9	вместе с тем	2	23
10	но все же	3	23
11	тем не менее	4	23
12	точно так же	2	22
13	о том что	19	22
14	не только в	4	19
15	о том как	1	15
16	в данном случае	7	15
17	после того как	5	15
18	по отношению к	3	14
19	на то что	5	14
20	в то время	2	13
21	то время как	1	13
22	но и в	2	12
23	во всех этих	1	11
24	т е в	3	11
25	как и в	2	10
26	можно было бы	8	10
27	что и в	4	10
28	более или менее	2	9
29	же как и	1	9
30	в таких случаях	1	9
31	и вместе с	1	9
32	совершенно так же	1	8
33	надо сказать что	1	8
34	с того что	2	8
35	на этот вопрос	2	8
36	и то что	2	8
37	что у него	1	8
38	в исторической действительности	1	8
39	в зависимости от	2	8
40	дело не в	2	7
41	с этой стороны	1	7
42	смысле этого слова	1	7
43	то что в	3	7
44	во всяком случае	8	7
45	что он не	5	7
46	так например в	4	7
47	потому что он	1	7
48	если бы мы	2	7
49	на том что	1	6
50	и в других	1	6
51	к тому же	2	6
52	но это не	1	6
53	так как в	2	6
54	т д но	4	6
55	это может быть	1	6
56	с самого начала	3	6
57	то что он	3	5
58	том что в	4	5
59	для того чтобы	13	5
60	должны были бы	1	5
61	в отличие от	1	5
62	в том чтобы	1	5
63	и что он	1	5
64	показывает что он	1	5
65	в том числе	3	5
66	т д и	2	5
67	другой стороны и	1	5
68	в другом месте	1	5
69	так и в	5	5
70	т д в	1	5
71	на самом деле	7	5
72	так или иначе	3	4
73	на своем пути	1	4
74	только то что	1	4
75	с точки зрения	10	4
76	там где нет	1	4
77	т е с	3	4
78	в одной из	3	4
79	это еще не	1	4
80	содержит в себе	1	4
81	вопрос о том	4	4
82	он не может	1	4
83	то что она	1	4
84	иметь в виду	2	4
85	сами по себе	2	4
86	в это время	3	4
87	мы до сих	1	4
88	а иногда и	2	4
89	ничего не говорится	1	4
90	между прочим и	1	4
91	он должен был	2	3
92	как будто бы	1	3
93	и то же	1	3
94	не только с	2	3
95	же как в	1	3
96	не только не	2	3
97	в иных случаях	2	3
98	в обоих случаях	2	3
99	в точности соответствует	1	3
100	что в этом	1	3
101	по этому поводу	4	3
102	к тому что	4	3
103	в одном из	4	3
104	за то что	5	3
105	если бы она	1	3
106	тесно связан с	1	3
107	не только по	1	3
108	дело в том	7	3
109	с другой же	1	3
110	ответ на вопрос	2	3
111	другой же стороны	1	3
112	а не на	1	3
113	не потому ли	2	3
114	по сравнению с	1	3
115	дело не только	1	3
116	в ответ на	1	3
117	из этих двух	2	3
118	не в том	3	3
119	в соответствии с	1	3
120	не могло быть	1	3
121	то ни было	1	3
122	бы то ни	2	3
123	так же и	1	3
124	говорит об этом	2	3
125	сих пор не	1	3
126	но он не	1	3
127	таким образом в	1	3
128	же как у	1	3
129	но и здесь	2	3
130	в том смысле	4	3
131	внимание на то	1	3
132	никакого сомнения что	1	3
133	что там где	1	3
134	что в нем	2	3
135	по его мнению	1	3
136	и в области	5	3
137	в его работе	1	2
138	но то что	1	2
139	не в количестве	1	2
140	а может быть	1	2
141	каждого из них	3	2
142	это не значит	3	2
143	в том как	3	2
144	том отношении что	2	2
145	и т п	11	2
146	в прямом смысле	2	2
147	в самом деле	7	2
148	обращает на себя	2	2
149	как и другие	1	2
150	быть не может	1	2
151	друг от друга	1	2
152	сам по себе	1	2
153	сказать что в	3	2
154	ничего общего с	3	2
155	но это еще	1	2
156	уже после того	2	2
157	том числе и	2	2
158	и таким образом	1	2
159	во многих случаях	2	2
160	а в том	1	2
161	если не считать	1	2
162	что это не	2	2
163	и для нас	1	2
164	мы имеем дело	1	2
165	нет никакого сомнения	1	2
166	но в целом	2	2
167	только в том	3	2
168	во всех случаях	1	2
169	но все это	2	2
170	данном случае в	2	2
171	прямом смысле этого	1	2
172	том что и	1	2
173	еще не означает	1	2
174	большую роль в	1	2
175	в виду что	1	2
176	вместо того чтобы	1	2
177	возможно что в	2	2
178	может быть и	2	2
179	но все эти	1	2
180	но если это	2	2
181	в ту же	1	2
182	что в одном	1	2
183	вовсе не в	2	2
184	не значит что	3	2
185	на вопрос о	3	2
186	только тем что	1	2
187	том что она	1	2
188	хотя бы в	1	2
189	но в том-то	1	2
190	а не в	1	2
191	с тех пор	1	2
192	и в том	3	2
193	и те же	1	2
194	и не может	1	2
195	то что было	1	2
196	имеет право на	1	2
197	ответить на вопрос	1	2
198	т е не	2	2
199	тем что в	2	2
200	к тому времени	2	2
201	он не только	2	2
202	об этом можно	1	2
203	о том чем	1	2
204	но для нас	1	2
205	того как он	1	2
206	ответ на этот	1	2
207	одно и то	1	2
208	объясняется тем что	1	2
209	только потому что	2	2
210	с подобного рода	1	2
211	том что он	6	2
212	то обстоятельство что	3	2
213	даже в качестве	1	2
214	в том отношении	4	2
215	в том-то и	2	2
216	имеем дело с	2	2
217	она до сих	1	1
218	к выводу что	1	1
219	он является в	1	1
220	до того как	3	1
221	очень велика в	1	1
222	потому что оно	1	1
223	что у нас	1	1
224	они есть в	1	1
225	не менее вопрос	1	1
226	здесь дело не	1	1
227	т е тот	1	1
228	в каждом случае	1	1
229	для борьбы с	1	1
230	он не должен	1	1
231	и в этих	1	1
232	такое же значение	1	1
233	формам но и	1	1
234	же это за	1	1
235	будет видно из	1	1
236	вполне возможно что	1	1
237	и в другом	1	1
238	как можно было	1	1
239	д и т	1	1
240	одни и те	1	1
241	и на этом	1	1
242	говоря уже о	2	1
243	еще почти не	1	1
244	об этом не	1	1
245	в какой степени	1	1
246	но я не	2	1
247	встречаются чаще чем	1	1
248	настоящем смысле этого	1	1
249	свидетельствует о том	1	1
250	но и с	2	1
251	говорит о том	3	1
252	не свободна от	1	1
253	нет может быть	1	1
254	во многих отношениях	1	1
255	этом можно судить	1	1
256	и некоторые другие	1	1
257	такую большую роль	1	1
258	если таким образом	1	1
259	думаю что это	1	1
260	менее вопрос о	1	1
261	если бы это	1	1
262	не только все	1	1
263	что он в	1	1
264	одно из таких	1	1
265	речь идет о	3	1
266	сейчас еще не	1	1
267	и др а	1	1
268	совсем не в	2	1
269	мне кажется что	3	1
270	говорит что они	1	1
271	как производное от	1	1
272	без всякой надобности	1	1
273	не могла бы	1	1
274	о котором говорит	1	1
275	быть и очень	1	1
276	но сами по	1	1
277	она не могла	1	1
278	в них нет	1	1
279	не столько с	1	1
280	что они любят	1	1
281	и пр в	1	1
282	имеет такое же	1	1
283	и как он	1	1
284	то что у	2	1
285	что он имел	1	1
286	пути очень часто	1	1
287	который не мог	1	1
288	ведь это не	1	1
289	уже о том	2	1
290	прочим и в	1	1
291	а также и	2	1
292	объяснение того что	1	1
293	никаких сомнений что	1	1
294	прямой связи с	1	1
295	и не хочет	1	1
296	и могут быть	1	1
297	является не только	1	1
298	но кроме того	1	1
299	в узком смысле	1	1
300	надо иметь в	1	1
301	быть установлены только	1	1
302	что должны быть	1	1
303	а на самом	1	1
304	и что от	1	1
305	громким голосом и	1	1
306	но и это	1	1
307	не оставляют в	1	1
308	в чем же	1	1
309	не имеет никакого	1	1
310	начала xix века	1	1
311	может быть даже	1	1
312	было бы думать	1	1
313	в течение шести	1	1
314	не хотелось бы	2	1
315	себе объяснения в	1	1
316	т д как	1	1
317	в этом смысле	2	1
318	не будет иметь	1	1
319	этих двух сторон	1	1
320	всему тому что	1	1
321	в свое время	3	1
322	было бы не	2	1
323	но столь же	2	1
324	тем более что	2	1
325	что он уже	1	1
326	к тем материалам	1	1
327	том-то и дело	2	1
328	в эту сторону	1	1
329	т д конечно	1	1
330	это можно утверждать	1	1
331	примеров показывающих что	1	1
332	как материала для	1	1
333	и мн др	3	1
334	в этом утверждении	1	1
335	и представляют собой	1	1
336	и в котором	1	1
337	а в тех	1	1
338	и это не	1	1
339	вне всякого сомнения	2	1
340	в этом месте	2	1
341	никакой связи с	1	1
342	сих пор в	1	1
343	и в наших	1	1
344	зависимости от степени	1	1
345	и что в	1	1
346	одна из таких	1	1
347	языка не может	1	1
348	не менее и	1	1
349	том смысле как	1	1
350	могла появиться в	1	1
351	этого эпизода в	1	1
352	вы говорите что	1	1
353	этом случае есть	1	1
354	также и в	1	1
355	что от этого	1	1
356	могут быть установлены	1	1
357	нет никаких сомнений	1	1
358	я думаю что	4	1
359	с этой теорией	1	1
360	не вытекает и	1	1
361	однако и в	1	1
362	больше чем обычно	1	1
363	это тем более	1	1
364	что же это	1	1
365	и даже не	2	1
366	том смысле что	2	1
367	показывает следующий случай	1	1
368	или менее ясные	1	1
369	как и вообще	2	1
370	по так называемым	1	1
371	т д на	1	1
372	же и в	2	1
373	д но при	1	1
374	то или иное	3	1
375	нашей точки зрения	1	1
376	должно было бы	1	1
377	ни одно из	1	1
378	так что в	1	1
379	и пр но	1	1
380	в течение лет	1	1
381	что в его	1	1
382	так что они	1	1
383	уже без всякой	1	1
384	и эти случаи	1	1
385	на эти вопросы	3	1
386	в этом отношении	13	1
387	является то что	1	1
388	в том случае	1	1
389	общего с этим	1	1
390	на точку зрения	2	1
391	исторической действительности и	1	1
392	нужно было бы	1	1
393	стола и т	2	1
394	т д вот	1	1
395	а есть только	1	1
396	не может поэтому	1	1
397	на камне в	1	1
398	он узнал о	1	1
399	в приложении к	1	1
400	др но в	1	1
401	в то что	1	1
402	в этой книге	1	1
403	тем или иным	3	1
404	к концу этого	1	1
405	он приступает к	1	1
406	каждое из них	1	1
407	как бы он	1	1
408	тем что это	1	1
409	ставит себе целью	4	1
410	важно отметить что	1	1
411	а с другой	1	1
