N	4gram	Bakhtin_Fr	Komedia
1	в то же время	5	16
2	к тому же в	1	6
3	в том что он	1	4
4	в том числе и	7	3
5	в тех случаях когда	1	2
6	и в то же	2	2
7	мы имеем в виду	1	2
8	и в том что	2	1
9	и до сих пор	1	1
10	мы можем сказать что	1	1
11	но как раз в	1	1
12	из дошедших до нас	1	1
13	жизни но и в	1	1
14	до сих пор остается	1	1
15	не в отрыве от	1	1
16	выходит далеко за пределы	1	1
17	современников и ближайших потомков	1	1
18	усиливается еще тем что	1	1
19	в основе его лежит	1	1
20	до сих пор еще	4	1
21	с одной стороны он	1	1
22	и во всех других	2	1
23	на площадях и улицах	1	1
24	одна и та же	1	1
25	на протяжении всего средневековья	4	1
