N	3gram	Tiupa_Hudo	Problema
1	тем не менее	3	56
2	о том что	1	39
3	в том что	8	37
4	то же самое	1	30
5	в настоящее время	1	30
6	в связи с	3	29
7	той или иной	5	26
8	по крайней мере	1	26
9	с другой стороны	6	25
10	с точки зрения	3	25
11	в таком случае	2	23
12	содержит в себе	1	23
13	сама по себе	2	21
14	в этом смысле	3	19
15	для того чтобы	5	17
16	то есть в	1	17
17	в то же	7	17
18	точно так же	1	16
19	не что иное	1	14
20	что иное как	1	14
21	в этом случае	1	14
22	того или иного	4	13
23	не может быть	4	12
24	так или иначе	4	12
25	и в частности	1	12
26	можно сказать что	3	12
27	в то время	1	12
28	тех или иных	2	11
29	есть не что	1	11
30	бы то ни	2	11
31	с одной стороны	3	11
32	в той или	2	10
33	и тем самым	1	10
34	более или менее	6	10
35	только то что	1	10
36	еще не есть	1	9
37	в сравнении с	1	9
38	может быть и	2	9
39	заключается в том	1	8
40	но в таком	1	7
41	к тому же	1	7
42	в чистом виде	1	7
43	то или иное	1	7
44	иметь в виду	1	7
45	в том или	1	7
46	это и есть	1	7
47	тот или иной	3	7
48	и как бы	1	6
49	в самом деле	2	6
50	и тем более	1	6
51	и то же	3	6
52	или иной мере	1	6
53	то ни было	2	6
54	на первый взгляд	1	6
55	по себе а	1	5
56	только о том	1	5
57	в первую очередь	1	5
58	имеем в виду	3	5
59	так же как	1	5
60	та или иная	1	5
61	в том числе	3	5
62	в зависимости от	1	5
63	и прежде всего	2	5
64	том или ином	1	5
65	одно и то	3	5
66	том что он	2	5
67	дело не в	1	4
68	в коем случае	2	4
69	друг от друга	1	4
70	связи с этим	1	4
71	том числе и	2	4
72	в одном случае	1	4
73	мы имеем дело	2	4
74	и потому что	1	4
75	и тем же	1	4
76	этой точки зрения	2	4
77	отчет в том	1	4
78	отношение знака к	3	4
79	еще и потому	1	4
80	это было бы	1	4
81	только при условии	1	4
82	именно потому что	1	4
83	ни в коем	2	4
84	а с другой	2	4
85	в этих случаях	1	4
86	ту или иную	2	4
87	то есть как	1	4
88	одним и тем	1	4
89	подобно тому как	3	4
90	можно даже сказать	1	4
91	в новое время	1	4
92	в таких случаях	1	4
93	одной стороны и	1	3
94	таким образом что	1	3
95	в отличие от	7	3
96	в отдельности и	1	3
97	и того же	3	3
98	к тому что	2	3
99	имея в виду	1	3
100	а иной раз	1	3
101	далеко не всякий	1	3
102	себе отчет в	1	3
103	как и в	1	3
104	не является ни	1	3
105	несмотря на свою	1	3
106	именно в этом	1	3
107	с этой точки	2	3
108	уже не просто	1	3
109	одного и того	3	3
110	и в то	2	3
111	в известном смысле	2	3
112	в русской литературе	2	3
113	но в то	1	3
114	для искусства в	1	2
115	по отношению к	10	2
116	войне и мире	2	2
117	мы говорим о	1	2
118	а в том	1	2
119	не совпадает с	1	2
120	в частности в	1	2
121	не сама по	1	2
122	можно говорить о	1	2
123	точки зрения в	1	2
124	каждой из них	1	2
125	в последние десятилетия	1	2
126	в виду не	3	2
127	с самим собою	1	2
128	тем и другим	1	2
129	что он должен	1	2
130	по содержанию своему	1	2
131	по своей структуре	1	2
132	в войне и	2	2
133	во всей его	2	2
134	является одним из	1	2
135	того же типа	1	2
136	также еще и	1	2
137	не могли бы	1	2
138	что он не	1	2
139	может быть это	1	2
140	а не только	1	2
141	в себе в	1	2
142	больше и больше	1	2
143	мы имеем в	3	2
144	точки зрения логики	1	2
145	в художественном смысле	1	2
146	ни к каким	1	2
147	и многих других	1	2
148	чего бы то	1	2
149	не было и	1	2
150	но в силу	1	2
151	не так просто	1	2
152	перед нами не	1	2
153	в свою очередь	2	2
154	и в том	1	2
155	не просто о	1	2
156	чтобы оно стало	1	2
157	в том и	2	2
158	по своему смыслу	1	2
159	даже сказать что	1	2
160	при всем своем	1	2
161	в том случае	1	2
162	и на его	1	2
163	мы встречаемся с	1	2
164	то есть от	1	2
165	как раз в	1	2
166	иной раз и	1	2
167	чего нет в	1	2
168	и в самом	3	2
169	в себе и	1	2
170	в себе никакого	1	2
171	в основе своей	2	2
172	собственно говоря только	1	1
173	в том чем	1	1
174	значение знака есть	1	1
175	в одном и	1	1
176	преступлении и наказании	1	1
177	что по своему	1	1
178	говорится и о	1	1
179	при этом что	1	1
180	мере в какой	1	1
181	чем собственно говоря	1	1
182	виду не только	3	1
183	а в другом	1	1
184	как впрочем и	1	1
185	в том в	1	1
186	о чем подробно	1	1
187	при этом в	1	1
188	входит в состав	1	1
189	в самом общем	1	1
190	начало и конец	2	1
191	не только на	1	1
192	и может рассматриваться	1	1
193	речь идет о	1	1
194	том о чем	1	1
195	нет в его	1	1
196	себе еще не	1	1
197	в прошлом и	1	1
198	иметь место в	1	1
199	между внутренней и	1	1
200	или иной эстетической	1	1
201	не входит в	1	1
202	что даже в	1	1
203	к вопросу о	1	1
204	таким образом и	1	1
205	ведь это не	1	1
206	и в этой	1	1
207	коем случае не	2	1
208	и не быть	1	1
209	может и не	1	1
210	в евгении онегине	1	1
211	на задний план	1	1
212	узком значении этого	1	1
213	и том же	1	1
214	себе а в	1	1
215	и поэтому не	1	1
216	если мы имеем	1	1
217	из тех или	1	1
218	семантики лингвистических единиц	1	1
219	к новой жизни	1	1
220	не только такие	1	1
221	как один из	1	1
222	не все что	1	1
223	мастер и маргарита	1	1
224	состоит в том	5	1
225	момент для понимания	1	1
226	из того что	1	1
227	имеем дело не	1	1
228	в одной из	1	1
229	одном и том	1	1
230	и не субъективно	1	1
231	не была бы	1	1
232	которые лежат в	1	1
233	нового времени в	1	1
234	так и его	1	1
235	не в самом	2	1
236	тем или иным	2	1
237	и его внешней	4	1
238	определенного смысла и	1	1
239	том случае если	1	1
240	легко может быть	1	1
241	в искусстве не	1	1
242	уходит своими корнями	1	1
243	говорит что он	1	1
244	предстают перед нами	1	1
245	прежде всего в	1	1
246	эти символы не	1	1
247	он состоит в	1	1
248	но и любые	2	1
249	в самом начале	1	1
250	в области художественного	1	1
251	отнюдь не в	1	1
252	и от себя	1	1
253	с ним как	1	1
254	до известной степени	2	1
255	она далеко не	1	1
256	в данном контексте	2	1
257	только в условиях	1	1
258	на каждом из	1	1
259	не содержит в	1	1
260	ту же самую	1	1
261	один из видов	1	1
262	говоря и является	1	1
263	одной из своих	1	1
264	для которого он	1	1
265	отношений которые в	1	1
266	имеет дело со	1	1
267	было и не	1	1
268	художественное произведение и	1	1
269	в этом втором	1	1
270	в другом стихотворении	1	1
271	если он не	1	1
272	который может быть	1	1
273	по поводу этой	1	1
274	того что не	1	1
275	во втором случае	1	1
276	в себе самом	1	1
277	другой стороны не	1	1
278	в самой себе	1	1
279	или иных первичных	1	1
280	во всей своей	1	1
281	жизни человека и	1	1
282	является особого рода	1	1
283	не могут быть	1	1
284	по сути дела	3	1
285	значении этого слова	2	1
286	каждая из этих	1	1
287	то же время	7	1
288	не в роли	1	1
289	жизни то есть	1	1
290	в художественном произведении	1	1
291	о том о	1	1
292	может быть определен	1	1
293	но он не	2	1
294	а не ее	1	1
295	в узком значении	2	1
296	тоже является знаком	1	1
297	внутренней и внешней	2	1
298	между собой в	1	1
299	в противоречие с	1	1
300	лежат в основе	1	1
301	он не только	1	1
302	обратим внимание на	1	1
303	на второй план	1	1
304	или ином отношении	1	1
305	в ее внутренней	1	1
306	именно такого рода	1	1
307	в данный момент	2	1
308	какой бы то	1	1
309	во всех подобных	2	1
310	перед тем как	1	1
311	а в то	1	1
312	на котором он	1	1
313	в душе своей	1	1
314	во времени и	1	1
315	в жизни человека	1	1
316	всегда так или	1	1
317	с которыми он	1	1
318	с другими знаками	3	1
319	ни одно слово	2	1
320	по себе еще	1	1
321	однако и в	1	1
322	действительность в ее	1	1
323	несет в себе	3	1
324	в нем по	1	1
325	своими корнями в	1	1
326	рассматриваться в качестве	1	1
327	в другом но	1	1
328	но только не	1	1
329	в свое время	1	1
330	едва ли не	1	1
331	в другом его	1	1
332	а в его	1	1
333	имеем дело с	1	1
334	что несмотря на	1	1
335	в преступлении и	1	1
336	при таком понимании	1	1
337	из этих сторон	1	1
