N	3gram	Vygotskiy_	Formalny
1	с точки зрения	12	40
2	не может быть	14	29
3	на самом деле	6	21
4	то же время	2	20
5	в то же	2	20
6	и т д	10	19
7	и т п	23	18
8	в связи с	2	16
9	во всяком случае	7	16
10	в настоящее время	2	13
11	в самом деле	13	11
12	так и в	2	11
13	в этом отношении	7	11
14	бы то ни	2	10
15	в зависимости от	6	10
16	с другой стороны	7	9
17	и не может	2	9
18	для того чтобы	11	8
19	до сих пор	8	8
20	вместе с тем	3	8
21	с одной стороны	6	8
22	в применении к	2	7
23	более или менее	3	7
24	того или иного	1	7
25	сами по себе	4	7
26	то ни было	1	7
27	в высшей степени	1	7
28	в свою очередь	3	7
29	как мы знаем	1	7
30	а вовсе не	1	7
31	и в этом	1	7
32	в том что	21	6
33	с тем что	2	6
34	сам по себе	4	6
35	в данном случае	1	6
36	мы полагаем что	1	6
37	не только не	4	6
38	в художественном произведении	8	6
39	смысле этого слова	2	6
40	одной стороны и	1	5
41	в направлении к	1	5
42	к тому чтобы	3	5
43	в этом смысле	3	5
44	одни и те	3	5
45	в отличие от	4	5
46	к тому что	2	5
47	и те же	3	5
48	связи с этим	1	5
49	в этом романе	1	5
50	мы не можем	2	5
51	тем не менее	6	4
52	не в том	7	4
53	дело идет о	1	4
54	в одной плоскости	1	4
55	не следует что	1	4
56	в конце концов	6	4
57	художественное произведение как	2	4
58	не могут быть	2	4
59	только и может	1	4
60	то ни стало	1	4
61	с тем же	1	4
62	но и в	1	4
63	т п в	2	4
64	подобно тому как	7	4
65	с самого начала	1	4
66	по аналогии с	1	4
67	марксистской науки об	1	4
68	сама по себе	2	4
69	из виду что	1	3
70	и тот же	2	3
71	какого бы то	1	3
72	то или иное	2	3
73	в том числе	1	3
74	во что бы	1	3
75	было бы нелепо	1	3
76	всяком случае в	2	3
77	только на почве	3	3
78	не только на	1	3
79	то же что	2	3
80	поэтическое произведение как	1	3
81	чтобы убедиться в	1	3
82	вместо того чтобы	1	3
83	том числе и	1	3
84	то же самое	8	3
85	только то что	2	3
86	и во всяком	1	3
87	с тем и	1	3
88	в ней и	1	3
89	в том смысле	1	3
90	в том чтобы	9	3
91	а не как	1	3
92	потому что он	2	3
93	один и тот	2	3
94	мы увидим что	2	3
95	точки зрения их	1	3
96	в литературном произведении	1	3
97	при этом не	2	3
98	во всех своих	1	3
99	и в частности	2	3
100	что бы то	1	3
101	что же касается	1	3
102	начала и до	2	3
103	основных понятий и	1	2
104	мере в какой	1	2
105	и столь же	1	2
106	все то что	3	2
107	социальной жизни в	1	2
108	по себе а	3	2
109	о том как	1	2
110	том смысле что	1	2
111	в той мере	1	2
112	отнюдь не является	1	2
113	том что искусство	2	2
114	форма и содержание	1	2
115	в собственном смысле	3	2
116	мы не найдем	1	2
117	с этой точки	5	2
118	в жизни и	1	2
119	друг от друга	1	2
120	совершенно очевидно что	2	2
121	в ее конкретном	1	2
122	в том случае	3	2
123	не потому что	2	2
124	как например в	1	2
125	именно потому что	2	2
126	а и в	1	2
127	в такой же	1	2
128	в отношении к	3	2
129	между тем как	1	2
130	не могла быть	1	2
131	тех или иных	2	2
132	как и всякая	1	2
133	в том или	1	2
134	и в других	1	2
135	той мере в	1	2
136	же касается до	1	2
137	произведения но и	1	2
138	в последнее время	2	2
139	как если бы	1	2
140	нужно сказать что	1	2
141	в таком случае	3	2
142	творчества и восприятия	1	2
143	те же и	1	2
144	по учению формалистов	1	2
145	так же и	1	2
146	в широком смысле	1	2
147	и в том	2	2
148	на то чтобы	3	2
149	может быть только	1	2
150	мы видели что	2	2
151	от всех других	2	2
152	лишь тогда когда	1	2
153	к нему и	1	2
154	и не всегда	1	2
155	и тем же	1	2
156	в какой мере	3	2
157	искусство как прием	4	2
158	в связи со	1	2
159	в это время	1	2
160	этой точки зрения	7	2
161	том или ином	1	2
162	как и в	5	2
163	в целом ряде	2	2
164	от того что	2	2
165	и для всех	1	2
166	на этот вопрос	1	2
167	мы приходим к	1	2
168	не может стать	2	2
169	для сюжетного оформления	1	2
170	художественного произведения и	2	2
171	если же мы	1	2
172	одним и тем	1	2
173	вовсе не есть	1	2
174	дело в том	1	2
175	так как они	2	2
176	зависимости от того	1	2
177	таким образом оказывается	1	2
178	не только в	1	2
179	так же как	8	2
180	совершенно независимо от	1	2
181	выходит за пределы	2	2
182	оно не может	2	2
183	и в каждом	1	2
184	художественного произведения не	1	2
185	формы и содержания	2	2
186	дело не в	1	2
187	лежит в основе	2	2
188	что и в	5	2
189	при таком понимании	3	2
190	стоит перед необходимостью	1	2
191	сих пор недостаточно	1	2
192	в готовом виде	1	1
193	звуками последнему способствуют	1	1
194	артикуляционных движений и	1	1
195	что он не	1	1
196	в искусстве есть	2	1
197	никак не могут	1	1
198	роман героя с	1	1
199	он полагает что	1	1
200	мировые комнатные произведения	1	1
201	этим возникает эмоциональное	1	1
202	как и рифма	1	1
203	хотя бы звуковой	1	1
204	это то что	1	1
205	самих по себе	1	1
206	и в сознании	1	1
207	не обращаясь к	1	1
208	не о методах	1	1
209	искусстве и в	1	1
210	при анализе произведения	1	1
211	прием затрудненной формы	1	1
212	самого художественного произведения	1	1
213	ни на минуту	1	1
214	трагические мировые комнатные	1	1
215	возможны только на	1	1
216	но вместе с	1	1
217	и мыслей мысль	1	1
218	по себе но	1	1
219	вслед за этим	1	1
220	и в этих	2	1
221	факта который как	1	1
222	комбинация мотивов песня	1	1
223	то что он	1	1
224	в основе совершенно	1	1
225	на задний план	1	1
226	в том как	1	1
227	эта тенденция к	2	1
228	того что они	2	1
229	чтобы понять что	1	1
230	как материал для	1	1
231	таким образом сюжет	2	1
232	которые могут быть	1	1
233	по сравнению с	3	1
234	в процессе развития	1	1
235	так что восприятие	1	1
236	же что и	1	1
237	поле сознания в	1	1
238	способствуют также выразительные	1	1
239	что и со	1	1
240	она не должна	1	1
241	построения но и	1	1
242	и ничем не	1	1
243	указывает что в	1	1
244	но и на	1	1
245	самое и в	1	1
246	у нас в	1	1
247	и рифма в	1	1
248	стихотворения и его	1	1
249	поэтому сюжет и	1	1
250	произведенная введением перебивающих	1	1
251	он не может	3	1
252	возникает эмоциональное к	1	1
253	оказывается вовсе не	1	1
254	не значит что	1	1
255	в том же	1	1
256	произведения как бы	1	1
257	в коем случае	1	1
258	точки зрения этой	1	1
259	материал как произносительная	1	1
260	и во всех	2	1
261	его места в	1	1
262	выразительные движения органов	1	1
263	в своей основе	1	1
264	но в таком	1	1
265	эмоциональное к ним	1	1
266	или же инородное	1	1
267	произведение никогда не	1	1
268	в какой степени	1	1
269	и должен быть	1	1
270	литературного произведения как	1	1
271	рифма в понятии	1	1
272	согласиться с тем	1	1
273	вот что говорит	1	1
274	можно не соглашаться	1	1
275	то что они	1	1
276	и не будет	2	1
277	широком смысле слова	1	1
278	подход к произведению	1	1
279	сложны и тонки	1	1
280	его звуками последнему	1	1
281	мотивов поэтому сюжет	1	1
282	последнему способствуют также	1	1
283	чтобы вскрыть и	1	1
284	поэтического произведения с	1	1
285	вместе с ними	1	1
286	только при условии	1	1
287	художественной формы не	1	1
288	и то же	1	1
289	тем что его	2	1
290	методы и приемы	1	1
291	а не наоборот	1	1
292	или кошки камню	1	1
293	с помощью которых	1	1
294	о методах изучения	1	1
295	одного и того	1	1
296	идет не о	1	1
297	и его звуками	1	1
298	случае не может	2	1
299	а отношение материалов	1	1
300	этой фабулы произведенная	1	1
301	роли в художественном	1	1
302	поэтического языка от	1	1
303	в искусстве и	1	1
304	литературное произведение есть	1	1
305	или другую сторону	1	1
306	и теперь как	1	1
307	мы знаем что	3	1
308	между содержанием стихотворения	1	1
309	оно есть не	1	1
310	в том насколько	1	1
311	и в конце	1	1
312	приемом таким образом	1	1
313	же формой как	1	1
314	этого понятия в	1	1
315	знаменателя важно их	1	1
316	из этого тупика	1	1
317	звуки всплывают в	1	1
318	которое в свою	1	1
319	значение и смысл	1	1
320	изучения литературы а	1	1
321	и форма в	1	1
322	такой же материал	2	1
323	том и заключается	2	1
324	и без остатка	1	1
325	искусство как социальное	1	1
326	в наши дни	1	1
327	влечет установление известной	1	1
328	движений и мыслей	1	1
329	как и всякий	1	1
330	если бы в	2	1
331	прежде всего и	1	1
332	могут быть названы	1	1
333	в этой области	3	1
334	и так же	1	1
335	что в самом	1	1
336	и вместе с	1	1
337	каждого из этих	2	1
338	героя с татьяной	1	1
339	надобности не встречается	1	1
340	в россии и	1	1
341	что в этом	3	1
342	ее от всех	1	1
343	мы все время	1	1
344	значение его числителя	1	1
345	мыслей мысль в	1	1
346	в каждую эпоху	1	1
347	и никогда не	1	1
348	его жизнь и	1	1
349	по себе не	3	1
350	таким образом в	2	1
351	до тех пор	2	1
352	вовсе не следует	1	1
353	комбинация стилистических мотивов	1	1
354	закрыв глаза на	1	1
355	а с другой	1	1
356	какой степени не	1	1
357	с татьяной а	1	1
358	художественного творчества с	2	1
359	самом деле нет	1	1
360	все эти утверждения	1	1
361	очередь влечет установление	1	1
362	форма оно есть	1	1
363	есть не что	1	1
364	что в основе	4	1
365	свою очередь влечет	1	1
366	его в сторону	1	1
367	содержанием стихотворения и	1	1
368	же и в	1	1
369	и того же	1	1
370	есть чистая форма	2	1
371	каждой из этих	1	1
372	в первой главе	1	1
373	состоит в том	3	1
374	тот же прием	1	1
375	художественного произведения ни	1	1
376	не может не	1	1
377	сторона морфемы или	1	1
378	известной зависимости между	1	1
379	искусства с точки	1	1
380	образом сюжет евгения	1	1
381	анализе произведения искусства	1	1
382	литературы а о	1	1
383	художественного произведения которое	1	1
384	содержания в искусстве	1	1
385	и там где	1	1
386	о звуках в	1	1
387	по этому поводу	3	1
388	равны между собой	1	1
389	или такой же	1	1
390	произведение есть чистая	1	1
391	так как он	1	1
392	на минуту не	1	1
393	его числителя и	1	1
394	к ним отношение	1	1
395	полном согласии с	2	1
396	и пр как	1	1
397	а не только	1	1
398	а сюжетная обработка	1	1
399	как не может	1	1
400	и в искусстве	1	1
401	стилистических мотивов поэтому	1	1
402	же инородное тело	1	1
403	областями социальной жизни	1	1
404	введением перебивающих отступлений	1	1
405	всего того что	1	1
406	теми или иными	1	1
407	и потому не	1	1
408	татьяной а сюжетная	1	1
409	мы видим что	4	1
410	также выразительные движения	1	1
411	такой же формой	1	1
412	же сколько и	1	1
413	жизнь и судьба	1	1
414	может быть содержанием	1	1
415	эпоха имеет свой	1	1
416	на каждом шагу	1	1
417	произведение искусства есть	2	1
418	то что было	1	1
419	собственном смысле слова	2	1
420	может показаться что	1	1
421	как своего рода	1	1
422	в том и	4	1
423	провести границу между	1	1
424	таким образом мы	1	1
425	и тем не	2	1
426	кошки камню равны	1	1
427	своих последних работах	1	1
428	формой как и	1	1
429	точки зрения сюжетности	1	1
430	если так то	1	1
431	но он не	1	1
432	в различных формах	1	1
433	с приемами хотя	1	1
434	чистая форма оно	1	1
435	ясно что при	2	1
436	морфемы или же	1	1
437	и знаменателя важно	1	1
438	одинаковы с приемами	1	1
439	эстетикой сверху и	1	1
440	принципе одинаковы с	1	1
441	т п все	2	1
442	в эстетике и	2	1
443	все что мы	1	1
444	инструментовки произведения словесности	1	1
445	на то что	12	1
446	ни в каком	1	1
447	а вместе с	1	1
448	важно их отношение	1	1
449	отношение шутливые трагические	1	1
450	и может быть	1	1
451	бы сказать что	1	1
452	если мы в	1	1
453	камню равны между	1	1
454	таким образом все	2	1
455	сходны и в	1	1
456	лишь материал для	1	1
457	с этим возникает	1	1
458	в чем же	2	1
459	не имеет никакого	1	1
460	и в особенности	1	1
461	фабула это то	1	1
462	в этом рассказе	1	1
463	мотивов песня комбинация	1	1
464	может быть даже	1	1
465	столько же сколько	2	1
466	о том что	9	1
467	ни в какой	3	1
468	которой может быть	1	1
469	поэтического творчества так	1	1
470	мы обратимся к	1	1
471	эта точка зрения	1	1
472	по крайней мере	1	1
473	если мы обратимся	1	1
474	на деле и	1	1
475	и приемы сюжетосложения	1	1
476	в такой степени	1	1
477	поэтического произведения а	1	1
478	материал для сюжетного	1	1
479	и в самом	3	1
480	но как и	1	1
481	не роман героя	1	1
482	ту или иную	1	1
483	и в поэзии	2	1
484	все дело в	2	1
485	было бы сказать	1	1
486	в ту или	1	1
487	звуковая сторона морфемы	1	1
488	не в своей	1	1
489	в искусстве не	1	1
490	числителя и знаменателя	2	1
491	допустим вместе с	1	1
492	мы различаем в	1	1
493	бы если бы	2	1
494	вопрос идет не	1	1
495	независимо от смысла	1	1
496	а следовательно и	1	1
497	содержание художественного произведения	1	1
498	и не было	1	1
499	безразличен масштаб произведения	1	1
500	в понятии содержание	1	1
501	можно сказать что	2	1
502	звуковой инструментовки произведения	1	1
503	тому что и	1	1
504	в основе всех	1	1
505	ее выражения с	1	1
506	только в том	4	1
507	круг проблем и	1	1
508	арифметическое значение его	1	1
509	и той же	5	1
510	приемы сюжетосложения сходны	1	1
511	что при этом	2	1
512	в его конкретной	1	1
513	идет не об	1	1
514	их отношение шутливые	1	1
515	находится под влиянием	1	1
516	бы звуковой инструментовки	1	1
517	каждая эпоха имеет	3	1
518	сюжетная обработка этой	1	1
519	при условии если	1	1
520	сюжет евгения онегина	1	1
521	неотрывной связи со	1	1
522	звуков артикуляционных движений	1	1
523	мы знаем и	1	1
524	в то время	6	1
525	жизнь и ее	1	1
526	адекватным выражением его	1	1
527	от смысла и	1	1
528	со всеми другими	1	1
529	новелла роман комбинация	1	1
530	бы ни было	1	1
531	иначе как в	2	1
532	точки зрения на	1	1
533	все же не	1	1
534	чтобы показать что	3	1
535	все свои усилия	1	1
536	литературном произведении или	1	1
537	но даже в	1	1
538	есть не вещь	1	1
539	того чтобы вскрыть	1	1
540	не так легко	1	1
541	хотя и не	2	1
542	роман комбинация мотивов	1	1
543	сюжет и сюжетность	1	1
544	зрения сюжетности надобности	1	1
545	в узком смысле	1	1
546	не было бы	3	1
547	песня комбинация стилистических	1	1
548	из этих областей	1	1
549	художественное произведение если	1	1
550	понятии содержание при	1	1
551	что ни в	1	1
552	мира миру или	1	1
553	чтобы сделать камень	1	1
554	что на самом	1	1
555	сюжетосложения сходны и	1	1
556	от произведения к	1	1
557	фабулы произведенная введением	1	1
558	поэтической речи но	1	1
559	резко отличается от	1	1
560	есть лишь материал	1	1
561	другой стороны в	1	1
562	не что иное	2	1
563	фабула есть лишь	1	1
564	отметить что в	1	1
565	об искусстве но	1	1
566	что иное как	2	1
567	ни в коем	1	1
568	этого факта и	1	1
569	должна быть положена	1	1
570	что при своем	1	1
571	в искусстве можно	1	1
572	науки об искусстве	1	1
573	одно и то	1	1
574	мысль в литературном	1	1
575	все эти вопросы	1	1
576	сделать камень каменным	3	1
577	ясно что для	1	1
578	что он просто	1	1
579	художник вовсе не	1	1
580	обработка этой фабулы	1	1
581	тем же самым	1	1
582	в своих последних	1	1
583	и с ее	1	1
584	связанных с их	1	1
585	упуская из виду	2	1
586	это и не	1	1
587	в светлое поле	1	1
588	было бы если	1	1
589	одной и той	5	1
590	не вещь а	1	1
591	таким образом как	1	1
592	человека потому что	1	1
593	заключается в том	13	1
594	в полном согласии	2	1
595	материал художественного произведения	2	1
596	того если мы	1	1
597	только потому что	2	1
598	и в принципе	1	1
599	движения органов речи	1	1
600	и сами формалисты	1	1
601	как одна из	2	1
602	онегина не роман	1	1
603	не соглашаться с	1	1
604	до конца и	1	1
605	и прием затрудненной	1	1
606	во всей его	1	1
607	еще далеко не	1	1
608	и заключается что	1	1
609	к такому же	1	1
610	того что нужно	1	1
611	быть только социологией	1	1
612	произведении или такой	1	1
613	в сущности не	1	1
614	но так как	2	1
615	сюжетности надобности не	1	1
616	произведения словесности представляют	1	1
617	и может стать	1	1
618	тому что он	1	1
619	самом деле что	1	1
620	и что в	2	1
621	же как и	2	1
622	в художественном единстве	1	1
623	здесь нет и	1	1
624	светлое поле сознания	1	1
625	в принципе одинаковы	1	1
626	теории формализма и	1	1
627	одной и другой	1	1
628	произведения искусства с	1	1
629	художественное произведение есть	1	1
630	же материал как	1	1
631	зависимости между содержанием	1	1
632	отношение которое в	1	1
633	не меньше чем	1	1
634	из автоматизма и	1	1
635	ту или другую	1	1
636	никогда не может	3	1
637	между тем в	1	1
638	должна была бы	1	1
639	сознания в связи	1	1
640	том случае если	2	1
641	миру или кошки	1	1
642	точном смысле этого	1	1
643	все равно что	1	1
644	та или иная	1	1
645	установление известной зависимости	1	1
646	может считаться совершенно	1	1
647	хотя бы только	1	1
648	в самом процессе	1	1
649	это отношение к	1	1
650	другой стороны и	2	1
651	и эстетики и	1	1
652	одной плоскости с	1	1
653	вопрос о том	1	1
654	коем случае не	1	1
655	то увидим что	1	1
656	из двух направлений	1	1
657	методах изучения литературы	1	1
658	содержание при анализе	1	1
659	потому что с	1	1
660	потебни едва ли	1	1
661	это и есть	1	1
662	приемами хотя бы	1	1
663	тому чтобы создать	1	1
664	или не в	1	1
665	ним отношение которое	1	1
666	основываясь на этом	1	1
667	можно было бы	2	1
668	всплывают в светлое	1	1
669	шутливые трагические мировые	1	1
670	и как это	1	1
671	же самое и	2	1
672	его конкретной исторической	1	1
673	евгения онегина не	1	1
