N	3gram	Kanaev_Sov	Myslijsy
1	в том что	1	47
2	по отношению к	1	26
3	не может быть	4	19
4	заключает в себе	1	19
5	тем не менее	2	18
6	по крайней мере	1	17
7	в свою очередь	2	14
8	не в том	1	13
9	то же время	1	13
10	в то же	1	13
11	и в этом	1	12
12	до сих пор	1	12
13	во всяком случае	2	12
14	сами по себе	1	11
15	но тем не	1	10
16	с одной стороны	1	10
17	мы не можем	6	9
18	не могут быть	1	9
19	на самом деле	1	8
20	в этом случае	1	8
21	в том как	1	7
22	в этом смысле	1	7
23	с точки зрения	5	7
24	и той же	1	7
25	одной и той	1	7
26	может быть только	1	6
27	то же самое	2	6
28	и может быть	1	6
29	с самого начала	3	6
30	не было бы	1	6
31	в том случае	1	5
32	мы видели что	3	4
33	мы не знаем	1	4
34	и тот же	1	4
35	по его мнению	1	4
36	все более и	1	4
37	в данном случае	1	4
38	один и тот	1	4
39	более и более	1	4
40	на этот вопрос	1	4
41	не что иное	1	4
42	дело в том	1	4
43	именно в том	1	4
44	не более как	1	4
45	что иное как	1	4
46	как и во	1	3
47	одной стороны и	1	3
48	в связи с	1	3
49	бы то ни	1	3
50	равно как и	1	3
51	когда мы говорим	1	3
52	с одной и	1	3
53	в первое время	1	3
54	можно было бы	1	3
55	не подлежит сомнению	2	3
56	сказать несколько слов	1	3
57	а может быть	1	2
58	в себе в	1	2
59	заключать в себе	1	2
60	что в ней	1	2
61	мы говорим о	1	2
62	и во всех	1	2
63	не может но	1	2
64	каждый раз мы	1	2
65	друг на друга	1	2
66	что при таком	1	2
67	в каждом отдельном	5	2
68	но все же	1	2
69	то ни было	1	2
70	это значит что	1	2
71	можем ли мы	1	2
72	же самое что	1	2
73	и не может	1	2
74	том случае когда	1	2
75	очень важную роль	1	2
76	в свое время	1	2
77	что все они	1	2
78	и до сих	1	2
79	и та же	1	2
80	так же как	1	2
81	всяком случае не	1	2
82	одна и та	1	2
83	мы должны признать	1	2
84	период развития и	1	2
85	мы этого не	1	1
86	что в каждом	1	1
87	не можем определить	1	1
88	в самом деле	1	1
89	но все эти	1	1
90	может стать в	1	1
91	каждого из них	2	1
92	в одном направлении	1	1
93	а но это	1	1
94	ни одна не	1	1
95	если бы эти	1	1
96	он уже не	1	1
97	вместе с понятием	1	1
98	но мы этого	1	1
99	в действительности развивается	1	1
100	и есть то	1	1
101	важную роль в	1	1
102	же в результате	1	1
103	мы знаем что	1	1
104	смысле можно говорить	1	1
105	прежде всего человек	1	1
106	может иметь место	1	1
107	хотим сказать что	1	1
108	она не может	1	1
109	как мы видим	1	1
110	это как бы	1	1
111	как происходит это	1	1
112	условия при которых	1	1
113	тем же путем	1	1
114	в отличие от	2	1
115	есть не что	1	1
116	каждая из этих	1	1
117	времени не может	1	1
118	в одном случае	1	1
119	заключают в себе	1	1
120	раз мы получаем	1	1
121	вместе с ним	1	1
122	это не более	1	1
123	мы видим не	1	1
124	и живой организм	1	1
125	друг с другом	2	1
126	может быть действительно	1	1
127	таким образом все	1	1
128	например указать на	1	1
129	из них это	1	1
130	нуждаются в объяснении	1	1
131	это то же	1	1
132	времени и пространства	2	1
133	у нас есть	1	1
134	в настоящее время	2	1
135	первое и основное	1	1
136	иметь место только	1	1
137	он может быть	1	1
138	а потом и	1	1
139	и еще более	1	1
140	и во всей	1	1
141	и мы получим	1	1
142	было бы так	1	1
143	может находиться в	1	1
144	и все же	1	1
145	но только не	1	1
146	самый вопрос о	2	1
147	ничего не имеют	1	1
148	точки зрения и	1	1
149	мы это увидим	1	1
150	может быть и	2	1
