N	2gram	Losev_Dial	Morfolog
1	и т	41	62
2	может быть	30	61
3	т д	38	60
4	и пр	16	45
5	таким образом	14	26
6	т е	72	25
7	могут быть	5	21
8	так как	12	20
9	мы имеем	3	19
10	не может	29	19
11	в этом	14	18
12	в этих	3	17
13	и в	34	17
14	и не	50	16
15	мы видим	4	15
16	перед нами	5	14
17	с этим	4	14
18	прежде всего	20	14
19	по существу	2	13
20	видим что	3	12
21	при помощи	6	12
22	связи с	3	12
23	а не	39	11
24	заметить что	2	11
25	чаще всего	3	11
26	что в	12	10
27	то же	9	10
28	вопрос о	9	10
29	не всегда	3	10
30	но если	11	10
31	в том	17	10
32	так и	11	10
33	что и	8	10
34	в связи	3	10
35	составные части	1	10
36	то что	25	10
37	все же	4	9
38	с другой	5	9
39	но и	14	9
40	не только	35	8
41	в результате	7	8
42	имеем в	1	8
43	мы не	11	8
44	в качестве	1	8
45	но не	3	8
46	а в	3	8
47	как мы	4	8
48	во втором	1	7
49	и здесь	3	7
50	не могут	6	7
51	не менее	11	7
52	том что	18	7
53	потому что	21	7
54	наряду с	1	7
55	точки зрения	43	7
56	как это	8	7
57	тем не	10	7
58	и этим	3	7
59	или же	3	7
60	подобно тому	5	6
61	о том	11	6
62	как бы	19	6
63	но это	10	6
64	это не	13	6
65	с точки	25	6
66	в образе	1	6
67	в нашем	1	6
68	или в	4	6
69	и как	13	6
70	вовсе не	18	6
71	во всех	2	6
72	если мы	5	6
73	очень часто	1	6
74	также и	6	6
75	во время	1	6
76	они и	1	5
77	этот момент	2	5
78	из которых	4	5
79	другой стороны	4	5
80	в первом	2	5
81	вслед за	1	5
82	начинается с	1	5
83	что он	18	5
84	как в	2	5
85	со стороны	5	5
86	видно что	1	5
87	то это	9	5
88	хотя бы	9	5
89	было бы	13	5
90	к тому	4	5
91	ничего не	29	5
92	что они	2	5
93	хотя и	9	5
94	то мы	3	5
95	прежде чем	2	5
96	тому что	5	5
97	учение о	11	5
98	ясно что	16	5
99	все эти	4	5
100	одна из	4	5
101	на его	1	5
102	об этом	8	5
103	в других	1	5
104	там где	1	5
105	мы можем	3	5
106	сюда же	2	5
107	тому как	5	5
108	он не	8	5
109	если же	8	5
110	далеко не	1	5
111	и ее	8	5
112	и к	5	4
113	смысле слова	1	4
114	в некоторых	3	4
115	есть и	14	4
116	на этом	3	4
117	как и	14	4
118	самом деле	7	4
119	но все	1	4
120	ни одна	1	4
121	показать что	1	4
122	тем что	5	4
123	никто не	4	4
124	уже не	9	4
125	еще не	7	4
126	не является	1	4
127	а если	5	4
128	тех же	2	4
129	того чтобы	1	4
130	говорить о	13	4
131	так же	7	4
132	сказать что	7	4
133	на него	1	4
134	на котором	2	4
135	и для	5	4
136	из них	4	4
137	но в	3	4
138	его самого	1	4
139	несмотря на	2	4
140	на самом	2	4
141	его в	2	4
142	что его	5	4
143	случае не	4	4
144	встречается в	1	4
145	подобных случаях	1	4
146	к этому	3	4
147	в то	9	4
148	мы уже	6	4
