N	4gram	Voloshinov	formyVre
1	в то же время	1	18
2	как мы уже сказали	1	6
3	с одной стороны и	2	5
4	мы имеем в виду	1	5
5	одно и то же	2	5
6	в то время как	1	4
7	ни в чем не	1	3
8	но в то же	1	3
9	так же как и	1	3
10	в пространстве и во	1	2
11	все более и более	1	2
12	дело в том что	4	2
13	одна и та же	1	2
14	не может быть и	2	2
15	пространстве и во времени	1	2
16	что до сих пор	1	1
17	вещами и явлениями и	1	1
18	в том что в	1	1
19	вступает в свои права	1	1
20	быть более или менее	1	1
21	в зависимости от того	1	1
22	все разобранные нами моменты	1	1
23	может быть более или	1	1
24	и проч и проч	1	1
25	говорит о том что	1	1
26	и в пространстве и	1	1
27	бы они ни были	1	1
28	и в частности в	1	1
29	то же время не	1	1
30	каковы бы они ни	1	1
31	в том что все	1	1
32	до сих пор не	1	1
