N	2gram	Bakhtin_sl	Poddanst
1	не только	37	17
2	и в	69	14
3	и не	32	12
4	в области	1	11
5	в этом	21	10
6	в отношении	9	10
7	в том	7	9
8	то же	17	9
9	в качестве	4	9
10	но в	13	9
11	хотя бы	6	8
12	в пределах	27	8
13	только в	9	7
14	же время	15	7
15	в то	17	7
16	в судьбах	1	6
17	в ней	7	6
18	xix века	2	6
19	было бы	3	6
20	но и	37	6
21	в смысле	7	6
22	может быть	40	5
23	отношении к	9	5
24	с другой	8	5
25	не в	14	5
26	и о	3	5
27	в которых	1	5
28	и к	9	4
29	что в	3	4
30	и политического	1	4
31	в котором	2	4
32	по себе	4	4
33	и если	1	4
34	и потому	9	4
35	на пути	1	4
36	не может	27	4
37	а в	10	4
38	то что	2	4
39	как бы	16	4
40	если бы	1	4
41	а также	5	4
42	в своем	9	4
43	же в	2	4
44	том что	6	4
45	в себе	3	3
46	что мы	1	3
47	с одной	7	3
48	мы не	4	3
49	это не	8	3
50	одной стороны	7	3
51	для того	2	3
52	между тем	5	3
53	с точки	11	3
54	хотя и	4	3
55	потому что	2	3
56	прежде всего	14	3
57	сводится к	1	3
58	сами по	1	3
59	заключается в	1	3
60	но не	7	3
61	могут быть	25	3
62	и т	56	3
63	и как	3	3
64	с ними	8	3
65	столь же	2	3
66	в нем	44	3
67	и без	1	3
68	тот же	1	3
69	точки зрения	24	3
70	с этим	5	2
71	во всех	25	2
72	м а	1	2
73	в сочетании	2	2
74	именно как	3	2
75	является в	1	2
76	и это	1	2
77	и других	5	2
78	время в	1	2
79	в значительной	6	2
80	том числе	1	2
81	испытания и	1	2
82	и дети	1	2
83	еще более	7	2
84	эта идея	1	2
85	так называемые	1	2
86	создается в	2	2
87	в ее	2	2
88	и тем	3	2
89	того что	4	2
90	как раз	3	2
91	в недрах	1	2
92	в частности	3	2
93	в его	19	2
94	не о	1	2
95	а не	29	2
96	для нас	7	2
97	все это	14	2
98	говорить о	2	2
99	света в	2	2
100	для них	2	2
101	может и	1	2
102	где в	1	2
103	и есть	2	2
104	стороны и	3	2
105	сколько бы	1	2
106	в русском	1	2
107	в виде	4	2
108	в них	11	2
109	не было	4	2
110	и с	10	2
111	из важнейших	2	2
112	в начале	1	2
113	как на	1	2
114	слова но	2	2
115	в общем	1	2
116	в сфере	2	2
117	она ни	1	2
118	именно в	5	2
119	должно быть	3	2
120	в жизни	1	2
121	отношения к	3	2
122	друг другу	2	2
123	в последние	2	2
124	во всей	1	2
125	одна из	6	2
126	между прочим	1	2
127	в мире	1	2
128	и достоевского	1	2
129	например в	6	2
130	не менее	4	2
131	не столько	4	2
132	отнюдь не	1	2
133	со стороны	1	2
134	да и	2	2
135	точек зрения	8	2
136	не нужно	1	2
137	в эту	3	2
138	из них	3	2
139	есть не	2	2
140	тем более	1	2
141	есть в	1	2
142	образом на	2	2
143	не к	1	2
144	бы ни	3	2
145	мира с	1	2
146	нельзя отождествлять	1	1
147	простор для	1	1
148	осознать и	1	1
149	к сожалению	1	1
150	и мир	9	1
151	одновременно две	1	1
152	представить себе	1	1
153	нет ничего	1	1
154	ли они	1	1
155	поскольку она	1	1
156	как к	5	1
157	во всяком	9	1
158	всегда существует	1	1
159	могли бы	2	1
160	не есть	2	1
161	собственном смысле	2	1
162	у каждого	2	1
163	находятся в	1	1
164	и то	2	1
165	мир с	1	1
166	но как	2	1
167	бы и	6	1
168	мы можем	1	1
169	и эти	2	1
170	на этой	1	1
171	мы видим	2	1
172	а с	2	1
173	в данном	5	1
174	с его	8	1
175	что оно	4	1
176	и более	3	1
177	можно говорить	2	1
178	те же	3	1
179	вместе с	3	1
180	и здесь	5	1
181	в определенный	1	1
182	и сущности	1	1
