N	2gram	Potebnia_M	Problemy
1	и в	58	106
2	и не	34	90
3	как бы	12	70
4	может быть	47	66
5	в его	7	56
6	в этом	18	52
7	в нем	26	51
8	не может	30	49
9	как и	16	44
10	что он	5	44
11	точки зрения	8	40
12	но и	26	40
13	для него	13	39
14	и его	7	39
15	а не	38	38
16	то же	13	36
17	не только	32	36
18	то что	24	33
19	но в	12	33
20	прежде всего	8	32
21	он не	4	29
22	в то	6	29
23	все это	3	29
24	и все	6	28
25	в одном	13	27
26	не в	23	27
27	к другому	2	27
28	к себе	1	26
29	же время	4	26
30	в самом	5	25
31	и с	3	25
32	к нему	2	25
33	с точки	4	25
34	в сущности	2	25
35	и т	10	25
36	не как	4	24
37	вовсе не	13	24
38	самом деле	2	24
39	рядом с	3	23
40	и на	8	23
41	слова и	7	23
42	по себе	24	22
43	в каждом	6	22
44	что я	2	22
45	таким образом	21	22
46	там где	8	21
47	как мы	3	21
48	все же	11	20
49	никогда не	7	20
50	только в	36	20
51	потому что	89	20
52	что же	3	19
53	что в	34	19
54	с его	3	19
55	отношению к	13	19
56	слова в	7	19
57	уже не	4	18
58	по отношению	15	18
59	т п	6	18
60	в себе	22	18
61	еще не	9	18
62	о нем	1	18
63	на самом	2	18
64	но не	19	18
65	все эти	3	18
66	себе самом	1	17
67	с ним	7	17
68	а в	11	17
69	в том	38	17
70	это не	10	17
71	так и	17	17
72	так же	7	16
73	если бы	23	16
74	в своей	3	16
75	этом смысле	4	16
76	в другом	3	16
77	у него	3	15
78	и для	8	15
79	и сам	1	14
80	в своем	3	14
81	а как	3	14
82	в отношении	1	14
83	так как	29	14
84	с другим	3	14
85	лишь в	2	14
86	но все	4	13
87	на него	6	13
88	с другими	3	13
89	его в	3	13
90	большинстве случаев	1	13
91	в мире	3	13
92	и это	3	13
93	себя и	3	13
94	перед нами	1	13
95	в большинстве	1	13
96	в целом	3	13
97	при этом	17	12
98	даже в	1	12
99	отношении к	1	12
100	и как	11	12
101	и даже	4	12
102	и слово	2	12
103	к тому	5	12
104	во всяком	9	12
105	в котором	5	12
106	что и	16	12
107	так сказать	5	12
108	себе и	2	12
109	так что	23	12
110	и что	13	12
111	за пределы	4	12
112	было бы	21	12
113	между тем	7	12
114	как в	18	12
115	том что	21	12
116	но это	7	12
117	ничего не	2	12
118	слово в	2	12
119	в одной	2	12
120	тем что	15	11
121	их в	2	11
122	входит в	1	11
123	с другой	13	11
124	должно быть	9	11
125	это слово	1	11
126	бы в	6	11
127	мы уже	1	11
128	не могут	10	11
129	сливается с	1	11
130	слово с	2	11
131	этого слова	5	11
132	сознания и	2	11
133	она не	3	11
134	или как	2	11
135	как будто	2	11
136	более того	1	11
137	самого начала	5	10
138	в произведении	1	10
139	говорит он	4	10
140	что не	15	10
141	сих пор	5	10
142	до сих	5	10
143	для себя	4	10
144	в слове	21	10
145	приводит к	1	10
146	идеи в	1	10
147	в творчестве	1	10
148	той же	3	10
149	в самой	5	10
150	к одному	3	10
151	слова с	2	10
152	далеко не	4	10
153	как не	4	10
154	отношение к	1	10
155	в той	1	9
156	зрения на	1	9
157	другой стороны	7	9
158	в них	7	9
159	хотя бы	4	9
160	что у	2	9
161	хотя и	6	9
162	но он	3	9
163	с самого	5	9
164	из одного	3	9
165	могут быть	17	9
166	в единство	2	9
167	всяком случае	7	9
168	ни в	2	9
169	в единстве	3	9
170	да и	1	9
171	или в	4	9
172	раз и	1	9
173	и потому	7	9
174	человека в	3	9
175	же и	1	8
176	в результате	1	8
177	и до	1	8
178	о том	6	8
179	а что	1	8
180	мы увидим	3	8
181	из них	2	8
182	переходим к	2	8
183	несмотря на	5	8
184	ни было	4	8
185	но как	4	8
186	одним из	2	8
187	здесь не	2	8
188	и у	3	8
189	и от	5	8
190	мы должны	4	8
191	нам кажется	2	8
192	должна быть	4	8
193	был бы	1	8
194	что это	5	8
195	никак не	3	8
196	в человеке	14	8
197	не на	3	8
198	с ними	2	8
199	и так	1	8
200	наконец в	1	8
201	сознание и	1	8
202	из его	1	8
203	он есть	3	8
204	как к	1	8
205	уже в	5	8
206	того что	15	8
207	же не	2	8
208	с их	1	8
209	и о	3	8
210	бы он	1	8
211	от него	8	7
212	тем как	3	7
213	мысли и	9	7
214	в виду	2	7
215	на мир	1	7
216	в жизни	5	7
217	к самому	1	7
218	отличается от	1	7
219	вопрос о	5	7
220	в себя	2	7
221	только на	4	7
222	сказать что	5	7
223	ее как	1	7
224	что все	4	7
225	что она	3	7
226	от себя	2	7
227	что они	6	7
228	все его	2	7
229	не было	7	7
230	не о	1	7
231	как его	1	7
232	между ними	2	7
233	в этих	10	7
234	и следовательно	4	7
235	во всех	12	7
236	то ни	3	7
237	кажется что	1	7
238	если же	5	7
239	друг другу	4	7
240	и др	1	7
241	его к	3	7
242	и ее	1	7
243	были бы	4	7
244	бы то	2	7
245	его с	3	7
246	например в	4	7
247	в процессе	1	7
248	его и	1	7
249	он в	1	7
250	на этот	2	7
251	т д	6	7
252	тот же	5	7
253	как другой	1	7
254	но на	3	7
255	в их	3	7
256	все равно	1	7
257	в виде	1	7
258	но эта	1	7
259	сама по	4	7
260	как слово	1	7
261	и их	6	7
262	такой же	4	7
263	во всем	5	6
264	время не	1	6
265	в своих	4	6
266	в построении	1	6
267	не менее	10	6
268	и нет	1	6
269	с этим	11	6
270	но эти	4	6
271	превращается в	2	6
272	конечно не	1	6
273	как на	5	6
274	одна из	4	6
275	не мог	3	6
276	как же	1	6
277	человек и	1	6
278	на этом	3	6
279	собою и	2	6
280	слово как	2	6
281	можно было	1	6
282	этот вопрос	2	6
283	в этой	3	6
284	себя в	1	6
285	во время	5	6
286	и самое	3	6
287	и здесь	1	6
288	за ним	2	6
289	в другой	4	6
290	отношения к	2	6
291	ни был	2	6
292	может стать	3	6
293	в которых	2	6
294	зависимости от	1	6
295	его слово	1	6
296	в отличие	1	6
297	и во	6	6
298	он может	2	6
299	друг друга	6	6
300	которым он	1	6
301	знаю что	1	6
302	на вопрос	3	6
303	но с	3	6
304	стремится к	1	6
305	словом и	2	6
306	на его	1	6
307	на них	1	6
308	слова как	1	6
309	отличие от	1	6
310	на меня	1	6
311	как он	5	6
312	в начале	2	6
313	обращаться к	1	6
314	жизни и	3	6
315	на то	5	6
316	и только	6	6
317	для этого	2	6
318	но для	1	6
319	те же	4	5
320	именно в	2	5
321	в речи	1	5
322	отношением к	1	5
323	с тем	9	5
324	по своим	1	5
325	мир и	1	5
326	а между	5	5
327	к которому	5	5
328	в зависимости	1	5
329	того же	13	5
330	но так	1	5
331	крайней мере	6	5
332	этот мир	2	5
333	тому же	1	5
334	про себя	2	5
335	на себя	1	5
336	я и	1	5
337	зрения и	7	5
338	в чем	6	5
339	в такой	2	5
340	если б	7	5
341	как объект	2	5
342	однако в	4	5
343	его как	1	5
344	бы его	1	5
345	что может	1	5
346	в общем	1	5
347	себе как	1	5
348	один из	2	5
349	та же	1	5
350	в последнем	2	5
351	то есть	69	5
352	была бы	3	5
353	сам по	5	5
354	подобно тому	7	5
355	него нет	1	5
356	со всеми	1	5
357	поэтому и	1	5
358	все то	2	5
359	с таким	3	5
360	вместе с	12	5
361	по крайней	6	5
362	ни на	1	5
363	совершенно не	1	5
364	мы не	17	5
365	он старается	2	5
366	слов и	5	5
367	в мир	1	5
368	том же	3	5
369	в ее	2	5
370	другого и	1	5
371	высшей степени	1	5
372	его мысль	2	5
373	и то	4	5
374	они не	5	5
375	не во	3	5
376	где он	2	5
377	для других	2	5
378	слова но	4	5
379	между собою	10	5
380	как можно	1	5
381	нисколько не	2	5
382	лежит в	1	5
383	но при	3	5
384	в ней	9	5
385	когда он	1	5
386	же что	2	5
387	с человеком	1	5
388	и самого	2	5
389	тому что	4	5
390	тому как	8	5
391	для другого	1	5
392	является в	1	4
393	все что	5	4
394	что если	7	4
395	к другу	1	4
396	мы и	1	4
397	только что	4	4
398	с этой	3	4
399	без исключения	1	4
400	еще более	2	4
401	они уже	1	4
402	нами в	2	4
403	по мере	10	4
404	более или	6	4
405	в духе	1	4
406	в первом	5	4
407	тона и	1	4
408	друг к	1	4
409	в одно	5	4
410	на друга	2	4
411	то это	8	4
412	даже и	4	4
413	всего этого	1	4
414	уже и	2	4
415	друг на	2	4
416	или менее	6	4
417	такой как	1	4
418	образом как	1	4
419	понятно что	1	4
420	находится в	2	4
421	во всей	1	4
422	на предмет	2	4
423	от них	2	4
424	на котором	1	4
425	не то	3	4
426	все в	2	4
427	него как	1	4
428	поэтому в	1	4
429	тем не	11	4
430	которого он	1	4
431	что такое	3	4
432	не была	2	4
433	связи с	6	4
434	в которой	5	4
435	и говорит	1	4
436	дано в	1	4
437	то в	6	4
438	время как	2	4
439	не есть	13	4
440	в сторону	1	4
441	в эту	2	4
442	на себе	3	4
443	под влиянием	10	4
444	остается в	1	4
445	оно не	4	4
446	если оно	1	4
447	к слову	1	4
448	эти слова	1	4
449	речи и	11	4
450	его внутренней	1	4
451	одно и	1	4
452	им и	1	4
453	но только	2	4
454	ни были	3	4
455	в тоне	1	4
456	в первой	1	4
457	с ее	2	4
458	всех этих	2	4
459	мы видели	5	4
460	непосредственное выражение	1	4
461	вопрос кто	1	4
462	образом и	2	4
463	переходит в	2	4
464	мысль не	1	4
465	речи как	1	4
466	от другого	3	4
467	слова мы	3	4
468	если не	5	4
469	и действительно	1	4
470	в словах	6	4
471	бы не	11	4
472	вследствие этого	1	4
473	здесь нет	1	4
474	то он	2	4
475	то и	15	4
476	совпадает с	1	4
477	и если	6	4
478	обойтись без	1	4
479	как если	1	4
480	времени и	3	4
481	каждый из	1	4
482	вне его	1	4
483	сами по	8	4
484	глубины души	1	4
485	со словом	4	4
486	как предмет	3	4
487	только с	1	4
488	он должен	2	4
489	что оно	5	4
490	тоже не	1	4
491	мир в	1	4
492	перестает быть	3	4
493	этом отношении	1	4
494	в формах	3	4
495	что с	3	4
496	смысле этого	3	4
497	а то	1	4
498	бы с	2	4
499	и без	4	4
500	слова не	2	4
501	и понимания	10	4
502	это было	3	4
503	в каждой	1	4
504	об этом	1	4
505	а так	4	4
506	мысли в	11	4
507	бы ни	8	4
508	это как	1	4
509	и слова	2	4
510	другим и	3	4
511	еще в	1	4
512	стороны и	3	4
513	от того	9	4
514	оно должно	5	4
515	своего слова	1	4
516	и прежде	1	4
517	себе еще	1	4
518	таким же	3	4
519	само по	6	4
520	с которыми	3	3
521	чувствуем что	1	3
522	нем в	1	3
523	может служить	2	3
524	какой бы	1	3
525	но что	2	3
526	чтобы в	1	3
527	есть в	4	3
528	к другим	3	3
