N	2gram	Vygotskiy_	Mirosoze
1	и в	55	97
2	может быть	35	64
3	не только	25	63
4	в этом	21	55
5	но и	12	54
6	он не	8	53
7	а не	18	53
8	в нем	5	49
9	не может	30	49
10	у него	4	47
11	и не	24	39
12	никогда не	13	38
13	в ней	3	37
14	потому что	27	37
15	не было	5	36
16	не в	19	34
17	и есть	5	33
18	для него	1	31
19	не есть	4	30
20	но он	3	30
21	есть лишь	1	30
22	человека в	1	30
23	как и	25	29
24	прежде всего	5	29
25	в мире	1	27
26	но в	5	27
27	человека и	3	26
28	в своей	6	25
29	и это	6	25
30	переходит в	1	24
31	и все	8	24
32	у нас	4	24
33	и достоевский	1	23
34	ведет к	1	23
35	в своем	3	23
36	что в	39	23
37	что он	17	22
38	в самом	18	21
39	творчество достоевского	1	21
40	в себе	6	20
41	отношение к	3	20
42	в россии	1	19
43	как бы	11	19
44	до конца	9	19
45	человек не	1	19
46	в его	8	18
47	того что	15	17
48	и потому	2	17
49	том что	30	16
50	в том	55	16
51	то что	47	16
52	было бы	14	16
53	и его	14	16
54	быть может	2	15
55	в котором	5	15
56	в этой	5	15
57	в конце	6	14
58	она не	6	14
59	нет ничего	1	14
60	те которые	1	14
61	в творчестве	5	14
62	так как	28	14
63	та же	4	13
64	и на	6	13
65	и вот	5	13
66	в русском	4	13
67	привести к	1	12
68	в них	4	12
69	он сам	1	12
70	к нему	3	12
71	и у	6	12
72	но не	5	12
73	смысле слова	4	12
74	в любви	1	12
75	это не	1	12
76	все это	11	12
77	и к	5	11
78	любовь к	1	11
79	с тем	11	11
80	уже не	3	11
81	хотя бы	4	11
82	духа и	1	11
83	в которой	6	11
84	достоевского но	1	11
85	в русской	1	11
86	в достоевском	1	11
87	был бы	6	11
88	только в	18	11
89	как в	17	11
90	и там	2	11
91	но это	3	11
92	и для	9	11
93	жизни и	5	11
94	то же	17	10
95	так же	29	10
96	для человека	1	10
97	всю жизнь	2	10
98	один из	6	10
99	должна быть	3	10
100	не могут	6	10
101	не имеет	3	10
102	это и	3	10
103	связана с	1	10
104	в самой	2	10
105	есть не	6	10
106	все что	4	9
107	из самых	2	9
108	к тому	8	9
109	должно быть	2	9
110	что и	27	9
111	х годов	5	9
112	я не	1	9
113	не будет	4	9
114	он уже	1	9
115	то есть	44	9
116	с ним	2	9
117	вместе с	10	9
118	в свою	3	9
119	и во	3	9
120	образ и	2	9
121	бы и	5	9
122	а в	10	9
123	от него	2	8
124	в этих	6	8
125	и с	5	8
126	тем что	7	8
127	о том	11	8
128	вопрос о	3	8
129	человека не	3	8
130	о достоевском	1	8
131	т е	3	8
132	что не	2	8
133	человеке и	1	8
134	за пределы	2	8
135	жизнь в	1	8
136	что есть	3	8
137	не так	2	8
138	в отношении	3	8
139	еще в	1	8
140	того чтобы	13	8
141	отношении к	3	8
142	нет и	1	8
143	с его	3	8
144	ничего не	4	8
145	они не	1	8
146	уже в	3	8
147	мира и	1	8
148	только и	1	8
149	для того	12	8
150	во всем	5	7
151	что человек	1	7
152	в духе	1	7
153	не существует	4	7
154	в нашем	1	7
155	что все	10	7
156	точки зрения	32	7
157	человеку и	1	7
158	она есть	2	7
159	все в	2	7
160	те же	9	7
161	чем в	2	7
162	что она	11	7
163	на этом	3	7
164	в жизни	5	7
165	жизни в	1	7
166	себя и	3	7
167	он в	2	7
168	но если	2	7
169	высшей степени	1	7
170	в высшей	1	7
171	должен быть	2	7
172	не могу	1	7
173	также и	2	7
174	как он	4	7
175	не хотел	1	7
176	все еще	1	7
177	к другу	1	6
178	же и	2	6
179	есть прежде	1	6
180	с этой	8	6
181	не как	3	6
182	и нет	2	6
183	было в	1	6
184	увидим что	3	6
185	людей и	2	6
186	и те	5	6
187	когда человек	1	6
188	что у	8	6
189	прийти к	1	6
190	там и	1	6
191	его в	3	6
192	к чему	2	6
193	тогда только	1	6
194	у них	2	6
195	совсем не	3	6
196	личности и	1	6
197	можно было	4	6
198	и от	4	6
199	и здесь	3	6
200	друг к	1	6
201	что это	12	6
202	его на	1	6
203	или к	1	6
204	это есть	6	6
205	если бы	10	6
206	в которых	5	6
207	бы не	1	6
208	к людям	1	6
209	в ее	7	6
210	людей не	1	6
211	того как	5	6
212	этом он	2	6
213	должен был	1	6
214	и более	3	6
215	на все	6	6
216	тех которые	1	6
217	жизнь и	3	6
218	его не	3	6
219	россии и	1	6
220	на то	17	6
221	не к	2	6
222	еще не	2	5
223	бы в	3	5
224	которые не	3	5
225	мысли и	2	5
226	человек есть	1	5
227	одно из	2	5
228	с собой	1	5
229	и как	9	5
230	природа человека	2	5
231	отличается от	4	5
232	с этим	7	5
233	во всяком	9	5
234	для этого	1	5
235	мы увидим	4	5
236	говорит что	10	5
237	чем его	1	5
238	перед ним	1	5
239	страдания и	1	5
240	сказать что	12	5
241	к которому	1	5
242	все время	6	5
243	по преимуществу	2	5
244	после того	2	5
245	и вместе	2	5
246	сих пор	8	5
247	которая есть	1	5
248	вопроса о	1	5
249	и мир	1	5
250	до самой	1	5
251	должны быть	6	5
252	культуры и	1	5
253	в то	8	5
254	который был	1	5
255	для чего	1	5
256	означает что	2	5
257	когда он	11	5
258	до сих	8	5
259	и этот	3	5
260	они и	2	5
261	интерес к	2	5
262	оно не	2	5
263	и мы	6	5
264	тот кто	2	5
265	его и	4	5
266	то он	1	5
267	он же	3	5
268	в основе	13	5
269	и если	4	5
270	той же	9	5
271	тот же	8	5
272	в более	1	5
273	этот процесс	1	5
274	так и	6	5
275	и тут	1	5
276	как у	1	5
277	в их	4	5
278	связано с	1	5
279	думать что	3	5
280	к новому	1	5
281	как будто	10	5
282	в той	2	4
283	что было	1	4
284	в центре	1	4
285	человеческой жизни	1	4
286	к этой	2	4
287	еще более	2	4
288	в разных	1	4
289	на деле	11	4
290	потому не	4	4
291	нас в	2	4
292	в своих	12	4
293	и даже	11	4
294	истины и	1	4
295	в такой	2	4
296	на природу	1	4
297	сам не	1	4
298	духовной жизни	1	4
299	не всегда	2	4
300	в него	4	4
301	не что	2	4
302	его собственной	1	4
303	что они	7	4
304	ее и	2	4
305	мы видим	8	4
306	что иное	2	4
307	в каждом	5	4
308	от природы	1	4
309	народной жизни	1	4
310	теряет свою	1	4
311	это очень	1	4
312	лежит в	2	4
313	не была	1	4
314	будто бы	2	4
315	была в	1	4
316	тому что	7	4
317	время как	6	4
318	в свете	3	4
319	себе и	2	4
320	в чем	5	4
321	а для	1	4
322	а с	2	4
323	человека как	1	4
324	отношение между	1	4
325	так что	8	4
326	мысль что	5	4
327	и что	28	4
328	и никогда	1	4
329	и по	7	4
330	от всякого	1	4
331	преступления и	1	4
332	его с	3	4
333	живет в	2	4
334	бессилен перед	1	4
335	тогда когда	7	4
336	ни в	9	4
337	и тот	4	4
338	оно есть	3	4
339	то время	6	4
340	как о	1	4
341	от его	1	4
342	никто не	1	4
343	я хочу	2	4
344	к другому	1	4
345	к которой	1	4
346	по сравнению	3	4
347	человека от	1	4
348	и тогда	3	4
349	и до	2	4
350	только с	2	4
351	мы еще	1	4
352	он должен	1	4
353	как к	2	4
354	могут быть	15	4
355	может не	1	4
356	мы не	15	4
357	одна и	1	4
358	все равно	1	4
359	у всех	2	4
360	в эпоху	1	4
361	все эти	7	4
362	есть в	7	4
363	по своему	2	4
364	особенно в	1	4
365	начинается в	1	4
366	значит что	1	4
367	народного духа	1	4
368	и их	4	4
369	заключает в	3	4
370	в пустыне	1	4
371	от того	6	4
372	стало быть	3	4
373	место в	1	4
374	и только	5	4
375	конце концов	6	4
376	иное как	2	4
377	является в	1	3
378	можно и	1	3
379	который должен	1	3
380	против него	1	3
381	это значит	1	3
382	о чем	2	3
383	есть один	1	3
384	него в	2	3
385	в виду	6	3
386	не бывает	1	3
387	ко всем	1	3
388	стоит в	1	3
389	мысль о	1	3
390	принадлежат к	4	3
391	все же	9	3
392	русской интеллигенции	2	3
393	но у	1	3
394	мир и	1	3
395	этого вопроса	2	3
396	на человека	1	3
397	природы человека	1	3
398	то это	3	3
399	считает себя	1	3
400	в противоположность	1	3
401	истину и	1	3
402	одной и	6	3
403	все противоречия	1	3
404	в одном	4	3
405	и когда	5	3
406	приходит к	5	3
407	конечно не	2	3
408	не вполне	1	3
409	можно ли	2	3
410	то чтобы	4	3
411	приходят к	1	3
412	находится в	1	3
