N	2gram	Bakhtin_Fr	UchenyiS
1	и в	68	14
2	не только	21	10
3	а не	6	10
4	и не	25	8
5	прежде всего	23	8
6	то что	11	7
7	в этом	28	7
8	не может	5	7
9	может быть	10	6
10	перестает быть	2	5
11	хотя бы	2	5
12	то же	14	5
13	художественного творчества	1	5
14	в художественном	3	5
15	и только	1	5
16	все это	6	5
17	в конечном	1	4
18	с другой	8	4
19	в этой	15	4
20	конечном счете	1	4
21	конечно не	4	4
22	что такое	1	4
23	но и	17	4
24	в их	6	4
25	к сожалению	1	3
26	бы то	1	3
27	было бы	4	3
28	и то	2	3
29	только к	1	3
30	или точнее	2	3
31	для этого	3	3
32	это не	5	3
33	как и	17	3
34	то ни	1	3
35	вряд ли	3	3
36	для него	7	3
37	формы в	1	3
38	в своей	11	3
39	все же	6	3
40	ни было	1	3
41	в области	5	3
42	в частности	4	3
43	в то	14	3
44	не как	1	3
45	у нас	4	3
46	пришлось бы	1	3
47	другой стороны	5	3
48	но в	20	3
49	же время	13	3
50	литературы и	1	2
51	все они	5	2
52	таким образом	22	2
53	в самом	6	2
54	же не	1	2
55	материал для	1	2
56	его и	1	2
57	если бы	3	2
58	самом деле	5	2
59	не в	2	2
60	ни от	2	2
61	это было	2	2
62	бы и	1	2
63	для всех	1	2
64	и с	15	2
65	до сих	6	2
66	художественном творчестве	1	2
67	одним из	2	2
68	еще ничего	1	2
69	но не	4	2
70	форму и	2	2
71	тем что	6	2
72	в себе	5	2
73	в его	21	2
74	в конце	8	2
75	даже и	3	2
76	мы не	3	2
77	именно как	1	2
78	ничего не	4	2
79	всех этих	5	2
80	между тем	3	2
81	художественного произведения	1	2
82	что он	7	2
83	конце концов	3	2
84	на эту	2	2
85	этом отношении	4	2
86	о чем	3	2
87	художественном произведении	1	2
88	как раз	8	2
89	в некоторых	1	2
90	тех или	2	2
91	наконец он	1	2
92	не могут	1	2
93	а как	1	2
94	что мы	1	2
95	в буквальном	1	2
96	в том	12	2
97	представляется нам	2	2
98	это уже	2	2
99	том что	6	2
100	или иных	2	2
101	художественных произведений	1	2
102	нас в	2	2
103	но это	5	2
104	материал не	1	2
105	но даже	2	2
106	и для	6	2
107	в системе	3	2
108	что и	3	2
109	меньшей степени	2	2
110	не случайно	1	2
111	смысле этого	2	2
112	с его	6	2
113	и у	2	2
114	превращается в	4	2
115	на первый	1	2
116	сих пор	6	2
117	только в	9	2
118	формы и	1	2
119	по себе	1	2
120	что все	2	2
121	но конечно	5	2
122	степени характерно	1	1
123	и форм	2	1
124	в той	7	1
125	первых мест	1	1
126	литературы в	1	1
127	что было	3	1
128	все в	2	1
129	что в	14	1
130	к лицу	1	1
131	не было	7	1
132	и глубина	1	1
133	остается в	2	1
134	и даже	7	1
135	связанных с	1	1
136	первый план	1	1
137	более или	1	1
138	говорит он	2	1
139	и потому	6	1
140	но он	9	1
141	отказаться от	1	1
142	этом случае	1	1
143	такой характер	1	1
144	в свое	1	1
145	в которой	6	1
146	такое понимание	1	1
147	все и	1	1
148	имеем в	2	1
149	можно сказать	2	1
150	для второго	1	1
151	несомненно что	1	1
152	литературного произведения	1	1
153	этого не	1	1
154	и дается	1	1
155	или меньшей	3	1
156	восприятия и	1	1
157	которой все	1	1
158	и единого	1	1
159	в данном	5	1
160	все его	2	1
161	что ему	1	1
162	много в	2	1
163	больше чем	3	1
164	а для	1	1
165	и техники	1	1
166	еще раз	2	1
167	нет и	1	1
168	как на	3	1
169	равно как	2	1
170	вообще в	2	1
171	и вы	4	1
172	религии и	1	1
173	произведений и	3	1
174	произведение как	1	1
175	со своими	2	1
176	он в	2	1
177	и все	16	1
178	что этот	1	1
179	в точном	1	1
180	из самых	2	1
181	все элементы	2	1
182	только более	1	1
183	же как	1	1
184	группы и	2	1
185	сказать что	3	1
186	произведения как	1	1
187	и эта	1	1
188	претендует на	1	1
189	вообще очень	3	1
190	данном случае	3	1
191	почему и	1	1
192	речи в	1	1
193	встречается у	1	1
194	но положение	1	1
195	но для	1	1
196	то есть	31	1
197	и всей	1	1
198	выхода в	1	1
199	этот процесс	4	1
200	от которой	1	1
