N	2gram	Bakhtin_fo	RusskieA
1	и в	84	79
2	в том	16	64
3	том что	7	59
4	что в	9	57
5	не только	16	41
6	во время	7	38
7	так как	12	34
8	и другие	6	33
9	в этом	41	33
10	как бы	11	31
11	но и	14	31
12	в других	9	30
13	п в	1	30
14	как и	15	28
15	и на	13	28
16	может быть	18	28
17	в этот	5	26
18	этот день	1	25
19	одна из	3	24
20	о том	4	23
21	и т	21	23
22	при этом	8	22
23	т д	3	21
24	там же	1	20
25	это не	8	20
26	а в	6	20
27	как мы	19	20
28	из них	8	19
29	все это	10	18
30	с тем	5	17
31	таким образом	14	17
32	то что	13	17
33	вместе с	9	17
34	об этом	3	17
35	потому что	11	17
36	мы не	4	16
37	или на	1	15
38	один из	5	15
39	в них	11	14
40	и с	10	14
41	как это	2	14
42	и что	1	14
43	мы видели	2	14
44	и не	19	14
45	для нас	2	14
46	у нас	2	14
47	в xix	1	14
48	в день	1	13
49	уже не	5	13
50	к этому	5	13
51	в некоторых	4	13
52	так что	4	13
53	в землю	1	13
54	и по	5	13
55	как в	10	13
56	в которых	4	13
57	еще не	8	13
58	не может	8	13
59	тем что	4	12
60	между собой	5	12
61	этом случае	1	12
62	мы имеем	2	12
63	в виде	1	12
64	в дом	2	11
65	а затем	3	11
66	мы увидим	2	11
67	следующим образом	1	11
68	не имеет	5	11
69	но это	1	11
70	а на	1	11
71	далеко не	3	11
72	что на	3	11
73	все же	12	10
74	его в	8	10
75	между тем	1	10
76	что и	5	10
77	в течение	2	10
78	так и	17	10
79	или в	3	10
80	а также	5	10
81	по существу	17	10
82	и других	5	10
83	то же	18	9
84	о чем	4	9
85	что они	3	9
86	к жизни	2	9
87	с ней	1	9
88	и все	10	9
89	данном случае	2	9
90	том же	4	9
91	но в	16	9
92	в честь	2	9
93	в русском	1	9
94	но не	9	9
95	одно из	3	8
96	в этих	6	8
97	представление о	1	8
98	что по	1	8
99	так же	7	8
100	после этого	2	8
101	связи с	14	8
102	на себя	2	8
103	во всех	13	8
104	что это	1	8
105	их в	6	8
106	того чтобы	11	8
107	того что	5	8
108	ее в	2	8
109	в данном	4	8
110	как уже	3	8
111	для того	12	8
112	же в	6	8
113	в это	5	7
114	в своем	8	7
115	на них	2	7
116	не в	10	7
117	не совсем	1	7
118	было бы	2	7
119	главным образом	1	7
120	только в	12	7
121	еще в	1	7
122	это время	8	7
123	связанные с	5	7
124	из этих	5	7
125	а не	7	7
126	начиная с	1	7
127	до конца	5	7
128	в настоящее	1	7
129	ничего не	9	7
130	не можем	1	7
131	животных и	2	7
132	и как	12	7
133	мы должны	2	7
134	по этому	2	7
135	в эти	1	7
136	с собой	2	6
137	же как	2	6
138	к тому	6	6
139	что этот	1	6
140	только на	3	6
141	но они	3	6
142	в одном	10	6
143	в качестве	6	6
144	чем в	3	6
145	в таком	4	6
146	тому что	1	6
147	также в	1	6
148	на земле	2	6
149	и у	8	6
150	на этом	2	6
151	год и	1	6
152	должны были	1	6
153	в фольклоре	2	6
154	в этой	3	6
155	в нем	28	6
156	с ними	1	6
157	приводит к	1	6
158	и более	3	6
159	эти дни	1	6
160	что здесь	2	6
161	друг друга	3	6
162	и пр	2	6
163	в первый	1	6
164	в их	9	6
165	все эти	12	6
166	так в	2	6
167	связаны с	3	6
168	она не	2	6
169	но она	2	6
170	и их	11	6
171	и о	1	6
172	и к	4	5
173	в разных	6	5
174	например в	7	5
175	только для	2	5
176	с этим	11	5
177	вопрос о	2	5
178	входит в	3	5
179	с другой	4	5
180	связь между	2	5
181	изображается как	1	5
182	к ним	3	5
183	по поводу	1	5
184	что от	1	5
185	не было	8	5
186	праздники и	1	5
187	в связи	13	5
188	такие же	1	5
189	в целях	1	5
190	мы уже	17	5
191	в тех	1	5
192	и др	13	5
193	чаще всего	1	5
194	там где	4	5
195	в то	13	5
196	прежде всего	28	5
197	в особенности	15	5
198	его с	2	5
199	тогда когда	2	5
200	с ним	5	5
201	для них	3	5
202	то на	1	5
203	что он	2	5
204	то и	1	5
205	в свою	2	5
206	к себе	8	5
207	этой игры	1	5
208	и для	12	5
209	тот же	4	5
210	в его	19	5
211	на самом	1	5
212	или даже	1	5
213	и потому	4	5
214	отнюдь не	7	5
215	в целом	2	5
216	вплоть до	3	5
217	во всем	3	4
218	кроме того	7	4
219	не столько	2	4
220	этого момента	2	4
221	их не	2	4
222	как они	1	4
223	в своих	1	4
224	но все	6	4
225	в народном	1	4
226	именно в	5	4
227	всякого рода	3	4
228	во всяком	5	4
229	на этой	4	4
230	в котором	8	4
231	но эти	4	4
232	в глаза	3	4
233	в отличие	3	4
234	чтобы они	4	4
235	во всей	3	4
236	от них	1	4
237	идут в	1	4
238	влияние на	6	4
