N	3gram	Propp_Isto	Morfolog
1	и т д	35	60
2	в этих случаях	10	14
3	мы видим что	12	11
4	в этом случае	3	10
5	не может быть	8	9
6	в связи с	5	9
7	таким образом мы	3	7
8	по отношению к	6	7
9	мы увидим ниже	5	6
10	тем не менее	7	6
11	в иное царство	7	6
12	получение волшебного средства	1	6
13	наряду с этим	1	5
14	подобно тому как	3	5
15	как мы увидим	2	5
16	с другой стороны	7	5
17	в том что	6	4
18	тех же формах	1	4
19	не может считаться	1	4
20	в тех же	1	4
21	на самом деле	2	4
22	образом мы видим	2	4
23	не могут быть	1	4
24	к тому что	1	4
25	но все же	7	4
26	т д но	2	4
27	может быть названо	1	4
28	на то что	5	3
29	в большинстве случаев	4	3
30	о том что	5	3
31	для того чтобы	1	3
32	не значит что	1	3
33	в то время	3	3
34	требует чтобы герой	1	3
35	бы то ни	2	3
36	в том случае	1	3
37	в первом случае	1	3
38	если мы не	1	3
39	это сказка о	1	3
40	случай мы имеем	1	3
41	на первый взгляд	2	3
42	в руки героя	2	3
43	то время как	3	3
44	руки героя попадает	2	2
45	из двенадцати равных	1	2
46	не в количестве	1	2
47	в сказке о	1	2
48	и тем не	2	2
49	после чего следует	1	2
50	и вне связи	1	2
51	это не значит	1	2
52	героя попадает волшебное	1	2
53	о том как	2	2
54	но если это	2	2
55	и пр то	1	2
56	с того что	3	2
57	т д они	1	2
58	до наших дней	2	2
59	мы увидим что	8	2
60	дело не в	2	2
61	задавание трудных задач	1	2
62	то что в	2	2
63	ни одной из	1	2
64	т д а	1	2
65	более или менее	5	2
66	такие персонажи как	1	2
67	на курьих ножках	5	2
68	для наших целей	2	2
69	друг на друга	1	2
70	начинается с того	2	2
71	героя из дома	2	2
72	в иных случаях	1	2
73	не что иное	3	2
74	можно было бы	5	2
75	точно так же	8	2
76	мы уже видели	4	2
77	мы имеем в	4	2
78	отсюда вывод что	2	2
79	если это так	2	2
80	то мы имеем	1	2
81	но так как	2	2
82	одной из приведенных	1	2
83	то ни было	2	2
84	то же происходит	2	2
85	тех случаях когда	1	2
86	можно показать что	1	2
87	что иное как	3	2
88	в тех случаях	1	2
89	также может быть	1	2
90	с одной стороны	7	2
91	в таких случаях	4	2
92	в этом отношении	1	2
93	вне связи с	1	2
94	мы не будем	4	2
95	вопрос о том	2	2
96	отсюда видно что	1	2
97	оно может быть	2	2
98	т д он	1	2
99	и здесь можно	1	1
100	выше было указано	1	1
101	в немецкой сказке	4	1
102	кроме того есть	2	1
103	в этой главе	1	1
104	случайных встречных и	1	1
105	брата и сестру	1	1
106	есть не что	2	1
107	ответить на вопрос	1	1
108	имеем то же	2	1
109	целей это несущественно	1	1
110	дурак так и	1	1
111	может быть объяснена	1	1
112	путь покидать жену	1	1
113	т д здесь	1	1
114	не ходи со	1	1
115	что в сказке	3	1
116	т д и	2	1
117	покидать высока терема	3	1
118	основе очень многих	1	1
119	и тот же	2	1
120	к заключению что	1	1
121	истории изучения сказки	1	1
122	разнообразны и что	1	1
123	сравнивать сказку с	2	1
124	т д все	3	1
125	в тот момент	3	1
126	в тех сказках	1	1
127	представляют собой более	1	1
128	но некоторые связи	1	1
129	как видно будет	1	1
130	поставить вопрос как	1	1
131	к тому или	1	1
132	вопрос о характере	1	1
133	в подземное царство	1	1
134	можно вообще заметить	1	1
135	сказки требует чтобы	1	1
136	т д то	2	1
137	очень многие сказки	1	1
138	на работу аф	1	1
139	но кроме того	1	1
140	мы уже знаем	3	1
141	примеров видно что	1	1
142	это будет видно	1	1
143	сказки с религией	1	1
144	вспомним хотя бы	1	1
145	в других случаях	2	1
146	запретном чулане видит	1	1
147	с этим мы	1	1
148	с этим в	2	1
149	в потолок врос	2	1
150	как один из	2	1
151	он как бы	1	1
152	что там где	1	1
153	за это время	1	1
154	к нему в	1	1
155	в лесной избушке	1	1
156	говоря что он	1	1
157	сказки так тесно	2	1
158	в мифах и	1	1
159	а на самом	1	1
160	до известной степени	1	1
161	он женится на	1	1
162	то что он	1	1
163	имеется и в	1	1
164	но и здесь	1	1
165	сказках где нет	1	1
166	и может быть	1	1
167	тот момент когда	3	1
168	и многие другие	1	1
169	это так то	2	1
170	видим что в	1	1
171	в лес и	6	1
172	виды сказочных начал	1	1
173	много князь ее	1	1
174	лежат в основе	1	1
175	в других сказках	1	1
176	чужих руках уезжает	1	1
177	хода действия и	1	1
178	тесно связаны между	1	1
179	связи с изучением	1	1
180	аф надо было	1	1
181	из дома а	1	1
182	уезжает он купец	1	1
183	герой получает от	1	1
184	в подобных случаях	1	1
185	ложным заключениям несмотря	1	1
186	например в сказке	3	1
187	так в сказке	2	1
188	сказки прежде всего	1	1
189	то мы увидим	1	1
190	том случае когда	1	1
191	тех формах в	1	1
192	возникает другой вопрос	1	1
193	было указано что	1	1
194	не покидать высока	3	1
195	князь ее уговаривал	1	1
196	можно указать что	1	1
197	чего следует бегство	1	1
198	покидать жену на	1	1
199	мы имеем то	1	1
200	что в таких	1	1
201	один и тот	2	1
202	не более как	1	1
203	в точности мы	1	1
204	мы останавливаться не	1	1
205	берет с собой	1	1
206	нос в потолок	4	1
207	как уже указано	2	1
208	что эти задачи	1	1
209	для изучения сказки	2	1
210	встречу с дарителем	1	1
211	но об этом	1	1
212	обстоит дело с	2	1
213	в точности соответствуют	1	1
214	в основе очень	1	1
215	дальний путь покидать	1	1
216	на коне или	1	1
217	в некоторых случаях	2	1
218	высока терема и	1	1
219	уже было бы	1	1
220	курьих ножках и	1	1
221	береги братца не	1	1
222	придется поставить вопрос	1	1
223	видим что сказка	1	1
224	мы нашли что	2	1
225	в пропасть в	1	1
226	в тех формах	1	1
227	ходи со двора	1	1
228	больте и поливки	1	1
229	отлучки представляет собой	1	1
230	а в русской	1	1
231	в какой степени	1	1
232	очень часто является	1	1
233	но если мы	1	1
234	связаны между собою	1	1
235	то же можно	1	1
236	такой случай мы	1	1
237	к ложным заключениям	1	1
238	вдруг совершенно неожиданно	1	1
239	так называемой финской	1	1
240	форму отлучки представляет	1	1
241	этот вопрос мы	2	1
242	называемой финской школы	1	1
243	заметить что в	1	1
244	могла бы составить	1	1
245	что волшебная сказка	1	1
246	здесь мы имеем	2	1
247	но и другие	1	1
248	но они не	3	1
249	тех или иных	1	1
250	и то же	1	1
251	на этот вопрос	2	1
252	сказки могут быть	1	1
253	и есть то	1	1
254	вступает в брак	1	1
255	дочь в лес	3	1
256	имеем в сказках	1	1
257	уже не может	1	1
258	т е мы	1	1
259	сказка начинается с	1	1
260	же происходит при	1	1
261	и в сказке	3	1
262	она просит его	1	1
263	князю ехать в	1	1
264	иное царство или	1	1
265	в сказке она	1	1
266	мы еще остановимся	1	1
267	будем входить в	1	1
268	формах в каких	1	1
269	в противном случае	1	1
270	друг с другом	3	1
271	уже видели выше	1	1
272	связь сказки с	2	1
273	до сих пор	11	1
274	представляет собой смерть	1	1
275	ясно что это	1	1
276	так как это	1	1
277	сказок по сюжетам	1	1
278	во всех случаях	2	1
279	не означает что	2	1
280	собой смерть родителей	1	1
281	то мы не	2	1
282	ниже пока же	2	1
283	по всему миру	1	1
284	братца не ходи	1	1
285	иметь в виду	2	1
286	следует бегство и	1	1
287	ехать в дальний	1	1
288	даже в тех	1	1
289	за тридевять земель	2	1
290	нам еще пригодится	1	1
291	же случай мы	1	1
292	жену на чужих	1	1
293	между собой и	1	1
294	и дает ему	1	1
295	может быть объяснено	1	1
296	настолько разнообразны что	1	1
297	и изучаться самостоятельно	1	1
298	вход в иное	5	1
299	это завело бы	1	1
300	вместо того чтобы	2	1
301	весь этот материал	1	1
302	останавливаться не будем	1	1
303	если бы мы	2	1
304	так например в	5	1
305	не будем входить	1	1
306	и пр с	1	1
307	заключениям несмотря на	1	1
308	так тесно связаны	2	1
309	испытание и награждение	1	1
310	это один из	2	1
311	надо сказать что	4	1
312	во всех этих	1	1
313	и в нашей	1	1
314	в этой работе	1	1
315	ничего не говорится	1	1
316	д все эти	1	1
317	терема и пр	1	1
318	она может быть	1	1
319	всех этих случаях	1	1
320	мы должны будем	4	1
321	так мы получаем	1	1
322	поставить вопрос о	1	1
323	волшебной сказки не	3	1
324	с самого начала	4	1
325	коне или на	1	1
326	на чужих руках	1	1
327	будет сказано ниже	1	1
328	из них не	1	1
329	том что он	1	1
330	стоит в связи	2	1
331	так как его	1	1
332	раньше чем продолжать	1	1
333	это означает что	1	1
334	вообще заметить что	1	1
335	есть на самом	1	1
336	отправку героя из	2	1
337	является герой и	1	1
338	которые можно назвать	1	1
339	и др это	1	1
340	это было бы	1	1
341	задача может быть	2	1
342	в высшей степени	1	1
343	еще не все	1	1
344	огромную роль в	1	1
345	здесь можно усмотреть	2	1
346	мы должны теперь	1	1
347	что в руки	1	1
348	что в сказках	1	1
349	а в сущности	1	1
350	тридевять земель в	1	1
351	в лес но	1	1
352	это все же	1	1
353	в запретном чулане	2	1
354	т д иногда	1	1
355	работу аф надо	1	1
356	отдай то чего	2	1
357	может быть рассмотрено	1	1
358	метод и материал	1	1
359	с тем как	1	1
360	поисков находится в	1	1
361	руках уезжает он	1	1
362	в лесу на	2	1
363	избушка на курьих	3	1
364	в сказке имеется	2	1
365	один из них	1	1
366	это значит что	1	1
367	если всмотреться в	2	1
368	тех сказках где	1	1
369	выдает себя за	2	1
370	и в какой	1	1
371	указанием на то	1	1
372	в середине сказки	1	1
373	иное царство и	2	1
374	в одном случае	1	1
375	усиленную форму отлучки	1	1
376	герой берет с	1	1
377	в третий раз	2	1
378	приводит к тому	1	1
379	в другой сказке	1	1
380	то это значит	1	1
381	и этот момент	1	1
382	так же и	2	1
383	для этой цели	1	1
384	этот случай встречается	1	1
385	но это не	1	1
386	уже не только	1	1
387	наших целей это	1	1
388	что и в	1	1
389	таким же способом	1	1
390	после того как	2	1
391	относительно друг друга	1	1
392	в дальний путь	1	1
393	мы не можем	3	1
394	можно установить что	2	1
395	видно будет ниже	1	1
396	встречных и т	1	1
397	потому что они	1	1
398	ответ на него	1	1
399	мы видим не	1	1
400	эти две формы	2	1
401	в чужие страны	1	1
