N	4gram	Tiupa_Anal	Formalny
1	в то же время	7	20
2	и не может быть	4	7
3	бы то ни было	3	7
4	одни и те же	2	5
5	в химическом соединении с	1	4
6	нет и не может	2	4
7	на самом же деле	1	3
8	один и тот же	1	3
9	в том числе и	1	3
10	но в то же	2	3
11	той мере в какой	2	2
12	с этой точки зрения	2	2
13	в том смысле что	1	2
14	в той мере в	2	2
15	химическом соединении с художественной	1	2
16	одним и тем же	1	2
17	не говоря уже о	1	2
18	мы имеем в виду	1	2
19	и те же слова	1	2
20	какой бы то ни	2	2
21	в том или ином	3	2
22	т п таким образом	1	1
23	том и заключается что	1	1
24	каков бы ни был	1	1
25	которая сама по себе	1	1
26	еще в самом начале	1	1
27	и в этом случае	1	1
28	не что иное как	5	1
29	в этом случае в	1	1
30	в том случае если	1	1
31	с той или иной	2	1
32	лишь по отношению к	1	1
33	одно и то же	2	1
34	от отца к сыну	1	1
35	большей или меньшей степени	1	1
36	не сам по себе	1	1
37	как это происходит в	1	1
38	в той же мере	1	1
39	в большей или меньшей	1	1
40	из виду что в	1	1
41	той же мере и	1	1
42	ни в коем случае	2	1
43	одной и той же	1	1
44	в том и заключается	1	1
45	это было в первом	1	1
46	или ином ее аспекте	1	1
47	том или ином ее	1	1
48	в собственном смысле слова	1	1
49	в целом все это	1	1
50	тем не менее в	1	1
51	чего бы то ни	1	1
52	в противном случае мы	1	1
53	бы оно ни было	1	1
54	мере в какой это	1	1
55	или во всяком случае	1	1
56	соединении с художественной идеологемой	1	1
57	но в таком случае	1	1
58	в коем случае не	2	1
59	одного и того же	2	1
60	а то и просто	1	1
61	лишь в связи с	1	1
62	и т п таким	1	1
63	как это было в	1	1
64	лишь в том случае	1	1
65	которое не может быть	1	1
66	не от отца к	1	1
67	в данном случае с	1	1
68	есть не что иное	4	1
