N	2gram	Tiupa_Hudo	Sotsiolo
1	истории литературы	2	10
2	все это	2	7
3	в том	20	5
4	в этом	12	5
5	не только	20	3
6	не в	9	3
7	и в	23	3
8	более чем	1	3
9	в его	11	3
10	о литературе	3	3
11	для нас	1	3
12	что в	7	2
13	ведь это	1	2
14	то что	5	2
15	таким образом	3	2
16	том что	9	2
17	или даже	3	2
18	дело не	2	2
19	как бы	11	2
20	в результате	1	2
21	было бы	1	2
22	как будто	1	2
23	в частности	18	2
24	но и	14	2
25	может быть	19	2
26	она может	1	2
27	и что	4	2
28	это и	2	2
29	за пределы	2	2
30	по отношению	10	2
31	в конце	1	2
32	отношению к	10	2
33	далеко не	4	2
34	тем более	2	2
35	только в	7	2
36	к которому	4	2
37	то же	12	2
38	еще не	4	2
39	а в	13	1
40	что он	5	1
41	художественных произведений	1	1
42	в конечном	5	1
43	столь же	2	1
44	литературы как	3	1
45	даже в	3	1
46	литература как	1	1
47	быть не	1	1
48	в таких	1	1
49	в целом	3	1
50	в силу	4	1
51	более не	2	1
52	все эти	2	1
53	не один	1	1
54	не было	1	1
55	представить себе	1	1
56	когда мы	1	1
57	связи с	3	1
58	только то	1	1
59	к субъекту	1	1
60	в своей	7	1
61	в мире	24	1
62	и потому	2	1
63	все же	1	1
64	что это	1	1
65	еще и	2	1
66	от друга	1	1
67	по крайней	1	1
68	с другой	9	1
69	мы понимаем	1	1
70	а тем	1	1
71	с ним	2	1
72	противном случае	2	1
73	право на	2	1
74	между тем	4	1
75	как совокупность	3	1
76	и более	2	1
77	но как	2	1
78	в этой	2	1
79	время в	1	1
80	и его	12	1
81	опираясь на	1	1
82	они ни	1	1
83	ли не	1	1
84	именно такого	1	1
85	в данном	4	1
86	только для	1	1
87	в области	8	1
88	и по	2	1
89	есть процесс	1	1
90	же самое	1	1
91	этом не	1	1
92	один из	2	1
93	так и	12	1
94	писатель как	1	1
95	в противном	2	1
96	в то	8	1
97	бы они	1	1
98	может не	1	1
99	ни одно	2	1
100	в котором	1	1
101	те же	1	1
102	между собой	2	1
103	который говоря	1	1
104	чтобы сделаться	1	1
105	отнюдь не	2	1
106	и не	16	1
107	объекта и	3	1
108	но она	2	1
109	эти два	1	1
110	иначе говоря	5	1
111	же по	1	1
112	от окружающих	1	1
113	он ни	1	1
114	говоря иначе	2	1
115	настоящее время	1	1
116	и о	4	1
117	к изучению	1	1
118	вступает в	2	1
119	но не	13	1
120	может служить	2	1
121	они не	1	1
122	лучшем случае	1	1
123	в него	1	1
124	для этого	1	1
125	себе чтобы	1	1
126	прежде всего	5	1
127	тем что	1	1
128	что она	2	1
129	тем же	1	1
130	в систему	1	1
131	в каждом	1	1
132	в строгом	1	1
133	искусство слова	5	1
134	друг от	1	1
135	изучение художественных	1	1
136	в чем	2	1
137	на основании	1	1
138	что автор	1	1
139	а с	2	1
140	это происходит	1	1
141	но только	2	1
142	и будет	1	1
143	не дает	1	1
144	тех кто	1	1
145	в лучшем	1	1
146	в сущности	1	1
147	в область	1	1
148	конечном счете	5	1
149	он говорит	1	1
150	его в	4	1
151	не от	2	1
152	пришлось бы	1	1
153	зависит от	1	1
154	крайней мере	1	1
155	но одно	1	1
156	же этот	1	1
157	ни были	1	1
158	границы и	1	1
159	я и	7	1
160	вовсе не	2	1
161	с одной	3	1
162	о том	2	1
163	тому что	2	1
164	том и	2	1
165	в этих	4	1
166	сама по	2	1
167	у него	2	1
168	по себе	2	1
169	на отдельные	1	1
170	на первый	1	1
171	без этого	1	1
172	могут оказаться	2	1
173	перед нами	1	1
174	из тех	2	1
175	все то	1	1
176	же время	7	1
177	наконец в	1	1
178	это не	4	1
179	одной стороны	3	1
180	в связи	3	1
181	бы в	1	1
182	в настоящее	1	1
183	именно в	2	1
184	никогда не	2	1
185	и есть	1	1
186	не может	9	1
187	между ними	5	1
188	и как	4	1
189	что все	1	1
190	место в	5	1
191	как и	3	1
192	в них	2	1
