N	2gram	Voloshinov	KFilosof
1	может быть	13	45
2	в его	6	42
3	в нем	6	32
4	не может	13	29
5	и не	14	28
6	и в	42	28
7	по отношению	2	26
8	в котором	3	24
9	не есть	2	22
10	отношению к	2	22
11	в себе	10	21
12	только в	7	18
13	и его	7	18
14	в своем	1	17
15	в ее	3	17
16	а не	7	17
17	в этом	10	15
18	для него	3	13
19	не в	6	13
20	точки зрения	11	13
21	к нему	2	12
22	ни в	1	12
23	но не	2	12
24	и это	8	12
25	в своей	2	11
26	все эти	3	11
27	во всех	6	11
28	все это	4	10
29	это не	3	10
30	с точки	5	10
31	и есть	1	10
32	и для	3	10
33	в целом	4	10
34	в их	2	9
35	и все	4	9
36	но и	16	9
37	как бы	30	9
38	не было	2	8
39	если бы	4	8
40	в мире	2	8
41	со стороны	1	8
42	было бы	7	8
43	лишь в	4	8
44	в себя	1	8
45	жизни и	3	8
46	себя в	4	8
47	и здесь	3	7
48	этот момент	1	7
49	что и	3	7
50	должен быть	2	7
51	вовсе не	2	7
52	уже не	4	7
53	совершенно не	3	7
54	то что	9	7
55	конечно не	3	7
56	отнюдь не	10	7
57	должно быть	2	6
58	не значит	1	6
59	но все	5	6
60	мой поступок	2	6
61	но эта	2	6
62	в действительном	1	6
63	я не	1	6
64	в том	3	6
65	и их	5	6
66	и действительно	1	6
67	отношение к	2	6
68	место в	2	6
69	он не	2	6
70	но это	2	6
71	то же	16	5
72	мы имеем	2	5
73	не только	28	5
74	с ним	2	5
75	но как	2	5
76	его в	4	5
77	не знает	3	5
78	в основе	3	5
79	но в	5	5
80	именно в	1	5
81	но ведь	6	5
82	как и	12	5
83	все же	9	5
84	еще не	3	5
85	что я	1	5
86	время и	1	5
87	хотя бы	18	5
88	и содержание	2	5
89	в одном	4	5
90	а в	5	5
91	я и	2	5
92	культуры и	1	5
93	его как	1	5
94	жизни как	1	5
95	там где	1	5
96	бытия в	2	5
97	никогда не	7	5
98	что в	1	4
99	и весь	1	4
100	при этом	9	4
101	что это	4	4
102	о нем	1	4
103	не как	1	4
104	для нас	3	4
105	прежде всего	22	4
106	в своих	2	4
107	места и	1	4
108	нет в	1	4
109	с ними	1	4
110	за свое	1	4
111	мира и	1	4
112	в действительной	2	4
113	том что	3	4
114	в чем	1	4
115	в каком	2	4
116	могло бы	1	4
117	только как	1	4
118	во всей	1	4
119	могла бы	1	4
120	между тем	3	4
121	здесь мы	3	4
122	времени и	2	4
123	тем самым	8	4
124	и т.д	21	4
125	к ним	1	4
126	быть в	1	4
127	всех своих	4	4
128	вне ее	1	4
129	ближе к	1	3
130	бытие в	1	3
131	та же	3	3
132	и на	7	3
133	слово не	4	3
134	здесь нет	1	3
135	и пр	4	3
136	мы не	9	3
137	был бы	2	3
138	тогда когда	1	3
139	действительной жизни	2	3
140	и этот	2	3
141	того что	4	3
142	сознания и	1	3
143	бытие и	1	3
144	на самом	3	3
145	ясно что	2	3
146	в виду	3	3
147	и делает	1	3
148	самом деле	5	3
149	и отношения	1	3
150	тем что	2	3
151	но для	3	3
152	что этот	1	3
153	не менее	1	3
154	по своему	3	3
155	бы не	2	3
156	здесь не	2	3
157	его жизни	1	3
158	войти в	2	3
159	себе и	2	3
160	той или	4	3
161	в каждом	4	3
162	это и	1	3
163	того или	5	3
164	бы и	2	3
165	ясно и	1	3
166	в свою	6	3
167	не должен	2	3
168	и ни	2	3
169	не должно	2	3
170	в другом	1	3
171	для того	9	3
172	в ней	8	3
173	не имеем	3	3
174	и та	1	3
175	других людей	1	3
176	к чему	2	3
177	от того	3	3
178	человека и	2	3
179	с человеком	1	3
180	нем и	1	3
181	нет и	3	3
182	до конца	2	3
183	котором мы	1	3
184	о том	4	3
185	тем как	1	3
186	в то	9	3
187	лишь при	1	3
188	или иного	5	3
189	независимо от	5	3
190	всех этих	1	3
191	тот же	2	3
192	и тем	7	3
193	ничего не	8	3
194	были бы	4	2
195	как к	1	2
196	события и	2	2
197	и эти	1	2
198	которой я	1	2
199	один из	4	2
200	имеют место	1	2
201	ему в	1	2
202	и конечно	2	2
203	может не	1	2
204	чего не	1	2
205	и того	1	2
206	его с	1	2
207	в определенное	1	2
208	дело с	1	2
209	одна и	1	2
210	еще более	2	2
211	конечно в	1	2
212	тому что	5	2
213	чтобы стать	1	2
214	это уже	1	2
215	тем не	1	2
216	так и	7	2
217	из которых	3	2
218	этот мир	1	2
219	и то	5	2
220	в качестве	4	2
221	этих предметов	1	2
222	и когда	2	2
223	и само	3	2
224	по себе	1	2
225	и смысл	1	2
226	в виде	1	2
227	этим путем	1	2
228	если не	3	2
229	он может	1	2
230	не о	1	2
231	всех его	2	2
232	сознания не	3	2
233	в сознании	5	2
234	пространство и	1	2
