N	4gram	Bakhtin_Pr	Istorich
1	в то время как	2	13
2	так же как и	1	9
3	по мере того как	1	8
4	но тем не менее	1	6
5	с другой стороны и	3	5
6	но в отличие от	1	3
7	мы увидим дальше что	1	3
8	до сих пор не	1	3
9	с одной стороны и	1	3
10	бы то ни было	2	3
11	с другой стороны эта	1	2
12	в том что он	4	2
13	но все же не	2	2
14	уже после того как	1	2
15	все новые и новые	1	2
16	но для наших целей	1	2
17	само по себе но	1	2
18	дело в том что	1	2
19	и не может быть	1	2
20	иметь в виду что	1	2
21	в том числе и	1	2
22	но в таком случае	1	2
23	само по себе не	1	1
24	и т д как	1	1
25	что они не могут	1	1
26	за ним как за	1	1
27	что мы видим и	1	1
28	и т д наконец	1	1
29	во всяком случае не	1	1
30	друг на друга и	2	1
31	и в этих случаях	1	1
32	независимо от того кто	1	1
33	ничем не отличается от	1	1
34	заключается в том что	1	1
35	он почти никогда не	1	1
36	миру подобно тому как	1	1
37	отношении друг к другу	1	1
38	тем не менее и	1	1
39	и каждый из них	1	1
40	с точки зрения нашего	1	1
41	как один из возможных	1	1
42	а в том что	1	1
43	нами до сих пор	1	1
44	дело конечно не в	1	1
45	говорит он что в	1	1
46	тем не менее в	1	1
47	с другой стороны мы	1	1
48	не может быть разрешен	1	1
49	сюда же относится и	1	1
50	в зависимости от того	1	1
51	но с другой стороны	2	1
52	вовсе не входит в	1	1
53	и так или иначе	1	1
54	в большей или меньшей	2	1
55	поэтому она и не	1	1
56	и в этом смысле	2	1
57	и в большинстве случаев	2	1
58	какой бы то ни	1	1
59	подобно тому как в	1	1
60	в то же время	13	1
61	что же это за	1	1
