N	2gram	Medvedev_S	VrazhdaK
1	не только	3	9
2	в этом	5	8
3	и в	3	8
4	и что	2	8
5	что в	2	7
6	но и	2	7
7	то что	2	7
8	как и	1	6
9	все же	1	6
10	в котором	1	6
11	то же	2	5
12	у него	1	5
13	и не	1	5
14	между тем	1	5
15	не было	1	5
16	же время	1	5
17	в то	1	5
18	это не	1	4
19	с ним	1	4
20	для нас	3	4
21	все это	7	4
22	что он	1	4
23	о том	1	4
24	может быть	2	4
25	как бы	2	4
26	в его	3	3
27	в том	5	3
28	его в	1	3
29	связи с	1	3
30	в связи	1	3
31	и как	1	3
32	далеко не	2	3
33	тем что	1	3
34	в те	1	3
35	в чем	1	3
36	том что	2	3
37	в конце	2	3
38	и о	1	3
39	и его	1	3
40	таким образом	2	2
41	же не	1	2
42	в них	1	2
43	как же	3	2
44	в мире	1	2
45	в своей	1	2
46	на первый	1	2
47	еще не	2	2
48	но как	1	2
49	а с	1	2
50	в этой	1	2
51	а в	1	2
52	не может	1	2
53	место в	1	2
54	столь же	1	2
55	тем более	2	2
56	отнюдь не	1	2
57	в него	1	2
58	никогда не	1	2
59	этого и	1	1
60	так и	1	1
61	один из	1	1
62	они не	1	1
63	дает нам	1	1
64	что это	1	1
65	единства и	1	1
66	прежде всего	1	1
67	в этих	1	1
68	полемизируя с	1	1
69	и самые	1	1
70	а между	1	1
71	но не	1	1
72	именно в	1	1
73	в процессе	1	1
74	литературе и	1	1
75	но ведь	3	1
76	вряд ли	1	1
77	ли не	1	1
78	том как	1	1
79	полагает что	1	1
80	во всяком	1	1
81	это и	2	1
82	первый план	1	1
83	развиваться в	1	1
84	писателя не	1	1
85	это как	1	1
86	тотчас же	1	1
87	только как	2	1
88	с помощью	1	1
89	в частности	2	1
90	нужно было	2	1
91	вот в	1	1
92	с другой	1	1
93	было бы	2	1
94	а тем	1	1
95	это же	1	1
96	а вот	1	1
97	спросить о	1	1
98	к которому	2	1
99	это дает	1	1
100	и есть	1	1
101	в силу	1	1
102	на этот	1	1
103	по крайней	1	1
104	его слишком	1	1
105	же это	1	1
106	всяком случае	1	1
107	конце концов	2	1
108	бы в	1	1
109	в целом	1	1
110	крайней мере	1	1
111	не должна	1	1
112	и наконец	1	1
113	ничего не	1	1
