N	3gram	Vinokur_Vv	Vvedenie
1	в данном случае	4	15
2	по отношению к	4	11
3	в отличие от	4	11
4	в том что	15	10
5	с одной стороны	4	9
6	в соответствии с	2	8
7	в этом отношении	4	7
8	не может быть	10	6
9	о том что	13	6
10	в свою очередь	2	5
11	в то же	6	5
12	мы имеем дело	1	5
13	той или иной	3	4
14	заключает в себе	1	4
15	на самом деле	1	4
16	то же время	6	4
17	имеем дело с	1	4
18	одной стороны и	3	3
19	но и в	1	3
20	тем не менее	9	3
21	как будто бы	2	3
22	не в том	2	3
23	может быть не	1	3
24	как мы видели	3	3
25	подобно тому как	2	3
26	не только в	4	3
27	а в том	1	3
28	во всяком случае	5	3
29	мере в какой	6	2
30	в этих случаях	2	2
31	бы и не	1	2
32	в той мере	6	2
33	в том как	1	2
34	в том чтобы	5	2
35	обратим внимание на	2	2
36	что же касается	2	2
37	в самом деле	6	2
38	более или менее	1	2
39	можно было бы	4	2
40	той мере в	6	2
41	состоит в том	2	2
42	в частности в	1	2
43	то же самое	3	2
44	с другой стороны	5	2
45	в значительной степени	1	2
46	а также и	2	2
47	в ряде случаев	1	1
48	собой не что	1	1
49	в той или	1	1
50	не со стороны	1	1
51	в этой системе	1	1
52	прошлом и настоящем	1	1
53	внимание на то	1	1
54	в науке о	1	1
55	в слове но	1	1
56	уже не сам	1	1
57	как своего рода	1	1
58	можно представить себе	2	1
59	в одном и	1	1
60	того или иного	1	1
61	все то что	1	1
62	большей или меньшей	3	1
63	слова а не	1	1
64	или иной степени	1	1
65	в каждой из	1	1
66	дело не только	1	1
67	значение только в	1	1
68	дело не с	2	1
69	называет себя в	1	1
70	по крайней мере	4	1
71	в том смысле	1	1
72	в этом смысле	10	1
73	по сравнению с	4	1
74	не с языком	1	1
75	как об этом	2	1
76	из которых в	1	1
77	в том например	1	1
78	о методе и	1	1
79	во всех его	1	1
80	то или иное	1	1
81	не до конца	2	1
82	здесь как и	1	1
83	значении этого термина	2	1
84	первый из этих	2	1
85	и со стороны	2	1
86	в далеком прошлом	1	1
87	том или ином	2	1
88	в том же	1	1
89	таким образом для	1	1
90	для того чтобы	22	1
91	в том числе	1	1
92	все что может	1	1
93	он мог бы	1	1
94	можно сказать что	3	1
95	который тем не	1	1
96	и той же	2	1
97	на котором он	2	1
98	если бы оно	1	1
99	потому что она	1	1
100	в настоящее время	1	1
101	в новейшее время	1	1
102	только потому что	1	1
103	имеет дело не	1	1
104	не что иное	5	1
105	в отказе от	1	1
106	к данному типу	1	1
107	и то же	2	1
108	бы оно было	1	1
109	в таком случае	1	1
110	не только с	1	1
111	в известной мере	2	1
112	может быть вполне	1	1
113	одного и того	2	1
114	то что могло	2	1
115	может быть только	1	1
116	отличие от первых	1	1
117	для этого необходимы	1	1
118	не было бы	1	1
119	то что можно	1	1
120	в первом случае	2	1
121	дело в том	3	1
122	прежде всего к	1	1
123	одно и то	2	1
124	но в то	3	1
125	как раз в	1	1
126	сомневаться в том	1	1
127	в зависимости от	3	1
128	не менее не	1	1
129	так же как	1	1
130	и прежде всего	1	1
131	как одна из	1	1
132	в том или	2	1
133	но если бы	1	1
134	в этом случае	6	1
135	не следует забывать	1	1
136	в нем не	1	1
137	может быть названа	1	1
138	нельзя признать вполне	1	1
139	науке о литературе	1	1
140	как если бы	1	1
141	и того же	2	1
142	принципе не может	1	1
143	с самого начала	1	1
144	но в этом	1	1
145	этих случаях в	1	1
146	как уже говорилось	1	1
147	в связи с	2	1
148	она может быть	1	1
149	значительной степени это	1	1
150	в общих чертах	1	1
151	к тому что	1	1
152	и в самом	3	1
153	что иное как	5	1
154	как он сам	1	1
155	одной и той	2	1
156	на этом пути	1	1
157	к этому времени	2	1
158	в известном смысле	3	1
159	из того что	1	1
160	каждой из таких	1	1
161	а не только	1	1
162	человеческого общения и	1	1
163	том смысле что	1	1
164	имея в виду	1	1
165	в обоих случаях	1	1
166	само по себе	4	1
167	прежде всего в	1	1
168	далеком прошлом и	1	1
169	в принципе не	1	1
170	и в этом	4	1
171	же самое и	1	1
