N	3gram	Ircho_Kome	Myshleni
1	в том что	15	133
2	с точки зрения	6	89
3	для того чтобы	8	78
4	по сравнению с	3	45
5	по отношению к	4	42
6	так же как	1	39
7	с одной стороны	4	39
8	с самого начала	5	36
9	друг с другом	3	35
10	то же самое	3	31
11	в этом отношении	2	30
12	можно было бы	1	28
13	в этом случае	2	27
14	в собственном смысле	1	26
15	вместе с тем	5	26
16	с другой стороны	2	26
17	на то что	1	25
18	о том что	7	25
19	не может быть	1	23
20	в то время	3	22
21	к тому что	1	22
22	в высшей степени	2	22
23	в зависимости от	1	22
24	можно сказать что	1	21
25	то время как	3	20
26	в самом деле	13	19
27	и тем самым	1	19
28	так же точно	1	19
29	в отличие от	3	18
30	состоит в том	2	18
31	во всяком случае	3	18
32	до сих пор	12	17
33	и того же	1	17
34	этой точки зрения	1	17
35	как мы видели	1	17
36	в связи с	3	17
37	одного и того	1	17
38	с этой точки	1	16
39	друг от друга	1	14
40	на этот вопрос	1	14
41	в первую очередь	2	14
42	потому что он	1	14
43	в свою очередь	10	14
44	подобно тому как	1	14
45	точно так же	1	13
46	таким образом что	1	12
47	в том чтобы	1	12
48	один и тот	3	12
49	и тот же	3	12
50	тем не менее	3	12
51	на первый план	1	12
52	мы не можем	1	11
53	том что в	1	11
54	то обстоятельство что	3	11
55	одной стороны и	2	10
56	не иначе как	2	10
57	том числе и	2	10
58	в самом начале	1	10
59	но вместе с	1	10
60	в том числе	2	10
61	друг на друга	1	10
62	вместо того чтобы	1	10
63	на каждом шагу	1	10
64	не в состоянии	1	10
65	сама по себе	1	9
66	собственном смысле слова	1	9
67	более или менее	2	9
68	в конечном счете	2	9
69	том что он	1	9
70	то что он	1	8
71	только в том	1	8
72	в силу этого	1	8
73	речь идет о	3	8
74	по самой своей	1	8
75	к одному и	1	8
76	независимо от того	1	8
77	что он не	3	8
78	в том же	2	8
79	в этой области	1	8
80	и в отношении	1	8
81	что и в	2	8
82	о том как	5	7
83	по этому поводу	1	7
84	и тому же	1	7
85	как раз в	1	7
86	же самое что	1	7
87	вопрос о том	1	7
88	в том виде	1	7
89	в первом случае	1	7
90	одному и тому	1	7
91	ничего общего с	1	6
92	в обоих случаях	1	6
93	и в частности	1	6
94	потому что в	2	6
95	именно потому что	2	6
96	самой своей природе	1	6
97	в лучшем случае	1	6
98	и не может	1	6
99	мере в какой	1	5
100	той мере в	1	5
101	но все же	3	5
102	на этом вопросе	1	5
103	тому что он	1	5
104	в той мере	1	5
105	в той же	1	5
106	в конце концов	3	5
107	так как он	2	5
108	и в этом	1	5
109	в какой мере	2	5
110	в свое время	1	5
111	в то же	11	5
112	не только в	1	5
113	едва ли не	4	5
114	с полным основанием	2	4
115	что мы не	1	4
116	таким же образом	1	4
117	так и в	1	4
118	сравнению с тем	1	4
119	на этот раз	2	4
120	к вопросу о	1	4
121	таким образом и	2	4
122	в тех случаях	1	4
123	того чтобы показать	1	4
124	но и в	1	4
125	и тем более	2	4
126	таким образом в	1	4
127	что вместе с	1	4
128	самого начала что	1	4
129	если бы он	3	4
130	его отношение к	1	4
131	несмотря на то	1	4
132	не знает что	1	4
133	том виде как	1	4
134	ни один из	1	4
135	мы увидим что	1	4
136	тем же словом	1	4
137	тех случаях когда	1	4
138	и в своей	1	4
139	этом случае в	1	4
