N	2gram	Propp_Isto	Sotsiolo
1	все это	6	7
2	в том	12	5
3	в этом	13	5
4	не только	28	3
5	не в	11	3
6	и в	40	3
7	и только	4	3
8	но ведь	1	3
9	в его	10	3
10	для нас	17	3
11	что в	19	2
12	то что	17	2
13	таким образом	13	2
14	том что	11	2
15	или даже	3	2
16	дело не	8	2
17	как бы	6	2
18	в результате	2	2
19	было бы	11	2
20	как будто	7	2
21	в частности	3	2
22	и мы	2	2
23	нужно было	2	2
24	но и	21	2
25	может быть	37	2
26	по существу	7	2
27	она может	1	2
28	главным образом	2	2
29	и что	14	2
30	это и	1	2
31	нашей науки	1	2
32	по отношению	6	2
33	в конце	1	2
34	как только	1	2
35	отношению к	6	2
36	должна быть	5	2
37	далеко не	1	2
38	только в	16	2
39	к которому	5	2
40	только как	1	2
41	то же	21	2
42	метод и	1	2
43	еще не	14	2
44	как то	1	1
45	а в	15	1
46	что он	32	1
47	образом в	2	1
48	в конечном	2	1
49	столь же	2	1
50	даже в	5	1
51	быть не	2	1
52	в таких	4	1
53	в целом	3	1
54	в силу	7	1
55	на этот	2	1
56	это значит	1	1
57	что эти	5	1
58	все эти	6	1
59	не было	3	1
60	когда мы	4	1
61	остается в	1	1
62	у которых	1	1
63	связи с	10	1
64	точке зрения	1	1
65	только то	1	1
66	не мешает	1	1
67	в своей	2	1
68	где же	1	1
69	в открытое	1	1
70	во всяком	1	1
71	и ценное	1	1
72	и потому	3	1
73	дает нам	3	1
74	все же	17	1
75	его слишком	1	1
76	что это	12	1
77	или не	1	1
78	еще и	2	1
79	от друга	1	1
80	на ней	1	1
81	с другой	8	1
82	мы должны	17	1
83	а тем	1	1
84	это как	1	1
85	далеко еще	1	1
86	с ним	3	1
87	противном случае	1	1
88	право на	5	1
89	между тем	2	1
90	исследование и	1	1
91	собой не	1	1
92	и более	3	1
93	но как	2	1
94	в этой	9	1
95	что таким	1	1
96	время в	2	1
97	и его	5	1
98	ли не	1	1
99	именно такого	1	1
100	никак не	1	1
101	только для	3	1
102	в области	2	1
103	и по	4	1
104	себе из	1	1
105	же самое	3	1
106	этом не	1	1
107	один из	10	1
108	так и	13	1
109	в противном	1	1
110	только тогда	1	1
111	в то	4	1
112	полагает что	1	1
113	может не	1	1
114	ни одно	1	1
115	в котором	5	1
116	те же	1	1
117	именно на	2	1
118	не выходит	2	1
119	между собой	4	1
120	него и	1	1
121	должно было	4	1
122	отнюдь не	2	1
123	и не	19	1
124	со своими	1	1
125	тогда и	3	1
126	но она	2	1
127	стоит только	1	1
128	том как	3	1
129	говорит за	1	1
130	или нет	1	1
131	по необходимости	1	1
132	и о	1	1
133	и история	1	1
134	вступает в	2	1
135	но не	7	1
136	они не	8	1
137	в него	2	1
138	и им	1	1
139	его утверждение	1	1
140	для этого	3	1
141	прежде всего	15	1
142	тем что	7	1
143	что она	10	1
144	тем же	1	1
145	связь между	4	1
146	существу своему	1	1
147	друг от	1	1
148	нам право	1	1
149	что данный	2	1
150	не из	1	1
151	на основании	1	1
152	и связь	1	1
153	а с	4	1
154	мы еще	4	1
155	может она	1	1
156	происходит не	2	1
157	ними в	1	1
158	еще недостаточно	1	1
159	это происходит	3	1
160	же не	3	1
161	и будет	1	1
162	не дает	2	1
163	в сущности	2	1
164	в область	4	1
165	он говорит	1	1
166	его в	15	1
167	пришлось бы	1	1
168	в наше	1	1
169	зависит от	3	1
170	в процессе	1	1
171	между собою	1	1
172	автор не	1	1
173	всего должна	1	1
174	этого и	1	1
175	вовсе не	3	1
176	даже не	2	1
177	основной вопрос	2	1
178	с одной	8	1
179	и наконец	5	1
180	для изучения	6	1
181	конечно не	2	1
182	о том	12	1
183	мы не	12	1
184	и понимает	1	1
185	тому что	1	1
186	и затем	1	1
187	в этих	17	1
188	как живой	3	1
189	у него	5	1
190	по себе	4	1
191	на первый	2	1
192	перед нами	5	1
193	из тех	1	1
194	бы он	1	1
195	в любой	1	1
196	хотя бы	5	1
197	что на	1	1
198	это не	8	1
199	одной стороны	7	1
200	в связи	7	1
201	бы в	2	1
202	и должно	3	1
203	в виде	2	1
204	именно в	5	1
205	вопросом о	2	1
206	никогда не	25	1
207	и есть	5	1
208	не может	19	1
209	между ними	2	1
210	и как	3	1
211	для наших	2	1
212	как и	5	1
213	изучения и	1	1
214	ничего не	6	1
215	в них	2	1
