N	2gram	Bakhtin_KF	StatiiOP
1	и в	28	103
2	в том	6	89
3	том что	4	77
4	в этом	15	76
5	что в	4	74
6	не только	5	60
7	о том	3	47
8	но и	9	46
9	то что	7	44
10	что он	2	42
11	в его	42	42
12	и не	28	41
13	может быть	45	38
14	было бы	8	32
15	в этой	2	31
16	вовсе не	7	31
17	тем что	3	29
18	все это	10	29
19	а в	5	27
20	а не	17	27
21	но в	5	26
22	что это	4	25
23	так и	2	25
24	в трагедии	1	24
25	и его	18	24
26	все же	5	23
27	точки зрения	13	23
28	не в	13	23
29	потому что	2	23
30	для того	3	22
31	в которой	1	22
32	как в	2	22
33	того что	3	22
34	прежде всего	4	22
35	в области	2	22
36	и пр	3	21
37	того чтобы	2	21
38	до сих	1	20
39	это не	10	20
40	в своей	11	19
41	сих пор	1	19
42	в то	3	19
43	только в	18	19
44	в котором	24	18
45	он не	6	18
46	об этом	1	18
47	не может	29	18
48	в самом	1	17
49	между прочим	1	17
50	самом деле	3	17
51	как бы	9	17
52	в данном	2	17
53	в этих	1	16
54	с этим	1	16
55	если бы	8	16
56	в ней	3	16
57	с тем	2	15
58	как и	5	15
59	по поводу	1	15
60	я не	6	15
61	и на	3	15
62	в отношении	1	15
63	как раз	1	15
64	для него	13	15
65	также и	1	15
66	то же	5	14
67	но все	6	14
68	к тому	1	14
69	с точки	10	14
70	между тем	4	14
71	была бы	1	14
72	именно в	5	13
73	во всяком	1	13
74	в своем	17	13
75	в качестве	2	13
76	а с	2	13
77	в нем	32	13
78	вместе с	1	13
79	со стороны	8	13
80	всяком случае	1	13
81	но это	6	13
82	дело в	2	13
83	жизни и	8	13
84	тому что	2	13
85	в своих	4	12
86	не менее	3	12
87	хотя бы	5	12
88	в первой	1	12
89	ни в	12	12
90	так как	1	12
91	в другом	3	11
92	никогда не	5	11
93	не было	8	11
94	ясно что	3	11
95	и с	1	11
96	и по	1	11
97	из его	3	11
98	вопрос о	2	11
99	все эти	11	11
100	это было	2	11
101	на то	1	11
102	в виду	3	10
103	связь с	1	10
104	в целом	10	10
105	что и	7	10
106	это слово	1	10
107	но он	1	10
108	во всех	11	10
109	а как	2	10
110	в каком	4	10
111	в истории	1	10
112	же время	2	10
113	ничего не	3	10
114	на самом	3	10
115	но не	12	10
116	во второй	1	10
117	и к	1	9
118	можно сказать	1	9
119	в одном	5	9
120	несмотря на	1	9
121	его жизни	3	9
122	и это	12	9
123	в чем	4	9
124	в каждом	3	9
125	и тем	3	9
126	что эта	2	9
127	не является	1	9
128	времени и	4	9
129	и для	10	9
