N	4gram	Bakhtin_Fr	Narrotol
1	в то же время	14	8
2	дело в том что	4	3
3	и не может быть	1	2
4	что одно и то	1	2
5	и в то же	3	2
6	одного и того же	1	2
7	одно и то же	1	2
8	в той или иной	1	2
9	то что не имеет	1	1
10	не что иное как	1	1
11	до сих пор еще	2	1
12	с одной стороны и	1	1
13	в неразрывном единстве с	1	1
14	и то же слово	1	1
15	между жизнью и смертью	1	1
16	одна и та же	1	1
17	дело здесь не в	2	1
18	ни в чем не	1	1
19	играют существенную роль в	1	1
20	один и тот же	1	1
21	по отношению к которому	1	1
22	в том числе и	3	1
23	и целый ряд других	1	1
24	мы еще вернемся к	1	1
25	о том как велика	1	1
26	в связи с этим	3	1
27	же как и в	1	1
28	и с точки зрения	2	1
29	в нем не только	1	1
30	и видит в нем	1	1
31	и в мировой литературе	1	1
32	есть не что иное	1	1
