N	3gram	Tiupa_Hudo	VelikijI
1	за то что	1	3
2	в первый раз	1	3
3	к тому что	8	3
4	то что мы	1	3
5	и т д	5	2
6	в том что	15	2
7	а между тем	3	2
8	это еще не	1	2
9	которым можно было	2	2
10	вместо того чтобы	2	2
11	никогда никогда не	1	2
12	том что он	1	2
13	то что я	2	2
14	того что он	1	1
15	так и в	1	1
16	во что бы	1	1
17	что бы то	1	1
18	и в жизни	1	1
19	в этих словах	2	1
20	в конце концов	1	1
21	и никогда никогда	1	1
22	него то что	1	1
23	человека в его	1	1
24	сознания так и	1	1
25	которого они в	1	1
26	потому что оно	1	1
27	что я не	1	1
28	в духе так	1	1
29	как и в	5	1
30	и то и	1	1
31	и что в	1	1
32	что нет у	1	1
33	в человеке и	1	1
34	о которой так	1	1
35	у него то	1	1
36	то и другое	2	1
37	хотя бы и	1	1
38	в жизни и	1	1
39	как бы в	2	1
40	не можешь и	1	1
41	но все же	2	1
42	с другой стороны	1	1
43	на этом пути	1	1
44	в известном смысле	1	1
45	бы то ни	1	1
46	всего что было	1	1
47	и не случайно	2	1
48	и в этом	3	1
49	то ни стало	1	1
