N	2gram	Tiupa_Narr	Problema
1	и в	19	182
2	то есть	19	165
3	и не	20	152
4	вовсе не	1	145
5	то что	11	144
6	не есть	3	113
7	не только	32	104
8	потому что	1	89
9	в этом	17	88
10	может быть	25	82
11	в том	18	81
12	том что	14	81
13	только в	4	73
14	сказать что	4	72
15	но и	23	70
16	у нас	1	68
17	также и	1	68
18	и даже	3	66
19	по себе	5	64
20	не менее	3	58
21	о том	6	57
22	тем не	3	56
23	а не	12	56
24	так и	9	56
25	но в	6	55
26	ни в	3	51
27	для нас	1	50
28	в себе	8	48
29	отнюдь не	5	48
30	и вообще	1	48
31	было бы	4	46
32	прежде всего	4	45
33	что в	3	44
34	в его	9	44
35	не в	14	43
36	все эти	2	43
37	то же	4	42
38	а именно	3	42
39	как раз	2	42
40	таким образом	1	42
41	и то	1	40
42	что он	6	40
43	что мы	2	40
44	не может	10	39
45	такого рода	7	39
46	и тем	4	39
47	в этой	5	39
48	как бы	4	39
49	той или	4	38
50	в данном	5	38
51	хотя бы	4	37
52	в нем	4	37
53	того что	2	37
54	точки зрения	10	36
55	есть нечто	1	36
56	еще не	7	36
57	и все	2	36
58	когда мы	2	35
59	в виду	1	34
60	уже не	5	34
61	и с	4	34
62	как и	7	34
63	же самое	1	33
64	в таком	2	33
65	не является	8	33
66	или иной	5	33
67	как символ	1	33
68	здесь не	4	32
69	в то	3	32
70	но не	6	32
71	едва ли	1	32
72	так же	2	31
73	в своем	2	31
74	связи с	4	31
75	в конце	1	31
76	но это	1	31
77	и для	2	30
78	с другой	8	30
79	в связи	2	29
80	некоторого рода	2	29
81	все же	7	29
82	можно сказать	5	29
83	перед нами	4	29
84	как мы	3	29
85	об этом	1	29
86	данном случае	4	28
87	мы не	1	28
88	а в	11	28
89	и как	5	27
90	хотя и	3	27
91	ничего не	2	27
92	в результате	2	26
93	другой стороны	4	26
94	крайней мере	1	26
95	да и	4	26
96	как будто	3	26
97	по крайней	1	26
98	это не	2	26
99	и его	5	26
100	мы можем	1	25
101	и на	3	25
102	тем самым	6	25
103	с точки	2	25
104	на самом	1	24
105	тем более	2	24
106	не имеет	2	24
107	содержит в	1	23
108	таком случае	2	23
109	по своему	1	23
110	при этом	9	23
111	в качестве	21	23
112	то и	1	23
113	есть не	1	23
114	и к	1	22
115	никогда не	3	22
116	и является	1	22
117	тоже не	1	22
118	нет ничего	1	22
119	есть в	2	22
120	сам по	1	22
121	его в	2	22
122	и от	1	22
123	и есть	2	22
124	что и	1	22
125	в самом	1	21
126	и ее	2	21
127	говорить о	2	21
128	для себя	1	21
129	а также	7	21
130	и только	2	21
131	именно в	6	20
132	но как	2	20
133	можно было	2	20
134	и потому	2	20
135	о чем	2	20
136	тем что	3	20
137	несмотря на	2	20
138	как о	1	20
139	или в	2	20
140	в них	1	19
141	с ним	1	19
142	самом деле	2	19
143	того или	2	19
144	уже в	3	19
145	то в	6	19
146	этом смысле	1	19
147	он не	3	19
148	если не	4	19
149	если бы	1	19
150	как в	7	19
151	жизни и	3	19
152	того же	1	18
153	не было	2	18
154	не будет	3	18
155	мы и	1	18
156	не существует	3	18
157	в ее	3	18
158	в ней	3	18
159	что они	3	17
160	во всех	1	17
161	но уже	1	17
162	и здесь	1	17
163	пока еще	4	17
164	мы уже	1	17
165	совсем не	1	17
166	это и	3	17
167	совершенно не	2	17
168	тех или	1	17
169	точно так	2	16
170	будто бы	3	16
171	как это	6	16
172	он и	1	16
173	же в	4	16
174	но все	4	16
175	к тому	7	16
176	далеко не	5	16
177	и сам	1	15
178	в чем	1	15
179	в той	6	15
180	у него	4	15
181	что не	4	15
182	и более	1	15
