N	2gram	Bakhtin_Fr	EvropaiC
1	таким образом	22	34
2	в том	12	31
3	и в	68	24
4	том что	6	20
5	все эти	16	19
6	то что	11	18
7	не может	5	18
8	может быть	10	17
9	до сих	6	15
10	народа в	1	15
11	все же	6	15
12	сих пор	6	15
13	точки зрения	8	14
14	в этом	28	13
15	все это	6	13
16	самом деле	5	12
17	с этим	2	12
18	между тем	3	12
19	в своем	11	12
20	по отношению	3	11
21	но и	17	11
22	культуры и	7	11
23	отношению к	2	11
24	все что	4	10
25	мы знаем	3	10
26	не только	21	10
27	так и	8	10
28	как и	17	10
29	культуры в	3	10
30	во всех	8	10
31	как бы	7	10
32	что в	14	9
33	при этом	5	9
34	в результате	1	9
35	не в	2	9
36	и все	16	9
37	и не	25	9
38	потому что	3	9
39	и что	2	9
40	на то	1	9
41	того же	4	9
42	в самом	6	8
43	с точки	4	8
44	более или	1	8
45	или менее	1	8
46	мы говорили	2	8
47	для того	5	8
48	если бы	3	8
49	того чтобы	6	8
50	так же	3	8
51	знаем что	1	8
52	из этих	2	8
53	так как	7	7
54	того что	3	7
55	приобщение к	1	7
56	что и	3	7
57	на самом	7	7
58	что он	7	7
59	не менее	2	7
60	о котором	2	7
61	из этого	3	7
62	о том	5	7
63	вместе с	4	7
64	по своей	4	7
65	в этой	15	7
66	для этого	3	7
67	и на	16	6
68	несмотря на	1	6
69	с ним	3	6
70	только в	9	6
71	в мире	6	6
72	отличается от	1	6
73	говорили выше	1	6
74	еще не	3	6
75	все они	5	6
76	и если	2	6
77	так что	1	6
78	и при	2	6
79	как на	3	6
80	в каждый	1	6
81	в общем	2	6
82	с другой	8	6
83	в то	14	6
84	у них	1	6
85	и для	6	6
86	и к	4	5
87	как к	1	5
88	ничем не	1	5
89	должно быть	1	5
90	тех кто	2	5
91	в состоянии	2	5
92	в его	21	5
93	из всех	4	5
94	что это	4	5
95	пор не	1	5
96	другой стороны	5	5
97	у него	14	5
98	его в	7	5
99	в которой	6	5
100	но все	5	5
101	и с	15	5
102	именно в	5	5
103	по своему	3	5
104	на все	1	5
105	случае если	1	5
106	по сравнению	2	5
107	сравнению с	2	5
108	и истории	1	5
109	быть и	2	5
110	и их	5	5
111	оказывается что	1	5
112	далеко не	3	5
113	лишь в	3	5
114	в себе	5	5
115	и от	4	5
116	что все	2	5
117	как будто	2	5
118	к этому	6	5
119	в целом	3	5
120	из них	8	5
121	но в	20	5
122	не так	3	4
123	и то	2	4
124	ее и	1	4
125	от современной	1	4
126	этом случае	1	4
127	хотя и	2	4
128	мало того	1	4
129	совершенно не	1	4
130	из которых	1	4
131	это есть	2	4
132	в их	6	4
133	в виде	2	4
134	связи с	8	4
135	одним из	2	4
136	в конце	8	4
137	в таком	2	4
138	с тем	1	4
139	в в	1	4
140	не могут	1	4
141	между собой	1	4
142	и у	2	4
143	том случае	1	4
144	что мы	1	4
145	культуре и	1	4
146	мы уже	19	4
147	в течение	3	4
148	хотя бы	2	4
149	то ни	1	4
150	в дальнейшем	4	4
151	что эта	2	4
152	отношение к	11	4
153	что для	2	4
154	и культуры	1	4
