N	4gram	Tiupa_Vved	Tvorches
1	в то же время	4	24
2	и в то же	1	6
3	но в то же	1	6
4	дело в том что	1	4
5	и не может быть	1	3
6	в том числе и	1	2
7	в том же году	1	2
8	не что иное как	1	1
9	за три года до	1	1
10	в том смысле что	1	1
11	одна и та же	1	1
12	но при этом сам	1	1
13	одного и того же	1	1
14	это означало бы что	1	1
15	как и у чехова	1	1
16	собой не что иное	1	1
17	отнюдь не сводится к	1	1
18	в войне и мире	2	1
19	дело не только в	1	1
20	отнюдь не означает что	1	1
21	подняв взор на брата	1	1
22	представляет собой не что	1	1
23	то же время они	1	1
24	так же как и	1	1
