N	3gram	Propp_Isto	Otkroven
1	с тем что	1	2
2	не может быть	4	2
3	что же это	1	2
4	же это за	1	2
5	но и в	2	2
6	он должен был	1	1
7	хотя и не	1	1
8	о том что	3	1
9	в том что	8	1
10	друг с другом	2	1
11	как и отец	1	1
12	и то что	4	1
13	одна из сторон	1	1
14	этого она не	1	1
15	и все что	1	1
16	еще одну особенность	1	1
17	в виду не	1	1
18	и действительно в	1	1
19	как и в	2	1
20	смысле этого слова	3	1
21	потому что у	1	1
22	во всяком случае	2	1
23	но и там	1	1
24	прежде всего он	1	1
25	бросается в глаза	1	1
26	все еще не	1	1
27	в другом месте	1	1
28	и в его	1	1
29	и на нем	1	1
30	а в его	1	1
31	а в совершенно	1	1
32	и прежде всего	1	1
33	и к нему	1	1
34	по сравнению с	2	1
35	на то что	4	1
36	но никогда не	1	1
37	в русской и	1	1
38	от разрушения и	1	1
39	том что в	2	1
40	и в том	1	1
41	говорят о том	1	1
42	после того как	3	1
43	что не все	1	1
44	и не может	1	1
45	в борьбе со	1	1
46	ни с каким	1	1
