N	2gram	Bakhtin_sl	Vladivir
1	и в	69	116
2	то что	2	71
3	и не	32	67
4	у него	5	65
5	не только	37	65
6	в этом	21	53
7	в том	7	52
8	том что	6	51
9	что в	3	48
10	но и	37	47
11	в конце	1	41
12	в его	19	40
13	и с	10	39
14	то есть	46	37
15	и даже	11	36
16	сказать что	4	36
17	также и	5	36
18	так что	2	35
19	потому что	2	33
20	что он	2	32
21	не может	27	31
22	о том	5	30
23	только в	9	30
24	как мы	15	29
25	никогда не	9	29
26	для него	8	29
27	вовсе не	16	27
28	а в	10	27
29	не было	4	26
30	в себе	3	25
31	но в	13	25
32	в то	17	25
33	и то	2	25
34	и его	45	25
35	а также	5	24
36	даже и	4	24
37	точки зрения	24	23
38	между прочим	1	23
39	он не	5	23
40	может быть	40	23
41	кроме того	6	22
42	он был	1	22
43	ни в	4	22
44	так как	7	22
45	в виде	4	22
46	об этом	1	22
47	в своей	8	21
48	вместе с	3	21
49	а именно	2	20
50	и что	2	20
51	в своем	9	20
52	для нас	7	20
53	прежде всего	14	20
54	не менее	4	19
55	и вообще	2	19
56	как раз	3	19
57	тем не	2	19
58	таким образом	16	19
59	в течение	1	19
60	так и	22	19
61	и потому	9	19
62	как и	8	18
63	не в	14	18
64	не был	2	18
65	хотя и	4	18
66	как это	3	18
67	с его	8	18
68	что и	2	17
69	в этой	1	17
70	и если	1	17
71	а не	29	17
72	у нас	2	17
73	все же	10	16
74	уже не	5	16
75	к тому	3	16
76	не есть	2	16
77	совсем не	1	16
78	и все	9	16
79	было бы	3	16
80	того что	4	16
81	в котором	2	16
82	и к	9	15
83	то же	17	15
84	к этому	3	15
85	в эти	1	15
86	несмотря на	2	15
87	в связи	2	15
88	до конца	25	15
89	но это	3	15
90	это было	2	15
91	того же	7	14
92	все эти	15	14
93	его жизни	1	14
94	мы уже	4	14
95	и на	17	14
96	уже в	2	14
97	и как	3	14
98	во всем	3	13
99	в результате	4	13
100	можно сказать	2	13
101	так же	2	13
102	не просто	2	13
103	на этот	1	13
104	и от	5	13
105	то время	2	13
106	да и	2	13
107	дело в	2	13
108	жизни и	5	13
109	по себе	4	12
110	только на	3	12
111	и это	1	12
112	и у	2	12
113	и по	3	12
114	в нем	44	12
115	то в	2	12
116	всяком случае	7	12
117	ничего не	5	12
118	во всяком	9	12
119	есть только	1	12
120	связи с	4	12
121	при этом	12	11
122	но что	1	11
123	более или	5	11
124	в данном	5	11
125	хотя бы	6	11
126	в которой	4	11
127	на то	2	11
128	и здесь	5	11
129	в основном	7	11
130	в отношении	9	11
131	еще в	1	11
132	все это	14	11
133	то он	1	11
134	или менее	5	11
135	и о	3	11
136	в самом	6	10
137	даже в	4	10
138	вот что	1	10
139	что все	2	10
140	такого рода	2	10
141	с точки	11	10
142	в качестве	4	10
143	что его	1	10
144	можно было	2	10
145	что для	1	10
146	отнюдь не	1	10
147	к нему	7	10
148	с ним	12	10
149	еще не	9	10
150	в истории	6	10
151	здесь не	6	10
152	он и	1	10
153	о нем	6	10
154	в ней	7	10
155	но не	7	10
156	о чем	1	9
157	и сам	4	9
158	именно в	5	9
159	с этим	5	9
160	смысле слова	2	9
161	с другой	8	9
162	и притом	1	9
163	но он	4	9
164	а только	1	9
165	но как	2	9
166	а с	2	9
167	из этого	3	9
168	в начале	1	9
169	отношения к	3	9
170	что мы	1	9
171	это не	8	9
172	же время	15	9
173	ни с	1	9
174	по существу	3	9
175	в целом	3	9
176	с этой	3	8
177	не столько	4	8
178	в этих	8	8
179	тем что	1	8
180	в это	1	8
181	в этот	1	8
182	конечно не	7	8
183	себя в	14	8
184	и он	1	8
185	в смысле	7	8
186	в чем	2	8
187	и особенно	2	8
188	как в	18	8
189	со стороны	1	8
190	свое время	1	8
191	должно быть	3	8
192	как бы	16	8
193	и для	7	8
194	тот же	1	8
195	xix века	2	8
196	только и	3	8
197	из этих	3	8
198	отношение к	8	8
199	мы и	2	7
200	в одном	4	7
201	в них	11	7
202	но все	2	7
203	к ней	2	7
204	на первый	1	7
205	но даже	1	7
206	в нашем	1	7
207	мы читаем	1	7
208	за пределы	6	7
209	даже не	1	7
210	был в	1	7
211	и есть	2	7
212	мы видели	3	7
213	никак нельзя	1	7
214	если бы	1	7
215	к его	1	7
216	в каком	1	7
217	бы и	6	7
218	того чтобы	1	7
219	из его	1	7
220	но если	1	7
221	в свое	3	7
222	к концу	1	7
223	нисколько не	3	7
224	на его	9	7
225	первый план	1	7
226	в таком	5	7
227	то и	1	7
228	и ни	1	7
229	как он	2	7
230	или как	4	7
231	же в	2	7
232	можно говорить	2	6
233	же и	4	6
234	тому что	2	6
235	мысли и	1	6
236	те же	3	6
237	в виду	2	6
238	другой стороны	5	6
239	его на	2	6
240	но у	1	6
241	здесь у	1	6
242	для того	2	6
243	в отличие	12	6
244	на него	1	6
245	он сам	1	6
246	если мы	2	6
247	той же	3	6
248	указать на	1	6
249	его в	7	6
250	чем в	3	6
251	том же	4	6
252	что она	1	6
253	время как	2	6
254	и речи	4	6
255	но только	1	6
256	по своей	2	6
257	не с	5	6
