N	3gram	Berdyaev_N	TeoriaLi
1	в том что	1	10
2	в отличие от	1	7
3	с другой стороны	2	6
4	не может быть	4	5
5	одного и того	1	4
6	и того же	1	4
7	в этом смысле	2	3
8	в том числе	1	3
9	подобно тому как	3	3
10	по своей природе	1	3
11	с одной стороны	2	3
12	в этой системе	1	2
13	как и в	1	2
14	том числе и	1	2
15	не могут быть	1	2
16	в известном смысле	1	2
17	в значительной степени	1	2
18	и в жизни	1	1
19	в том и	2	1
20	том случае если	1	1
21	и потому что	1	1
22	а не с	1	1
23	в большинстве случаев	1	1
24	весь мир все	1	1
25	о том что	1	1
26	добро и зло	1	1
27	мы говорим о	1	1
28	заключает в себе	1	1
29	содержанию а не	1	1
30	не менее чем	1	1
31	это и есть	1	1
32	к одному из	1	1
33	со всех сторон	3	1
34	в том случае	1	1
35	в то время	1	1
36	в зависимости от	1	1
37	так же как	2	1
38	не было и	1	1
39	в новое время	1	1
40	та или иная	1	1
41	к вопросу о	1	1
42	нового времени в	1	1
43	имея в виду	1	1
44	я думаю что	1	1
