N	3gram	Nazirov_Vr	formyVre
1	то же время	4	21
2	в то же	4	18
3	в связи с	3	15
4	с точки зрения	2	15
5	и в то	1	10
6	до сих пор	1	10
7	не может быть	2	7
8	в этом отношении	1	7
9	в том же	1	6
10	и в этом	1	6
11	в том что	2	5
12	в то время	1	5
13	на первый план	1	5
14	одно и то	1	5
15	и то же	1	5
16	с другой стороны	1	4
17	равно как и	1	4
18	связи с этим	1	4
19	как раз в	2	4
20	во всяком случае	1	4
21	может быть и	1	4
22	в литературе и	1	3
23	о том как	1	3
24	все же в	1	3
25	но при этом	1	3
26	к вопросу о	1	3
27	а следовательно и	1	3
28	но в то	2	3
29	о том что	1	3
30	так же как	1	3
31	быть и речи	1	2
32	в соответствии с	1	2
33	но в этом	1	2
34	в свою очередь	1	2
35	не было бы	1	2
36	и в самом	1	2
37	тем более что	1	2
38	в мировой литературе	1	2
39	и во всей	1	2
40	в этот момент	2	1
41	их и не	1	1
42	можно говорить об	1	1
43	на свое место	1	1
44	в той же	1	1
45	в этом смысле	1	1
46	и никому не	1	1
47	и это было	1	1
48	его отношение к	1	1
49	в котором он	1	1
50	тем не менее	1	1
51	каждый из них	1	1
52	и во всем	1	1
53	и все же	5	1
54	и никогда не	1	1
55	и во многом	1	1
56	но и как	1	1
57	при этом он	1	1
58	в высшей степени	1	1
59	преступление и наказание	1	1
60	имел в виду	3	1
61	с тех пор	1	1
62	и не может	1	1
63	в котором происходит	1	1
64	в них много	1	1
65	отношение автора к	1	1
66	которые до сих	1	1
67	в это же	1	1
68	но и это	1	1
69	в это время	1	1
70	как бы в	1	1
71	в русской литературе	3	1
72	да и в	1	1
73	в момент его	1	1
74	они как бы	1	1
75	он сказал что	1	1
76	истории человечества и	1	1
77	я вижу что	1	1
78	в литературу в	1	1
79	в конце концов	1	1
80	и в котором	1	1
81	которого никто не	1	1
82	тем что как	1	1
83	мы считаем что	1	1
84	на первый взгляд	1	1
85	что в нем	1	1
86	более того в	1	1
