N	4gram	Propp_Morf	Vladivir
1	в то же время	1	9
2	в то время как	3	5
3	не что иное как	2	4
4	то это значит что	1	4
5	только в том случае	1	3
6	во что бы то	1	3
7	что бы то ни	1	3
8	в том что он	1	3
9	бы то ни стало	1	3
10	на то что в	1	2
11	один и тот же	1	2
12	как мы увидим ниже	4	2
13	точно так же и	1	2
14	одно и то же	1	2
15	в связи с этим	4	2
16	бы то ни было	2	2
17	не имеет ничего общего	1	2
18	в том случае если	2	2
19	и тем не менее	2	2
20	до сих пор не	1	2
21	есть не что иное	1	2
22	в том случае когда	1	1
23	с этой точки зрения	1	1
24	состоит в том что	3	1
25	но это нисколько не	1	1
26	с другой стороны оно	1	1
27	здесь не может быть	1	1
28	если бы мы имели	1	1
29	связи с этим в	1	1
30	входить в подробности этой	1	1
31	ни к чему не	2	1
32	в собственном смысле слова	3	1
33	еще не значит что	1	1
34	указанием на то что	1	1
35	с самого начала в	1	1
36	то во всяком случае	1	1
37	и т д в	2	1
38	для того чтобы начать	1	1
39	во всяком случае это	1	1
40	то же время и	1	1
41	говорить о том что	2	1
