N	2gram	Tiupa_Disk	formyVre
1	и в	27	148
2	в этом	29	73
3	то есть	29	70
4	в нем	16	51
5	прежде всего	17	46
6	и не	25	37
7	в его	9	36
8	и его	4	36
9	вовсе не	1	35
10	но и	22	33
11	то же	12	32
12	частной жизни	4	32
13	не только	36	32
14	в литературе	2	32
15	но в	15	31
16	жизни и	2	31
17	так и	14	29
18	времени в	3	27
19	может быть	29	27
20	не в	8	26
21	как мы	2	26
22	как и	27	25
23	как бы	9	25
24	человеческой жизни	2	24
25	точки зрения	6	24
26	только в	9	23
27	в то	8	23
28	времени и	5	23
29	человека в	6	23
30	в том	29	22
31	то что	10	22
32	связи с	4	21
33	во всех	6	21
34	жизни в	4	21
35	же время	9	21
36	все эти	2	21
37	в своем	11	19
38	и др	3	19
39	и на	8	19
40	в основном	1	19
41	таким образом	4	18
42	и все	5	18
43	еще не	20	18
44	при этом	22	17
45	те же	1	17
46	с этим	3	17
47	в особенности	5	17
48	в пределах	4	17
49	все же	8	16
50	в условиях	1	16
51	в связи	1	16
52	того же	5	16
53	в основе	11	16
54	и во	2	16
55	и их	1	16
56	не может	17	16
57	в разных	1	15
58	в одном	5	15
59	в них	6	15
60	никогда не	3	15
61	с точки	3	15
62	так сказать	3	15
63	с его	9	15
64	вместе с	3	15
65	лишь в	4	15
66	и как	9	14
67	и с	2	14
68	в конце	1	14
69	всех этих	1	14
70	а не	35	14
71	как раз	1	14
72	все это	2	14
73	в самом	4	13
74	в котором	7	13
75	во время	1	13
76	как в	16	13
77	роль в	10	13
78	здесь в	4	13
79	в их	5	13
80	в частности	18	13
81	а в	5	13
82	же в	1	13
83	и до	2	12
84	не было	9	12
85	он не	4	12
86	отнюдь не	11	12
87	что в	8	12
88	с природой	1	12
89	это время	1	12
90	потому что	7	12
91	в истории	5	12
92	ничего не	1	12
93	но не	17	12
94	и наконец	2	12
95	из них	6	11
96	хотя и	3	11
97	его в	1	11
98	между ними	1	11
99	романа в	1	11
100	ни в	7	11
101	в образе	1	11
102	уже в	2	11
103	мира и	3	11
104	в ней	2	11
105	и времени	1	11
106	и другие	1	10
107	уже не	7	10
108	и того	6	10
109	входит в	2	10
110	в ее	4	10
111	жизненный путь	1	10
112	сих пор	1	10
113	также и	6	10
114	до сих	1	10
115	здесь не	1	10
116	этом мире	2	10
117	в большинстве	3	10
118	и даже	4	9
119	но все	2	9
120	их в	2	9
121	с другой	14	9
122	наряду с	1	9
123	всего в	2	9
124	на протяжении	2	9
125	должно быть	2	9
126	к себе	2	9
127	и следовательно	1	9
128	и это	3	9
129	в других	1	9
130	могут быть	5	9
131	отношения к	2	9
132	оно не	2	9
133	том что	27	9
134	для него	9	9
135	жизненного пути	2	9
136	есть в	3	9
137	и других	1	9
138	одного и	5	9
139	мира в	6	9
140	и к	4	8
141	в результате	3	8
142	в виду	2	8
143	в этих	4	8
144	и смерть	1	8
145	к тому	6	8
146	но эти	1	8
147	в этот	1	8
148	и т.п	18	8
149	в некоторых	1	8
150	с одной	12	8
151	в произведении	3	8
152	что и	5	8
153	характер и	3	8
154	в мире	9	8
155	героя и	2	8
156	образ человека	2	8
157	и по	2	8
158	один из	3	8
159	в жизни	2	8
160	для себя	6	8
161	со всеми	1	8
162	если бы	1	8
163	большинстве случаев	2	8
164	до конца	2	8
165	жизни но	2	8
166	и то	4	8
167	значение в	1	8
168	том числе	3	8
169	во всяком	3	8
170	это не	5	8
171	и прежде	2	8
172	а также	15	8
173	на фоне	1	8
174	и потому	3	8
175	отношение к	6	8
176	отношению к	13	8
177	или иной	8	8
178	себе самому	1	8
179	здесь они	1	8
180	в целом	5	8
181	в той	2	7
182	для всех	2	7
183	не как	5	7
184	имеет место	4	7
185	между собой	2	7
186	к ним	3	7
187	к этому	4	7
188	из этих	3	7
189	картину мира	5	7
190	в последующие	1	7
191	в себе	22	7
192	не знает	4	7
193	в которой	2	7
194	в себя	7	7
195	в форме	2	7
196	с ее	3	7
197	в процессе	6	7
198	например в	4	7
199	поэтому и	1	7
200	и он	2	7
201	себя и	2	7
202	было бы	1	7
203	не могло	2	7
204	в отличие	13	7
205	том же	1	7
206	у них	1	7
207	того что	4	7
208	мир в	1	7
209	этот процесс	1	7
210	этом отношении	4	7
211	ее в	1	7
212	отличие от	13	7
213	место в	2	7
214	за счет	1	7
