N	3gram	Tiupa_Narr	EvropaiC
1	в том что	11	16
2	до сих пор	3	15
3	по отношению к	5	11
4	друг с другом	1	9
5	с точки зрения	2	8
6	более или менее	2	8
7	на то что	2	7
8	для того чтобы	4	7
9	на самом деле	1	7
10	друг от друга	1	6
11	лишь в том	1	5
12	по сравнению с	1	5
13	в самом деле	3	5
14	так или иначе	1	5
15	к тому же	8	5
16	не может быть	6	4
17	о том что	3	4
18	тем не менее	6	4
19	с другой стороны	1	4
20	в том случае	1	4
21	начало и конец	3	4
22	том случае если	1	4
23	может быть и	1	4
24	одного и того	2	3
25	не подлежит сомнению	1	3
26	так же как	1	3
27	то ни было	1	3
28	в данном случае	12	3
29	и то что	1	3
30	и того же	2	3
31	не может не	1	3
32	в связи с	3	3
33	бы то ни	1	3
34	в свою очередь	2	2
35	в нашем случае	1	2
36	во всяком случае	2	2
37	двух или нескольких	1	2
38	друг на друга	2	2
39	при этом что	1	2
40	заключает в себе	2	2
41	он не может	1	2
42	как и в	1	2
43	в то время	1	2
44	в то же	7	2
45	и все что	1	2
46	как и все	1	2
47	а с другой	2	2
48	но все же	1	2
49	только то что	1	2
50	с одной стороны	5	2
51	то же время	7	2
52	в том виде	1	2
53	и в жизни	2	1
54	тогда как за	1	1
55	можно представить себе	1	1
56	и у нас	1	1
57	в другом только	1	1
58	то есть в	1	1
59	этом и состоит	3	1
60	что и для	1	1
61	мы уже знаем	1	1
62	в этом направлении	1	1
63	мысль о том	1	1
64	и так или	1	1
65	далеко не исчерпывается	1	1
66	в нашем опыте	1	1
67	в противоречие с	1	1
68	именно в такой	1	1
69	по крайней мере	1	1
70	в данный момент	1	1
71	и в другом	1	1
72	этой точки зрения	1	1
73	том или ином	1	1
74	с этой точки	1	1
75	а потому не	1	1
76	точно так же	2	1
77	тогда как сам	1	1
78	таким образом для	1	1
79	к одному из	1	1
80	в том числе	1	1
81	не отличается от	1	1
82	быть и не	1	1
83	не в том	1	1
84	но для того	1	1
85	не имея возможности	1	1
86	в этом и	3	1
87	это действительно так	1	1
88	но и с	1	1
89	том виде в	1	1
90	состоит в том	5	1
91	может быть вполне	1	1
92	что у него	2	1
93	лишь то что	1	1
94	иначе говоря для	1	1
95	приходится искать в	1	1
96	но и сам	1	1
97	хотя и не	2	1
98	одна из этих	1	1
99	но при этом	3	1
100	все та же	1	1
101	я не могу	1	1
102	ни одна из	1	1
103	может быть не	2	1
104	дело в том	2	1
105	иметь в виду	1	1
106	одно и то	2	1
107	что все эти	1	1
108	как мы видели	1	1
109	в зависимости от	3	1
110	в то что	1	1
111	мы не знаем	1	1
112	том числе и	1	1
113	можно было бы	1	1
114	при этом однако	1	1
115	столь же мало	1	1
116	в том или	1	1
117	а в том	2	1
118	в нем не	2	1
119	и то же	2	1
120	не только не	2	1
121	в его душе	1	1
122	с и т.д	1	1
123	точки зрения на	1	1
124	на первый взгляд	1	1
125	а не в	1	1
126	при этом у	1	1
127	то же самое	3	1
128	и все же	4	1
129	перед нами два	1	1
130	к тому что	4	1
131	по его мнению	1	1
132	вместо того чтобы	1	1
133	то что мы	1	1
134	не только с	1	1
135	из того что	1	1
136	никак не может	1	1
137	никогда не было	1	1
138	сих пор еще	1	1
139	то время как	1	1
140	пока еще не	1	1
141	не совпадающей с	1	1
142	и не может	3	1
143	в этом последнем	2	1
144	но с другой	1	1
