N	4gram	Vygotskiy_	Formalny
1	в то же время	1	20
2	бы то ни было	1	7
3	с одной стороны и	1	5
4	вместе с тем и	1	3
5	один и тот же	1	3
6	с этой точки зрения	3	2
7	что они находятся в	1	2
8	одним и тем же	3	2
9	в зависимости от того	3	2
10	из ложного предположения что	1	2
11	исходили из ложного предположения	1	2
12	какой бы то ни	1	2
13	в том или ином	1	2
14	и в том что	1	1
15	именно в том чтобы	1	1
16	том и заключается что	2	1
17	и на этом фоне	1	1
18	которая сама по себе	1	1
19	не что иное как	2	1
20	мы увидим что и	2	1
21	должен был бы быть	1	1
22	не для того чтобы	1	1
23	одно и то же	3	1
24	обстоит дело и в	1	1
25	заложены в самых основах	1	1
26	о котором мы говорили	2	1
27	так же обстоит дело	2	1
28	сами по себе не	1	1
29	в том смысле в	1	1
30	дело в том что	2	1
31	одного за счет другого	1	1
32	ни в чем не	1	1
33	остановимся прежде всего на	1	1
34	же самое и в	1	1
35	одной и той же	4	1
36	нам известна только одна	1	1
37	в том и заключается	3	1
38	же обстоит дело и	2	1
39	мы уже указывали на	1	1
40	в собственном смысле слова	2	1
41	к тому что он	2	1
42	на самом деле он	1	1
43	совершенно непонятно для чего	1	1
44	он указывает что в	1	1
45	он сводится к тому	1	1
46	на самом деле в	1	1
47	мы можем подвести итоги	1	1
48	то же самое и	2	1
49	пишет для того чтобы	1	1
50	одного и того же	2	1
51	усиление одного за счет	1	1
52	но вместе с тем	1	1
53	в каждый данный момент	1	1
54	которые сами по себе	1	1
55	заключается в том чтобы	2	1
56	вступает в свою силу	1	1
57	искусства с точки зрения	1	1
58	и в свою очередь	1	1
