N	4gram	Potebnia_M	Mirosoze
1	в то время как	3	4
2	не что иное как	1	4
3	одна и та же	2	3
4	одной и той же	4	3
5	в том что он	2	3
6	есть не что иное	1	3
7	друг к другу и	1	2
8	все более и более	1	2
9	в том смысле что	2	1
10	и в самом деле	1	1
11	возможна только потому что	1	1
12	в том случае если	1	1
13	за жизнь и счастье	1	1
14	не сам по себе	1	1
15	и во многих других	1	1
16	и в том случае	1	1
17	друг друга потому что	1	1
18	в том смысле в	2	1
19	в то же время	8	1
20	и не может быть	1	1
21	что иное как отрицание	1	1
22	лишь тогда когда он	1	1
23	бы он ни был	1	1
24	в такой степени как	1	1
25	что в то время	3	1
26	в том что это	1	1
27	а может быть и	1	1
28	только о том что	1	1
29	от одного к другому	2	1
30	а между тем в	1	1
31	любви к ближнему и	1	1
32	по отношению к нему	1	1
33	том смысле в каком	2	1
34	думать что человек может	1	1
35	лишь один из моментов	1	1
36	когда мы говорим что	1	1
37	в том что оно	2	1
