N	2gram	Ircho_Kome	Stilisti
1	и в	37	42
2	как бы	7	30
3	не только	13	28
4	прежде всего	7	22
5	хотя бы	5	18
6	то же	14	16
7	но и	18	16
8	и не	28	14
9	может быть	14	13
10	не может	9	13
11	как и	10	12
12	что мы	4	11
13	мы уже	1	11
14	точки зрения	8	11
15	ситуации и	1	10
16	в этом	18	10
17	в себе	4	10
18	и как	3	10
19	мы должны	1	10
20	как мы	6	10
21	отнюдь не	5	10
22	мы не	6	9
23	при этом	11	9
24	все же	9	9
25	язык и	1	9
26	эти слова	1	9
27	то что	5	9
28	для того	9	9
29	в то	14	9
30	таким образом	16	8
31	так как	16	8
32	с тем	6	8
33	и это	4	8
34	в ней	7	8
35	тем самым	1	8
36	что же	2	8
37	с его	6	8
38	ничего не	6	8
39	и на	6	7
40	так и	4	7
41	мы можем	7	7
42	только в	3	7
43	в которой	6	7
44	зависимости от	1	7
45	и его	10	7
46	потому что	19	7
47	того чтобы	9	7
48	и тем	4	7
49	же время	12	7
50	было бы	7	7
51	той же	2	7
52	и от	3	7
53	в зависимости	1	7
54	а не	5	7
55	никогда не	5	7
56	во всех	4	6
57	в его	12	6
58	не в	7	6
59	в нем	8	6
60	в конце	14	6
61	и так	1	6
62	на его	5	6
63	бы в	5	6
64	в свою	12	6
65	речи и	1	6
66	с помощью	4	6
67	в этой	7	6
68	точку зрения	1	6
69	мы будем	1	6
70	в области	3	6
71	в той	2	5
72	в самом	17	5
73	уже в	3	5
74	и их	1	5
75	с точки	6	5
76	те же	1	5
77	не является	5	5
78	все время	3	5
79	самом деле	13	5
80	но все	5	5
81	и с	5	5
82	но в	7	5
83	тому что	5	5
84	вместе с	16	5
85	тем у	1	5
86	а с	2	5
87	мы увидим	1	5
88	слова и	1	5
89	как это	5	5
90	и является	1	5
91	а в	12	5
92	же самое	3	5
93	в нашем	1	5
94	в сознании	1	5
95	независимо от	4	5
96	и наконец	1	5
97	мы видели	1	5
98	всего в	1	4
99	и к	4	4
100	мы видим	2	4
101	один из	6	4
102	того времени	1	4
103	слов в	2	4
104	на него	6	4
105	все это	7	4
106	в качестве	4	4
107	в одном	3	4
108	с появлением	1	4
109	его в	9	4
110	если бы	18	4
111	и все	6	4
112	с самого	5	4
113	в слове	1	4
114	к своему	4	4
115	у нас	1	4
116	да и	3	4
117	как только	2	4
118	к тому	11	4
119	о том	21	4
120	и без	2	4
121	человека не	2	4
122	самого начала	5	4
123	в каждом	3	4
124	можно сказать	1	4
125	если мы	2	4
