N	3gram	Nazirov_Tv	RusskieA
1	в том что	8	49
2	в этот день	1	23
3	и т д	10	21
4	тем не менее	2	14
5	вместе с тем	1	11
6	о том что	6	10
7	том что в	3	9
8	и в других	1	9
9	в данном случае	2	8
10	но это не	2	8
11	в настоящее время	1	7
12	не может быть	2	6
13	так же как	1	6
14	в связи с	2	5
15	к тому что	1	5
16	не что иное	1	4
17	бросается в глаза	1	4
18	в отличие от	2	4
19	что иное как	1	4
20	можно было бы	1	4
21	во всяком случае	2	4
22	это имеет место	1	3
23	по отношению к	3	3
24	еще далеко не	1	3
25	до сих пор	1	3
26	же как и	1	3
27	самом же деле	1	3
28	в своей книге	1	3
29	на самом же	1	3
30	и в том	1	3
31	в свою очередь	2	3
32	на другой день	1	3
33	и потому что	1	3
34	имеет тот же	1	3
35	все же не	1	3
36	как это имеет	1	3
37	в разные стороны	1	3
38	и что в	1	3
39	о характере этого	1	2
40	некоторые из них	1	2
41	это не значит	2	2
42	может быть назван	2	2
43	том что этот	1	2
44	они представляют собой	1	2
45	о том как	1	2
46	и т п	4	2
47	дело не в	1	2
48	не значит что	2	2
49	ничего общего с	1	2
50	далеко не так	1	2
51	с другой стороны	2	2
52	в этой связи	2	2
53	т д и	1	2
54	равно как и	1	2
55	но она не	1	2
56	ту или иную	1	2
57	как и в	2	2
58	но и потому	1	2
59	можно сказать что	2	2
60	к жизни в	1	2
61	на самом деле	2	2
62	это еще не	1	2
63	не только в	2	2
64	и в этом	1	2
65	в виду что	1	2
66	с одной стороны	1	2
67	объяснение только в	1	1
68	а может быть	2	1
69	в том же	3	1
70	и как бы	1	1
71	но тот же	1	1
72	дело не только	1	1
73	и наконец в	1	1
74	это та же	1	1
75	в xix веке	3	1
76	к жизни то	1	1
77	в первый раз	1	1
78	в году когда	1	1
79	так например в	1	1
80	только потому что	1	1
81	перед тем как	1	1
82	так что они	1	1
83	в таком случае	2	1
84	одного и того	1	1
85	бы говорить о	1	1
86	мы знаем что	1	1
87	вряд ли можно	1	1
88	и имеет тот	1	1
89	это означало что	1	1
90	один из самых	1	1
91	точно так же	3	1
92	мы знаем из	1	1
93	не нужны и	1	1
94	так как никто	1	1
95	к тому же	1	1
96	на этот вопрос	2	1
97	и того же	1	1
98	при этом он	2	1
99	не может не	1	1
100	то же самое	1	1
101	в другом месте	1	1
102	или во всяком	1	1
103	в применении к	1	1
104	о том чтобы	1	1
105	пришел к выводу	1	1
106	собой не что	1	1
107	в одном из	2	1
108	те и другие	1	1
109	не только для	1	1
110	еще не все	1	1
111	является так сказать	1	1
112	а вместе с	1	1
113	летопись и в	1	1
114	и в дальнейшем	1	1
115	со всеми его	1	1
116	подробнее об этом	1	1
117	т д в	1	1
118	но в целом	1	1
119	в целом ряде	1	1
120	то что в	1	1
121	на ту или	1	1
122	из гроба и	1	1
123	было бы говорить	1	1
124	там же с	10	1
125	как один из	1	1
126	не означает что	2	1
127	между прочим в	1	1
128	но все это	1	1
129	хотя и не	1	1
130	сохранилась и в	1	1
131	дело в том	4	1
132	и та же	2	1
133	новую жизнь и	1	1
134	объясняется тем что	1	1
135	известно что в	1	1
136	и это не	1	1
137	в момент наивысшего	1	1
138	не только потому	1	1
139	и между ними	1	1
140	он и здесь	1	1
141	в первую очередь	1	1
142	одна и та	1	1
143	на первый взгляд	1	1
144	не все по	1	1
145	у себя на	1	1
146	это и есть	1	1
147	это прежде всего	3	1
148	приводит его к	1	1
149	н г чернышевский	1	1
150	есть о том	1	1
151	представление о воскресении	1	1
